카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년08월_계_총인구수,"365,309","43,348","2,768","3,153","6,253","8,974","6,994","7,437","5,559","3,408","2,355","18,960","33,966","41,059","23,617","29,530","34,517","34,201","19,397","11,320","28,493"
2021년08월_계_연령구간인구수,"365,309","43,348","2,768","3,153","6,253","8,974","6,994","7,437","5,559","3,408","2,355","18,960","33,966","41,059","23,617","29,530","34,517","34,201","19,397","11,320","28,493"
2021년08월_계_0~9세,"46,951","3,084",98,94,321,335,248,344,182,67,90,"2,435","4,896","5,706","3,355","4,497","5,851","5,810","3,037","1,657","4,844"
2021년08월_계_10~19세,"44,563","4,165",97,126,363,378,314,406,364,113,176,"3,300","4,701","5,520","4,361","4,257","4,904","3,724","2,614","1,091","3,589"
2021년08월_계_20~29세,"38,185","6,527",378,280,718,940,"1,014",843,558,270,261,"1,741","3,870","4,563","1,867","2,561","2,508","3,487","1,873","1,338","2,588"
2021년08월_계_30~39세,"61,164","5,451",366,295,756,911,935,735,474,229,183,"2,429","6,601","7,491","3,324","5,302","6,260","7,709","3,507","2,232","5,974"
2021년08월_계_40~49세,"71,243","6,850",321,335,816,"1,018",967,870,653,320,304,"4,364","7,246","8,822","5,853","6,316","7,693","6,610","3,970","2,023","5,892"
2021년08월_계_50~59세,"47,168","6,651",518,530,"1,085","1,607","1,309","1,207","1,009",674,437,"2,704","3,885","4,813","2,853","3,365","3,601","3,848","2,369","1,661","3,042"
2021년08월_계_60~69세,"32,723","5,690",552,698,"1,109","1,854","1,174","1,460","1,077",872,425,"1,243","1,900","2,522","1,323","2,065","2,542","2,102","1,387",926,"1,802"
2021년08월_계_70~79세,"14,593","3,063",253,424,626,"1,115",595,909,649,498,267,498,584,"1,062",480,800,866,639,452,256,557
