카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년02월_계_총인구수,"163,208","14,513","29,679","37,607","21,061","23,294","37,054"
2021년02월_계_연령구간인구수,"163,208","14,513","29,679","37,607","21,061","23,294","37,054"
2021년02월_계_0~9세,"12,943",878,"2,206","2,716","1,524","2,345","3,274"
2021년02월_계_10~19세,"14,477",965,"2,432","3,857","2,028","2,093","3,102"
2021년02월_계_20~29세,"23,300","2,500","4,176","4,954","3,299","3,218","5,153"
2021년02월_계_30~39세,"22,709","2,609","4,180","4,656","2,374","3,537","5,353"
2021년02월_계_40~49세,"24,469","1,768","4,436","5,943","3,145","3,571","5,606"
2021년02월_계_50~59세,"29,336","2,047","5,186","6,843","4,201","4,136","6,923"
2021년02월_계_60~69세,"21,770","2,202","3,838","5,412","2,745","2,744","4,829"
2021년02월_계_70~79세,"9,155","1,022","2,035","2,192","1,068","1,020","1,818"
2021년02월_계_80~89세,"4,260",435,"1,036",876,555,530,828
2021년02월_계_90~99세,741,84,140,153,110,95,159
2021년02월_계_100세 이상,48,3,14,5,12,5,9
2021년02월_남_총인구수,"81,175","7,375","15,106","18,674","10,328","11,445","18,247"
2021년02월_남_연령구간인구수,"81,175","7,375","15,106","18,674","10,328","11,445","18,247"
2021년02월_남_0~9세,"6,717",472,"1,154","1,358",793,"1,204","1,736"
2021년02월_남_10~19세,"7,431",513,"1,243","1,997","1,078","1,088","1,512"
2021년02월_남_20~29세,"12,275","1,291","2,284","2,615","1,693","1,669","2,723"
2021년02월_남_30~39세,"11,693","1,448","2,274","2,374","1,178","1,712","2,707"
2021년02월_남_40~49세,"12,062",916,"2,310","2,883","1,477","1,751","2,725"
2021년02월_남_50~59세,"14,132",970,"2,590","3,301","2,007","1,983","3,281"
2021년02월_남_60~69세,"10,890","1,089","1,927","2,710","1,401","1,383","2,380"
2021년02월_남_70~79세,"4,316",501,906,"1,083",488,453,885
2021년02월_남_80~89세,"1,478",158,375,320,189,179,257
2021년02월_남_90~99세,168,15,39,31,23,22,38
2021년02월_남_100세 이상,13,2,4,2,1,1,3
2021년02월_여_총인구수,"82,033","7,138","14,573","18,933","10,733","11,849","18,807"
2021년02월_여_연령구간인구수,"82,033","7,138","14,573","18,933","10,733","11,849","18,807"
2021년02월_여_0~9세,"6,226",406,"1,052","1,358",731,"1,141","1,538"
2021년02월_여_10~19세,"7,046",452,"1,189","1,860",950,"1,005","1,590"
2021년02월_여_20~29세,"11,025","1,209","1,892","2,339","1,606","1,549","2,430"
2021년02월_여_30~39세,"11,016","1,161","1,906","2,282","1,196","1,825","2,646"
2021년02월_여_40~49세,"12,407",852,"2,126","3,060","1,668","1,820","2,881"
2021년02월_여_50~59세,"15,204","1,077","2,596","3,542","2,194","2,153","3,642"
2021년02월_여_60~69세,"10,880","1,113","1,911","2,702","1,344","1,361","2,449"
2021년02월_여_70~79세,"4,839",521,"1,129","1,109",580,567,933
2021년02월_여_80~89세,"2,782",277,661,556,366,351,571
2021년02월_여_90~99세,573,69,101,122,87,73,121
2021년02월_여_100세 이상,35,1,10,3,11,4,6
