,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년06월_계_총인구수,"870,361","83,372","17,466","87,492","42,516","7,061","5,823","6,998","10,931","7,121","9,995","10,343","4,042","11,534","21,975","43,631","35,272","24,084","32,173","13,564","22,989","51,327","35,497","42,127","52,941","43,577","32,978","85,079","28,453"
2021년06월_계_연령구간인구수,"870,361","83,372","17,466","87,492","42,516","7,061","5,823","6,998","10,931","7,121","9,995","10,343","4,042","11,534","21,975","43,631","35,272","24,084","32,173","13,564","22,989","51,327","35,497","42,127","52,941","43,577","32,978","85,079","28,453"
2021년06월_계_0~9세,"102,681","8,236",882,"10,465","4,055",254,217,250,442,172,299,377,95,394,"4,018","4,207","3,742","2,304","4,158","1,226","1,681","6,127","4,061","5,600","8,759","6,267","4,759","14,458","5,176"
2021년06월_계_10~19세,"98,682","9,944","1,430","10,286","3,632",467,319,390,776,285,465,599,165,744,"2,201","3,877","3,634","3,894","4,010","1,779","2,183","6,923","6,585","5,347","9,123","4,321","3,202","9,558","2,543"
2021년06월_계_20~29세,"107,390","10,515","1,786","10,561","5,798",793,590,755,999,535,989,"1,043",409,"1,356","2,336","7,151","5,902","3,010","4,023","1,717","3,126","8,116","3,771","6,370","4,229","5,262","4,728","8,736","2,784"
2021년06월_계_30~39세,"150,747","11,710","1,597","15,692","7,229",626,514,783,904,515,"1,017",901,385,"1,195","4,722","8,676","6,309","2,903","5,669","1,504","2,871","9,541","3,979","8,226","8,648","10,633","7,647","18,869","7,482"
2021년06월_계_40~49세,"167,704","16,020","2,744","17,703","6,980",914,677,999,"1,402",800,"1,438","1,297",481,"1,608","4,279","7,815","6,164","5,234","6,069","2,614","3,891","10,189","8,734","8,450","13,354","8,443","6,401","17,621","5,383"
2021년06월_계_50~59세,"118,242","12,762","3,503","11,236","6,587","1,472","1,175","1,435","2,093","1,573","2,291","2,134",890,"2,422","2,714","5,962","4,814","3,382","4,493","2,292","4,112","6,559","4,825","4,303","5,637","4,405","3,541","8,959","2,671"
2021년06월_계_60~69세,"75,067","8,542","2,929","6,930","4,970","1,375","1,214","1,267","2,205","1,760","2,046","2,170",903,"2,115","1,290","3,660","2,836","1,817","2,645","1,430","3,120","2,477","2,090","2,165","2,112","2,692","1,806","4,809","1,692"
2021년06월_계_70~79세,"32,550","3,821","1,610","2,971","2,118",730,640,710,"1,228",847,844,"1,078",408,"1,012",268,"1,536","1,309","1,031",736,708,"1,351",956,"1,023","1,175",762,"1,078",617,"1,487",496
2021년06월_계_80~89세,"15,095","1,580",868,"1,465",968,383,395,353,741,550,518,678,274,590,129,662,495,455,321,259,580,391,394,431,273,410,235,501,196
2021년06월_계_90~99세,"2,122",228,114,177,173,47,80,52,134,82,84,65,31,91,17,83,66,53,48,35,67,47,33,58,44,64,41,78,30
2021년06월_계_100세 이상,81,14,3,6,6,0,2,4,7,2,4,1,1,7,1,2,1,1,1,0,7,1,2,2,0,2,1,3,0
2021년06월_남_총인구수,"452,263","42,356","9,550","46,907","23,234","3,748","3,304","4,212","5,907","3,928","6,052","5,962","2,486","6,673","11,015","23,626","18,142","11,729","16,267","6,947","12,155","26,458","17,515","21,747","26,361","21,926","17,080","42,636","14,340"
2021년06월_남_연령구간인구수,"452,263","42,356","9,550","46,907","23,234","3,748","3,304","4,212","5,907","3,928","6,052","5,962","2,486","6,673","11,015","23,626","18,142","11,729","16,267","6,947","12,155","26,458","17,515","21,747","26,361","21,926","17,080","42,636","14,340"
2021년06월_남_0~9세,"52,484","4,124",473,"5,426","2,098",131,121,142,224,86,158,206,57,202,"1,977","2,148","1,972","1,170","2,105",627,852,"3,087","2,086","2,889","4,459","3,225","2,428","7,367","2,644"
2021년06월_남_10~19세,"50,338","4,951",741,"5,274","1,870",253,172,214,419,154,242,331,89,403,"1,072","1,994","1,855","1,950","2,079",916,"1,158","3,548","3,288","2,771","4,607","2,197","1,667","4,856","1,267"
2021년06월_남_20~29세,"58,367","5,568","1,076","5,830","3,439",454,360,503,587,344,671,640,288,841,"1,216","4,183","3,286","1,550","2,111",943,"1,793","4,395","1,950","3,519","2,127","2,561","2,390","4,370","1,372"
2021년06월_남_30~39세,"78,691","5,994",977,"8,835","4,228",363,319,534,556,312,688,584,268,803,"2,318","4,959","3,315","1,409","2,821",784,"1,604","4,867","1,780","4,312","3,713","5,415","3,999","9,188","3,746"
2021년06월_남_40~49세,"89,323","8,307","1,634","9,882","3,968",523,431,693,808,491,958,845,339,"1,020","2,244","4,405","3,157","2,510","3,129","1,339","2,153","5,079","4,257","4,344","6,842","4,404","3,454","9,214","2,893"
2021년06월_남_50~59세,"63,649","6,762","2,009","6,258","3,603",822,698,892,"1,206",917,"1,508","1,351",585,"1,487","1,332","3,156","2,410","1,750","2,191","1,206","2,159","3,608","2,556","2,274","3,105","2,252","1,862","4,397","1,293"
2021년06월_남_60~69세,"38,268","4,255","1,540","3,522","2,590",722,712,724,"1,198",960,"1,188","1,214",546,"1,193",679,"1,833","1,374",816,"1,363",700,"1,584","1,259","1,001",951,"1,070","1,229",900,"2,340",805
2021년06월_남_70~79세,"15,240","1,786",765,"1,333","1,040",329,321,367,586,429,428,507,212,488,134,684,563,416,367,328,643,451,431,500,347,499,292,743,251
2021년06월_남_80~89세,"5,448",559,305,506,364,140,154,134,292,217,189,264,95,218,39,246,199,150,94,99,196,153,162,169,85,129,80,145,65
2021년06월_남_90~99세,437,47,30,37,34,11,15,9,31,18,22,19,7,16,4,17,10,8,7,5,11,11,3,18,6,15,8,14,4
2021년06월_남_100세 이상,18,3,0,4,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,1,0,0,0,0,2,0
2021년06월_여_총인구수,"418,098","41,016","7,916","40,585","19,282","3,313","2,519","2,786","5,024","3,193","3,943","4,381","1,556","4,861","10,960","20,005","17,130","12,355","15,906","6,617","10,834","24,869","17,982","20,380","26,580","21,651","15,898","42,443","14,113"
2021년06월_여_연령구간인구수,"418,098","41,016","7,916","40,585","19,282","3,313","2,519","2,786","5,024","3,193","3,943","4,381","1,556","4,861","10,960","20,005","17,130","12,355","15,906","6,617","10,834","24,869","17,982","20,380","26,580","21,651","15,898","42,443","14,113"
2021년06월_여_0~9세,"50,197","4,112",409,"5,039","1,957",123,96,108,218,86,141,171,38,192,"2,041","2,059","1,770","1,134","2,053",599,829,"3,040","1,975","2,711","4,300","3,042","2,331","7,091","2,532"
2021년06월_여_10~19세,"48,344","4,993",689,"5,012","1,762",214,147,176,357,131,223,268,76,341,"1,129","1,883","1,779","1,944","1,931",863,"1,025","3,375","3,297","2,576","4,516","2,124","1,535","4,702","1,276"
2021년06월_여_20~29세,"49,023","4,947",710,"4,731","2,359",339,230,252,412,191,318,403,121,515,"1,120","2,968","2,616","1,460","1,912",774,"1,333","3,721","1,821","2,851","2,102","2,701","2,338","4,366","1,412"
2021년06월_여_30~39세,"72,056","5,716",620,"6,857","3,001",263,195,249,348,203,329,317,117,392,"2,404","3,717","2,994","1,494","2,848",720,"1,267","4,674","2,199","3,914","4,935","5,218","3,648","9,681","3,736"
2021년06월_여_40~49세,"78,381","7,713","1,110","7,821","3,012",391,246,306,594,309,480,452,142,588,"2,035","3,410","3,007","2,724","2,940","1,275","1,738","5,110","4,477","4,106","6,512","4,039","2,947","8,407","2,490"
2021년06월_여_50~59세,"54,593","6,000","1,494","4,978","2,984",650,477,543,887,656,783,783,305,935,"1,382","2,806","2,404","1,632","2,302","1,086","1,953","2,951","2,269","2,029","2,532","2,153","1,679","4,562","1,378"
2021년06월_여_60~69세,"36,799","4,287","1,389","3,408","2,380",653,502,543,"1,007",800,858,956,357,922,611,"1,827","1,462","1,001","1,282",730,"1,536","1,218","1,089","1,214","1,042","1,463",906,"2,469",887
2021년06월_여_70~79세,"17,310","2,035",845,"1,638","1,078",401,319,343,642,418,416,571,196,524,134,852,746,615,369,380,708,505,592,675,415,579,325,744,245
2021년06월_여_80~89세,"9,647","1,021",563,959,604,243,241,219,449,333,329,414,179,372,90,416,296,305,227,160,384,238,232,262,188,281,155,356,131
2021년06월_여_90~99세,"1,685",181,84,140,139,36,65,43,103,64,62,46,24,75,13,66,56,45,41,30,56,36,30,40,38,49,33,64,26
2021년06월_여_100세 이상,63,11,3,2,6,0,1,4,7,2,4,0,1,5,1,1,0,1,1,0,5,1,1,2,0,2,1,1,0
