,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년09월_계_총인구수,"283,064","7,035","7,980","7,230","2,313","1,579","1,934","2,658","3,099","3,026","3,384","5,313","4,431","4,579","2,633","1,585","3,511","4,916","7,091","22,788","9,246","11,766","38,585","8,628","23,483","14,483","25,468","15,703","6,742","31,875"
2020년09월_계_연령구간인구수,"283,064","7,035","7,980","7,230","2,313","1,579","1,934","2,658","3,099","3,026","3,384","5,313","4,431","4,579","2,633","1,585","3,511","4,916","7,091","22,788","9,246","11,766","38,585","8,628","23,483","14,483","25,468","15,703","6,742","31,875"
2020년09월_계_0~9세,"19,610",382,539,273,67,29,34,73,107,96,182,329,89,187,74,23,103,333,318,"1,745",421,495,"3,700",915,"1,569","1,311","2,390",658,571,"2,597"
2020년09월_계_10~19세,"28,153",609,618,523,138,63,100,146,139,133,169,353,201,298,112,85,150,344,427,"2,257",680,846,"4,350",976,"2,757","2,122","3,494","1,134",668,"4,261"
2020년09월_계_20~29세,"36,298",627,707,673,175,94,124,175,219,143,332,682,270,402,251,103,363,500,901,"2,558","1,334","1,371","4,871",872,"3,387","2,280","3,523","4,082",758,"4,521"
2020년09월_계_30~39세,"28,866",545,813,531,128,61,95,149,195,160,275,461,229,341,159,68,323,548,794,"2,490",863,"1,022","4,447","1,200","2,417","1,657","3,145","1,478",859,"3,413"
2020년09월_계_40~49세,"42,279",818,"1,067",811,222,139,177,232,328,265,340,580,411,534,251,153,419,718,848,"3,527","1,213","1,500","6,289","1,440","3,633","2,827","4,994","1,729","1,054","5,760"
2020년09월_계_50~59세,"49,198","1,236","1,397","1,331",436,270,367,378,555,532,571,940,748,845,549,230,571,948,"1,135","4,036","1,864","1,945","6,369","1,265","4,528","2,476","4,434","2,315","1,084","5,843"
2020년09월_계_60~69세,"39,874","1,386","1,415","1,382",442,373,443,610,659,713,637,994,"1,003",915,522,365,744,837,"1,304","3,371","1,614","2,119","4,733","1,049","3,203",967,"2,099","2,025",870,"3,080"
2020년09월_계_70~79세,"24,329",864,848,983,407,287,339,520,528,565,513,622,830,574,392,314,577,463,884,"1,848",847,"1,729","2,479",630,"1,314",575,916,"1,446",519,"1,516"
2020년09월_계_80~89세,"12,418",487,497,607,246,218,215,322,327,364,319,309,541,407,267,208,213,190,429,843,354,652,"1,169",250,568,238,411,703,280,784
2020년09월_계_90~99세,"1,933",75,77,106,48,43,37,53,41,51,44,41,102,74,52,33,43,32,49,103,54,84,173,29,105,30,59,121,76,98
2020년09월_계_100세 이상,106,6,2,10,4,2,3,0,1,4,2,2,7,2,4,3,5,3,2,10,2,3,5,2,2,0,3,12,3,2
2020년09월_남_총인구수,"140,974","3,438","3,932","3,645","1,143",813,986,"1,345","1,633","1,486","1,697","2,810","2,278","2,363","1,357",782,"1,869","2,599","3,621","11,242","4,711","5,978","18,689","4,294","11,551","7,074","12,438","7,917","3,480","15,803"
2020년09월_남_연령구간인구수,"140,974","3,438","3,932","3,645","1,143",813,986,"1,345","1,633","1,486","1,697","2,810","2,278","2,363","1,357",782,"1,869","2,599","3,621","11,242","4,711","5,978","18,689","4,294","11,551","7,074","12,438","7,917","3,480","15,803"
2020년09월_남_0~9세,"10,013",202,269,141,29,14,25,37,50,41,80,176,57,103,44,11,62,183,168,857,236,265,"1,902",444,797,667,"1,236",335,293,"1,289"
2020년09월_남_10~19세,"14,398",279,307,267,65,42,50,72,84,61,96,170,115,166,63,48,90,160,223,"1,207",382,467,"2,150",521,"1,407","1,112","1,771",538,334,"2,151"
2020년09월_남_20~29세,"19,776",357,368,390,106,49,73,102,127,89,189,457,151,235,146,60,206,278,451,"1,381",725,768,"2,527",474,"1,851","1,174","1,881","2,288",439,"2,434"
2020년09월_남_30~39세,"15,144",283,444,289,71,41,55,105,110,107,163,265,153,186,105,35,203,291,476,"1,311",495,575,"2,151",596,"1,243",808,"1,559",856,471,"1,697"
2020년09월_남_40~49세,"21,588",443,571,467,132,91,115,154,211,152,199,335,270,321,166,103,251,404,475,"1,834",667,833,"3,102",755,"1,708","1,270","2,293",928,552,"2,786"
2020년09월_남_50~59세,"24,955",643,703,714,238,165,218,207,324,291,316,487,417,477,297,121,292,531,624,"1,992",894,980,"3,030",643,"2,159","1,252","2,236","1,134",573,"2,997"
2020년09월_남_60~69세,"19,783",684,704,720,235,190,223,309,367,354,316,512,528,478,275,185,388,437,603,"1,609",792,998,"2,300",497,"1,599",484,986,962,455,"1,593"
2020년09월_남_70~79세,"10,815",379,375,439,174,132,154,241,232,256,237,289,376,262,169,140,279,240,429,747,394,784,"1,099",267,603,220,349,661,254,634
2020년09월_남_80~89세,"4,032",152,170,193,81,79,65,104,117,122,90,107,172,118,78,72,85,67,159,276,115,281,384,88,162,81,114,198,92,210
2020년09월_남_90~99세,447,15,19,22,12,10,7,14,11,12,10,12,36,17,13,7,13,7,13,25,11,25,44,8,22,6,13,16,16,11
2020년09월_남_100세 이상,23,1,2,3,0,0,1,0,0,1,1,0,3,0,1,0,0,1,0,3,0,2,0,1,0,0,0,1,1,1
2020년09월_여_총인구수,"142,090","3,597","4,048","3,585","1,170",766,948,"1,313","1,466","1,540","1,687","2,503","2,153","2,216","1,276",803,"1,642","2,317","3,470","11,546","4,535","5,788","19,896","4,334","11,932","7,409","13,030","7,786","3,262","16,072"
2020년09월_여_연령구간인구수,"142,090","3,597","4,048","3,585","1,170",766,948,"1,313","1,466","1,540","1,687","2,503","2,153","2,216","1,276",803,"1,642","2,317","3,470","11,546","4,535","5,788","19,896","4,334","11,932","7,409","13,030","7,786","3,262","16,072"
2020년09월_여_0~9세,"9,597",180,270,132,38,15,9,36,57,55,102,153,32,84,30,12,41,150,150,888,185,230,"1,798",471,772,644,"1,154",323,278,"1,308"
2020년09월_여_10~19세,"13,755",330,311,256,73,21,50,74,55,72,73,183,86,132,49,37,60,184,204,"1,050",298,379,"2,200",455,"1,350","1,010","1,723",596,334,"2,110"
2020년09월_여_20~29세,"16,522",270,339,283,69,45,51,73,92,54,143,225,119,167,105,43,157,222,450,"1,177",609,603,"2,344",398,"1,536","1,106","1,642","1,794",319,"2,087"
2020년09월_여_30~39세,"13,722",262,369,242,57,20,40,44,85,53,112,196,76,155,54,33,120,257,318,"1,179",368,447,"2,296",604,"1,174",849,"1,586",622,388,"1,716"
2020년09월_여_40~49세,"20,691",375,496,344,90,48,62,78,117,113,141,245,141,213,85,50,168,314,373,"1,693",546,667,"3,187",685,"1,925","1,557","2,701",801,502,"2,974"
2020년09월_여_50~59세,"24,243",593,694,617,198,105,149,171,231,241,255,453,331,368,252,109,279,417,511,"2,044",970,965,"3,339",622,"2,369","1,224","2,198","1,181",511,"2,846"
2020년09월_여_60~69세,"20,091",702,711,662,207,183,220,301,292,359,321,482,475,437,247,180,356,400,701,"1,762",822,"1,121","2,433",552,"1,604",483,"1,113","1,063",415,"1,487"
2020년09월_여_70~79세,"13,514",485,473,544,233,155,185,279,296,309,276,333,454,312,223,174,298,223,455,"1,101",453,945,"1,380",363,711,355,567,785,265,882
2020년09월_여_80~89세,"8,386",335,327,414,165,139,150,218,210,242,229,202,369,289,189,136,128,123,270,567,239,371,785,162,406,157,297,505,188,574
2020년09월_여_90~99세,"1,486",60,58,84,36,33,30,39,30,39,34,29,66,57,39,26,30,25,36,78,43,59,129,21,83,24,46,105,60,87
2020년09월_여_100세 이상,83,5,0,7,4,2,2,0,1,3,1,2,4,2,3,3,5,2,2,7,2,1,5,1,2,0,3,11,2,1
