,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년04월_계_총인구수,"706,069","63,537","93,318","100,975","13,932","24,756","53,523","30,105","19,838","9,013","4,223","50,931","34,483","19,244","4,636","75,964","35,512","72,079"
2020년04월_계_연령구간인구수,"706,069","63,537","93,318","100,975","13,932","24,756","53,523","30,105","19,838","9,013","4,223","50,931","34,483","19,244","4,636","75,964","35,512","72,079"
2020년04월_계_0~9세,"66,785","4,491","8,857","8,985","1,558","1,162","4,332","1,892","1,314",364,197,"5,645","3,191",816,166,"10,343","4,850","8,622"
2020년04월_계_10~19세,"77,566","7,601","11,516","11,438","1,232","2,049","6,820","2,739","2,032",590,263,"6,814","5,013","1,270",210,"7,749","3,636","6,594"
2020년04월_계_20~29세,"83,564","7,951","10,474","11,818","1,487","3,438","6,451","4,217","2,460",811,429,"5,438","4,078","2,610",528,"8,698","3,788","8,888"
2020년04월_계_30~39세,"91,123","6,284","10,867","12,533","2,166","2,436","5,670","3,493","1,913",749,415,"6,514","3,859","2,204",492,"13,359","6,157","12,012"
2020년04월_계_40~49세,"129,598","11,590","17,642","19,354","2,364","3,536","10,495","4,406","3,360","1,082",542,"10,949","7,270","2,372",527,"14,359","6,967","12,783"
2020년04월_계_50~59세,"114,802","11,161","15,183","16,616","2,190","5,328","9,157","5,869","3,592","1,855",796,"7,189","5,385","4,038",937,"9,961","4,961","10,584"
2020년04월_계_60~69세,"78,723","7,453","10,309","10,908","1,739","3,782","5,505","4,308","2,640","1,859",850,"4,381","3,055","3,338","1,047","6,684","3,170","7,695"
2020년04월_계_70~79세,"43,561","4,815","5,799","6,535",796,"1,958","3,466","2,156","1,704","1,087",472,"2,798","1,756","1,612",484,"3,342","1,371","3,410"
2020년04월_계_80~89세,"17,650","1,883","2,369","2,440",344,925,"1,429",918,703,489,218,"1,033",774,849,213,"1,275",522,"1,266"
2020년04월_계_90~99세,"2,487",280,285,317,55,128,192,101,100,118,38,161,97,121,24,183,74,213
2020년04월_계_100세 이상,210,28,17,31,1,14,6,6,20,9,3,9,5,14,8,11,16,12
2020년04월_남_총인구수,"351,837","31,320","47,141","50,680","7,099","12,881","26,844","15,020","9,920","4,721","2,194","24,848","16,987","9,776","2,614","37,309","17,350","35,133"
2020년04월_남_연령구간인구수,"351,837","31,320","47,141","50,680","7,099","12,881","26,844","15,020","9,920","4,721","2,194","24,848","16,987","9,776","2,614","37,309","17,350","35,133"
2020년04월_남_0~9세,"34,344","2,350","4,623","4,659",797,643,"2,225",945,650,207,103,"2,899","1,610",407,77,"5,276","2,470","4,403"
2020년04월_남_10~19세,"39,963","3,899","5,962","5,999",650,"1,051","3,478","1,424","1,098",325,137,"3,518","2,575",679,109,"3,931","1,864","3,264"
2020년04월_남_20~29세,"43,515","4,156","5,524","6,172",785,"1,905","3,433","2,236","1,225",461,235,"2,849","2,078","1,452",312,"4,322","1,942","4,428"
2020년04월_남_30~39세,"44,738","3,070","5,350","6,309","1,104","1,310","2,809","1,822",991,392,217,"3,000","1,818","1,231",300,"6,339","2,845","5,831"
2020년04월_남_40~49세,"65,303","5,554","8,983","9,849","1,226","1,903","5,295","2,216","1,687",610,293,"5,312","3,555","1,253",333,"7,360","3,506","6,368"
2020년04월_남_50~59세,"58,610","5,657","7,994","8,624","1,138","2,835","4,851","2,834","1,882","1,025",436,"3,659","2,818","2,024",529,"4,818","2,429","5,057"
2020년04월_남_60~69세,"38,289","3,556","5,099","5,210",868,"1,989","2,640","2,197","1,295",951,435,"1,974","1,459","1,659",623,"3,158","1,466","3,710"
2020년04월_남_70~79세,"19,894","2,252","2,628","2,892",383,879,"1,535",986,761,535,241,"1,193",773,753,242,"1,607",623,"1,611"
2020년04월_남_80~89세,"6,545",740,890,886,138,333,532,337,294,184,89,407,276,284,84,466,184,421
2020년04월_남_90~99세,576,78,84,70,9,32,45,22,32,25,5,33,25,29,5,31,15,36
2020년04월_남_100세 이상,60,8,4,10,1,1,1,1,5,6,3,4,0,5,0,1,6,4
2020년04월_여_총인구수,"354,232","32,217","46,177","50,295","6,833","11,875","26,679","15,085","9,918","4,292","2,029","26,083","17,496","9,468","2,022","38,655","18,162","36,946"
2020년04월_여_연령구간인구수,"354,232","32,217","46,177","50,295","6,833","11,875","26,679","15,085","9,918","4,292","2,029","26,083","17,496","9,468","2,022","38,655","18,162","36,946"
