카테고리,제주특별자치도,제주특별자치도 제주시,제주특별자치도 서귀포시
2020년01월_계_총인구수,"670,749","489,202","181,547"
2020년01월_계_연령구간인구수,"670,749","489,202","181,547"
2020년01월_계_0~9세,"62,033","46,997","15,036"
2020년01월_계_10~19세,"71,795","54,272","17,523"
2020년01월_계_20~29세,"82,223","62,670","19,553"
2020년01월_계_30~39세,"84,406","63,949","20,457"
2020년01월_계_40~49세,"113,051","83,247","29,804"
2020년01월_계_50~59세,"110,968","79,535","31,433"
2020년01월_계_60~69세,"74,791","51,464","23,327"
2020년01월_계_70~79세,"44,577","29,324","15,253"
2020년01월_계_80~89세,"22,837","14,955","7,882"
2020년01월_계_90~99세,"3,799","2,620","1,179"
2020년01월_계_100세 이상,269,169,100
2020년01월_남_총인구수,"337,231","245,389","91,842"
2020년01월_남_연령구간인구수,"337,231","245,389","91,842"
2020년01월_남_0~9세,"31,892","24,183","7,709"
2020년01월_남_10~19세,"37,527","28,395","9,132"
2020년01월_남_20~29세,"43,459","33,042","10,417"
2020년01월_남_30~39세,"42,887","32,510","10,377"
2020년01월_남_40~49세,"58,558","42,408","16,150"
2020년01월_남_50~59세,"57,780","40,996","16,784"
2020년01월_남_60~69세,"36,970","25,396","11,574"
2020년01월_남_70~79세,"20,107","13,182","6,925"
2020년01월_남_80~89세,"7,471","4,892","2,579"
2020년01월_남_90~99세,546,362,184
2020년01월_남_100세 이상,34,23,11
2020년01월_여_총인구수,"333,518","243,813","89,705"
2020년01월_여_연령구간인구수,"333,518","243,813","89,705"
2020년01월_여_0~9세,"30,141","22,814","7,327"
2020년01월_여_10~19세,"34,268","25,877","8,391"
2020년01월_여_20~29세,"38,764","29,628","9,136"
2020년01월_여_30~39세,"41,519","31,439","10,080"
2020년01월_여_40~49세,"54,493","40,839","13,654"
2020년01월_여_50~59세,"53,188","38,539","14,649"
2020년01월_여_60~69세,"37,821","26,068","11,753"
2020년01월_여_70~79세,"24,470","16,142","8,328"
2020년01월_여_80~89세,"15,366","10,063","5,303"
2020년01월_여_90~99세,"3,253","2,258",995
2020년01월_여_100세 이상,235,146,89
