카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년04월_계_총인구수,"37,177","15,182","4,879","3,349","2,321","2,825","1,242","2,080","1,070","1,437","2,792"
2021년04월_계_연령구간인구수,"37,177","15,182","4,879","3,349","2,321","2,825","1,242","2,080","1,070","1,437","2,792"
2021년04월_계_0~9세,"1,930","1,262",146,131,84,76,33,38,13,41,106
2021년04월_계_10~19세,"2,686","1,548",279,197,108,131,46,98,35,74,170
2021년04월_계_20~29세,"3,022","1,585",323,216,131,195,68,141,60,89,214
2021년04월_계_30~39세,"2,666","1,503",272,182,139,163,67,87,47,53,153
2021년04월_계_40~49세,"3,998","2,078",402,325,193,256,94,151,89,145,265
2021년04월_계_50~59세,"6,212","2,463",842,558,347,488,205,378,248,237,446
2021년04월_계_60~69세,"6,650","2,187",996,678,503,573,264,388,255,245,561
2021년04월_계_70~79세,"5,397","1,474",878,574,407,477,215,395,174,260,543
2021년04월_계_80~89세,"3,945",904,643,420,336,381,223,365,127,238,308
2021년04월_계_90~99세,650,167,96,67,70,84,25,39,22,54,26
2021년04월_계_100세 이상,21,11,2,1,3,1,2,0,0,1,0
2021년04월_남_총인구수,"18,088","7,403","2,381","1,610","1,119","1,386",589,987,542,705,"1,366"
2021년04월_남_연령구간인구수,"18,088","7,403","2,381","1,610","1,119","1,386",589,987,542,705,"1,366"
2021년04월_남_0~9세,966,621,81,49,46,48,13,18,4,25,61
2021년04월_남_10~19세,"1,424",803,162,104,60,77,22,49,21,36,90
2021년04월_남_20~29세,"1,709",882,188,120,77,112,33,79,36,50,132
2021년04월_남_30~39세,"1,411",745,149,98,85,99,38,51,30,28,88
2021년04월_남_40~49세,"2,203","1,034",235,203,118,150,63,100,54,87,159
2021년04월_남_50~59세,"3,397","1,312",453,312,191,275,120,213,146,145,230
2021년04월_남_60~69세,"3,321","1,050",510,342,270,298,131,202,132,129,257
2021년04월_남_70~79세,"2,303",639,364,240,167,208,98,163,74,109,241
2021년04월_남_80~89세,"1,225",286,216,127,94,103,65,105,39,86,104
2021년04월_남_90~99세,126,30,23,15,11,16,5,7,6,9,4
2021년04월_남_100세 이상,3,1,0,0,0,0,1,0,0,1,0
2021년04월_여_총인구수,"19,089","7,779","2,498","1,739","1,202","1,439",653,"1,093",528,732,"1,426"
2021년04월_여_연령구간인구수,"19,089","7,779","2,498","1,739","1,202","1,439",653,"1,093",528,732,"1,426"
2021년04월_여_0~9세,964,641,65,82,38,28,20,20,9,16,45
2021년04월_여_10~19세,"1,262",745,117,93,48,54,24,49,14,38,80
2021년04월_여_20~29세,"1,313",703,135,96,54,83,35,62,24,39,82
2021년04월_여_30~39세,"1,255",758,123,84,54,64,29,36,17,25,65
2021년04월_여_40~49세,"1,795","1,044",167,122,75,106,31,51,35,58,106
2021년04월_여_50~59세,"2,815","1,151",389,246,156,213,85,165,102,92,216
2021년04월_여_60~69세,"3,329","1,137",486,336,233,275,133,186,123,116,304
2021년04월_여_70~79세,"3,094",835,514,334,240,269,117,232,100,151,302
2021년04월_여_80~89세,"2,720",618,427,293,242,278,158,260,88,152,204
2021년04월_여_90~99세,524,137,73,52,59,68,20,32,16,45,22
2021년04월_여_100세 이상,18,10,2,1,3,1,1,0,0,0,0
