카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년06월_계_총인구수,"140,720","6,589","7,073","4,322","51,922","30,353","2,369","34,231","3,861"
2021년06월_계_연령구간인구수,"140,720","6,589","7,073","4,322","51,922","30,353","2,369","34,231","3,861"
2021년06월_계_0~9세,"19,913",182,480,84,"9,658","5,002",49,"4,342",116
2021년06월_계_10~19세,"12,388",271,459,132,"4,429","4,317",65,"2,569",146
2021년06월_계_20~29세,"12,621",627,831,345,"4,488","2,436",185,"3,399",310
2021년06월_계_30~39세,"27,204",584,884,341,"13,135","4,788",181,"6,944",347
2021년06월_계_40~49세,"24,813",663,879,336,"9,397","6,782",196,"6,112",448
2021년06월_계_50~59세,"16,972","1,191","1,070",854,"4,768","3,350",448,"4,523",768
2021년06월_계_60~69세,"16,602","1,657","1,361","1,317","4,053","2,506",619,"4,103",986
2021년06월_계_70~79세,"6,973",961,710,605,"1,413",848,399,"1,561",476
2021년06월_계_80~89세,"2,765",399,340,259,497,277,190,584,219
2021년06월_계_90~99세,446,52,57,47,75,46,35,93,41
2021년06월_계_100세 이상,23,2,2,2,9,1,2,1,4
2021년06월_남_총인구수,"72,824","3,636","3,973","2,304","26,083","15,148","1,258","18,397","2,025"
2021년06월_남_연령구간인구수,"72,824","3,636","3,973","2,304","26,083","15,148","1,258","18,397","2,025"
2021년06월_남_0~9세,"10,289",87,261,46,"4,931","2,607",22,"2,273",62
2021년06월_남_10~19세,"6,290",145,245,67,"2,159","2,205",39,"1,358",72
2021년06월_남_20~29세,"6,853",373,550,218,"2,230","1,249",111,"1,929",193
2021년06월_남_30~39세,"13,889",338,521,203,"6,487","2,160",107,"3,855",218
2021년06월_남_40~49세,"13,832",418,535,214,"5,162","3,480",125,"3,633",265
2021년06월_남_50~59세,"8,748",690,623,459,"2,266","1,700",253,"2,365",392
2021년06월_남_60~69세,"8,412",922,739,720,"1,946","1,210",323,"2,047",505
2021년06월_남_70~79세,"3,484",500,365,285,718,429,207,740,240
2021년06월_남_80~89세,947,153,128,82,170,96,64,182,72
2021년06월_남_90~99세,74,10,5,9,11,11,7,15,6
2021년06월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년06월_여_총인구수,"67,896","2,953","3,100","2,018","25,839","15,205","1,111","15,834","1,836"
2021년06월_여_연령구간인구수,"67,896","2,953","3,100","2,018","25,839","15,205","1,111","15,834","1,836"
2021년06월_여_0~9세,"9,624",95,219,38,"4,727","2,395",27,"2,069",54
2021년06월_여_10~19세,"6,098",126,214,65,"2,270","2,112",26,"1,211",74
2021년06월_여_20~29세,"5,768",254,281,127,"2,258","1,187",74,"1,470",117
2021년06월_여_30~39세,"13,315",246,363,138,"6,648","2,628",74,"3,089",129
2021년06월_여_40~49세,"10,981",245,344,122,"4,235","3,302",71,"2,479",183
2021년06월_여_50~59세,"8,224",501,447,395,"2,502","1,650",195,"2,158",376
2021년06월_여_60~69세,"8,190",735,622,597,"2,107","1,296",296,"2,056",481
2021년06월_여_70~79세,"3,489",461,345,320,695,419,192,821,236
2021년06월_여_80~89세,"1,818",246,212,177,327,181,126,402,147
2021년06월_여_90~99세,372,42,52,38,64,35,28,78,35
2021년06월_여_100세 이상,17,2,1,1,6,0,2,1,4
