카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년09월_계_총인구수,"99,399","37,801","8,303","29,032","3,502","3,393","2,853","2,268","2,074","3,214","3,492","3,467"
2021년09월_계_연령구간인구수,"99,399","37,801","8,303","29,032","3,502","3,393","2,853","2,268","2,074","3,214","3,492","3,467"
2021년09월_계_0~9세,"7,467","2,341",275,"4,294",91,114,68,38,22,70,73,81
2021년09월_계_10~19세,"9,508","4,197",518,"3,783",123,225,107,58,54,129,143,171
2021년09월_계_20~29세,"9,371","4,738",520,"2,727",229,204,139,123,101,193,201,196
2021년09월_계_30~39세,"10,117","3,502",448,"4,954",197,183,129,85,97,138,188,196
2021년09월_계_40~49세,"14,213","5,881",754,"5,558",309,354,217,170,115,275,266,314
2021년09월_계_50~59세,"15,696","6,720","1,396","3,620",618,566,427,349,340,498,528,634
2021년09월_계_60~69세,"15,446","5,413","1,864","2,304",830,731,658,556,533,842,874,841
2021년09월_계_70~79세,"10,102","3,162","1,510","1,061",588,526,553,465,419,605,633,580
2021년09월_계_80~89세,"6,525","1,612",886,640,448,436,506,348,345,396,508,400
2021년09월_계_90~99세,928,225,127,90,68,52,49,76,47,64,77,53
2021년09월_계_100세 이상,26,10,5,1,1,2,0,0,1,4,1,1
2021년09월_남_총인구수,"49,496","18,742","4,102","14,536","1,799","1,696","1,362","1,149","1,024","1,577","1,750","1,759"
2021년09월_남_연령구간인구수,"49,496","18,742","4,102","14,536","1,799","1,696","1,362","1,149","1,024","1,577","1,750","1,759"
2021년09월_남_0~9세,"3,881","1,195",147,"2,236",50,66,36,21,10,34,44,42
2021년09월_남_10~19세,"4,881","2,152",294,"1,924",69,111,49,29,25,62,81,85
2021년09월_남_20~29세,"5,189","2,617",311,"1,405",146,134,79,75,65,114,123,120
2021년09월_남_30~39세,"5,216","1,825",252,"2,405",128,104,78,59,67,80,113,105
2021년09월_남_40~49세,"7,380","2,876",432,"2,813",192,193,134,110,78,176,181,195
2021년09월_남_50~59세,"8,274","3,471",724,"1,910",338,307,234,208,179,261,285,357
2021년09월_남_60~69세,"7,614","2,565",927,"1,119",437,384,328,279,267,421,437,450
2021년09월_남_70~79세,"4,562","1,424",665,493,262,250,231,223,193,274,280,267
2021년09월_남_80~89세,"2,274",562,312,219,160,133,180,127,131,139,183,128
2021년09월_남_90~99세,221,52,38,12,17,14,13,18,9,15,23,10
2021년09월_남_100세 이상,4,3,0,0,0,0,0,0,0,1,0,0
2021년09월_여_총인구수,"49,903","19,059","4,201","14,496","1,703","1,697","1,491","1,119","1,050","1,637","1,742","1,708"
2021년09월_여_연령구간인구수,"49,903","19,059","4,201","14,496","1,703","1,697","1,491","1,119","1,050","1,637","1,742","1,708"
2021년09월_여_0~9세,"3,586","1,146",128,"2,058",41,48,32,17,12,36,29,39
2021년09월_여_10~19세,"4,627","2,045",224,"1,859",54,114,58,29,29,67,62,86
2021년09월_여_20~29세,"4,182","2,121",209,"1,322",83,70,60,48,36,79,78,76
2021년09월_여_30~39세,"4,901","1,677",196,"2,549",69,79,51,26,30,58,75,91
2021년09월_여_40~49세,"6,833","3,005",322,"2,745",117,161,83,60,37,99,85,119
2021년09월_여_50~59세,"7,422","3,249",672,"1,710",280,259,193,141,161,237,243,277
2021년09월_여_60~69세,"7,832","2,848",937,"1,185",393,347,330,277,266,421,437,391
2021년09월_여_70~79세,"5,540","1,738",845,568,326,276,322,242,226,331,353,313
2021년09월_여_80~89세,"4,251","1,050",574,421,288,303,326,221,214,257,325,272
2021년09월_여_90~99세,707,173,89,78,51,38,36,58,38,49,54,43
2021년09월_여_100세 이상,22,7,5,1,1,2,0,0,1,3,1,1
