카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년12월_계_총인구수,"26,757","6,981","6,251","2,407","3,777","7,341",0
2020년12월_계_연령구간인구수,"26,757","6,981","6,251","2,407","3,777","7,341",0
2020년12월_계_0~9세,"1,273",545,204,59,157,308,0
2020년12월_계_10~19세,"1,621",583,340,101,194,403,0
2020년12월_계_20~29세,"2,868",900,526,159,409,874,0
2020년12월_계_30~39세,"2,219",780,355,154,316,614,0
2020년12월_계_40~49세,"3,063",905,628,209,389,932,0
2020년12월_계_50~59세,"4,822","1,135","1,141",449,689,"1,408",0
2020년12월_계_60~69세,"5,193","1,025","1,379",588,765,"1,436",0
2020년12월_계_70~79세,"3,499",663,"1,011",428,520,877,0
2020년12월_계_80~89세,"1,843",368,548,220,291,416,0
2020년12월_계_90~99세,339,72,115,39,43,70,0
2020년12월_계_100세 이상,17,5,4,1,4,3,0
2020년12월_남_총인구수,"13,802","3,654","3,110","1,185","1,967","3,886",0
2020년12월_남_연령구간인구수,"13,802","3,654","3,110","1,185","1,967","3,886",0
2020년12월_남_0~9세,651,284,100,28,81,158,0
2020년12월_남_10~19세,879,320,183,59,96,221,0
2020년12월_남_20~29세,"1,824",565,340,88,259,572,0
2020년12월_남_30~39세,"1,252",423,193,95,192,349,0
2020년12월_남_40~49세,"1,717",480,344,132,226,535,0
2020년12월_남_50~59세,"2,604",613,638,236,360,757,0
2020년12월_남_60~69세,"2,655",520,681,300,406,748,0
2020년12월_남_70~79세,"1,501",310,413,174,231,373,0
2020년12월_남_80~89세,639,118,195,64,104,158,0
2020년12월_남_90~99세,77,20,23,9,12,13,0
2020년12월_남_100세 이상,3,1,0,0,0,2,0
2020년12월_여_총인구수,"12,955","3,327","3,141","1,222","1,810","3,455",0
2020년12월_여_연령구간인구수,"12,955","3,327","3,141","1,222","1,810","3,455",0
2020년12월_여_0~9세,622,261,104,31,76,150,0
2020년12월_여_10~19세,742,263,157,42,98,182,0
2020년12월_여_20~29세,"1,044",335,186,71,150,302,0
2020년12월_여_30~39세,967,357,162,59,124,265,0
2020년12월_여_40~49세,"1,346",425,284,77,163,397,0
2020년12월_여_50~59세,"2,218",522,503,213,329,651,0
2020년12월_여_60~69세,"2,538",505,698,288,359,688,0
2020년12월_여_70~79세,"1,998",353,598,254,289,504,0
2020년12월_여_80~89세,"1,204",250,353,156,187,258,0
2020년12월_여_90~99세,262,52,92,30,31,57,0
2020년12월_여_100세 이상,14,4,4,1,4,1,0
