,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년02월_계_총인구수,"493,374","24,517","15,475","30,147","29,214","16,906","35,307","33,909","15,336","26,014","18,276","22,780","18,291","23,769","22,728","21,859","15,756","17,498","23,610","23,398","31,108","27,476"
2021년02월_계_연령구간인구수,"493,374","24,517","15,475","30,147","29,214","16,906","35,307","33,909","15,336","26,014","18,276","22,780","18,291","23,769","22,728","21,859","15,756","17,498","23,610","23,398","31,108","27,476"
2021년02월_계_0~9세,"21,738","1,168","1,248","2,001","1,167",674,"1,255","2,097",416,"1,127",978,665,588,797,784,356,"1,203",645,700,864,"1,726","1,279"
2021년02월_계_10~19세,"28,259","1,462","1,125","2,895","1,359",840,"1,687","2,656",571,"1,571",800,830,848,"1,075","1,120",476,"1,437",847,991,"1,500","2,287","1,882"
2021년02월_계_20~29세,"108,453","4,699","1,845","3,957","7,411","5,458","11,209","5,444","4,427","5,763","3,934","6,452","4,381","5,722","5,770","8,347","1,725","4,042","6,113","2,836","4,807","4,111"
2021년02월_계_30~39세,"86,427","4,061","2,562","3,895","6,015","3,527","6,823","5,334","2,991","4,941","3,664","4,573","3,237","4,702","3,933","5,626","1,866","3,275","4,764","2,622","4,281","3,735"
2021년02월_계_40~49세,"68,019","3,394","2,504","5,034","3,679","2,024","4,039","5,270","1,752","3,567","2,306","2,752","2,293","3,246","2,958","2,499","2,956","2,264","3,557","3,318","4,692","3,915"
2021년02월_계_50~59세,"68,073","3,419","2,329","4,805","3,477","1,645","3,940","4,884","1,830","3,502","2,542","2,805","2,441","3,153","3,232","1,772","2,574","2,401","3,210","4,197","5,017","4,898"
2021년02월_계_60~69세,"59,613","3,306","1,983","3,916","3,194","1,360","3,340","4,344","1,707","2,946","2,268","2,536","2,267","2,796","2,619","1,473","2,152","2,216","2,316","4,128","4,658","4,088"
2021년02월_계_70~79세,"37,254","2,164","1,233","2,515","2,104",963,"2,172","2,766","1,135","1,849","1,312","1,542","1,572","1,595","1,643",935,"1,293","1,242","1,354","2,669","2,659","2,537"
2021년02월_계_80~89세,"13,420",735,546,952,693,361,725,977,448,659,407,559,568,581,581,316,475,496,528,"1,056",849,908
2021년02월_계_90~99세,"1,794",100,76,147,97,43,99,120,49,79,62,56,81,82,72,42,62,62,65,179,113,108
2021년02월_계_100세 이상,324,9,24,30,18,11,18,17,10,10,3,10,15,20,16,17,13,8,12,29,19,15
2021년02월_남_총인구수,"247,472","12,014","7,563","14,561","14,220","8,504","16,956","16,589","7,336","12,668","8,819","11,685","9,155","13,084","11,370","11,448","7,738","8,831","14,223","11,702","15,241","13,765"
2021년02월_남_연령구간인구수,"247,472","12,014","7,563","14,561","14,220","8,504","16,956","16,589","7,336","12,668","8,819","11,685","9,155","13,084","11,370","11,448","7,738","8,831","14,223","11,702","15,241","13,765"
2021년02월_남_0~9세,"11,141",596,657,"1,035",609,354,609,"1,118",229,575,510,340,271,412,419,176,603,325,356,457,855,635
2021년02월_남_10~19세,"14,453",769,582,"1,517",671,399,826,"1,342",276,821,374,434,428,554,602,235,719,430,511,803,"1,145","1,015"
2021년02월_남_20~29세,"52,810","2,254",959,"1,978","3,359","2,590","4,917","2,597","1,840","2,745","1,771","3,243","2,196","3,196","2,723","4,059",899,"1,827","3,625","1,513","2,395","2,124"
2021년02월_남_30~39세,"47,754","2,193","1,286","1,940","3,203","1,968","3,630","2,765","1,624","2,544","1,957","2,669","1,866","2,911","2,228","3,259",916,"1,822","3,215","1,495","2,222","2,041"
2021년02월_남_40~49세,"36,298","1,752","1,271","2,505","1,932","1,072","2,092","2,719",954,"1,810","1,187","1,507","1,236","1,965","1,521","1,421","1,489","1,204","2,406","1,777","2,420","2,058"
2021년02월_남_50~59세,"34,195","1,613","1,144","2,343","1,701",861,"1,985","2,401",916,"1,702","1,167","1,350","1,211","1,685","1,618","1,003","1,295","1,283","2,018","2,105","2,411","2,383"
2021년02월_남_60~69세,"27,712","1,530",896,"1,759","1,473",650,"1,545","1,962",796,"1,348","1,023","1,159","1,003","1,333","1,232",704,"1,001","1,084","1,206","1,910","2,147","1,951"
2021년02월_남_70~79세,"16,986",989,538,"1,084",935,446,"1,001","1,242",499,806,613,726,703,759,740,440,603,610,620,"1,178","1,274","1,180"
2021년02월_남_80~89세,"5,630",296,206,354,309,148,313,419,186,288,205,242,223,256,268,142,189,227,249,413,340,357
2021년02월_남_90~99세,423,21,21,42,22,14,31,18,14,26,12,14,13,11,14,7,18,19,14,46,26,20
2021년02월_남_100세 이상,70,1,3,4,6,2,7,6,2,3,0,1,5,2,5,2,6,0,3,5,6,1
