,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년02월_계_총인구수,"44,494","9,924","3,056","3,528","1,933","1,886","2,280","3,478","6,012","1,762","1,736","1,499","4,322","3,078"
2021년02월_계_연령구간인구수,"44,494","9,924","3,056","3,528","1,933","1,886","2,280","3,478","6,012","1,762","1,736","1,499","4,322","3,078"
2021년02월_계_0~9세,"1,785",557,88,100,51,53,69,91,357,20,63,64,152,120
2021년02월_계_10~19세,"2,845",877,207,189,91,74,120,144,455,76,84,140,232,156
2021년02월_계_20~29세,"3,360",985,226,200,127,117,151,266,468,85,93,74,265,303
2021년02월_계_30~39세,"2,730",829,119,156,94,103,113,182,431,74,103,77,230,219
2021년02월_계_40~49세,"4,885","1,350",351,333,179,148,227,333,785,138,150,132,387,372
2021년02월_계_50~59세,"8,340","1,812",708,725,332,347,399,660,"1,069",301,278,257,840,612
2021년02월_계_60~69세,"9,010","1,667",606,773,445,432,503,765,"1,107",389,388,385,969,581
2021년02월_계_70~79세,"6,357","1,137",458,582,302,296,354,581,731,347,299,221,639,410
2021년02월_계_80~89세,"4,403",615,249,395,275,272,279,386,514,274,240,124,512,268
2021년02월_계_90~99세,757,94,42,73,37,42,64,68,92,55,37,24,92,37
2021년02월_계_100세 이상,22,1,2,2,0,2,1,2,3,3,1,1,4,0
2021년02월_남_총인구수,"22,217","4,893","1,549","1,738",942,926,"1,131","1,768","2,985",861,846,791,"2,169","1,618"
2021년02월_남_연령구간인구수,"22,217","4,893","1,549","1,738",942,926,"1,131","1,768","2,985",861,846,791,"2,169","1,618"
2021년02월_남_0~9세,926,285,42,61,33,25,41,49,163,11,27,41,78,70
2021년02월_남_10~19세,"1,535",445,116,106,57,39,56,73,249,34,50,95,125,90
2021년02월_남_20~29세,"2,015",557,125,125,68,67,102,175,286,59,51,41,158,201
2021년02월_남_30~39세,"1,510",441,66,85,49,60,65,121,220,45,61,41,125,131
2021년02월_남_40~49세,"2,727",696,183,188,104,91,133,192,440,78,84,79,233,226
2021년02월_남_50~59세,"4,574",955,407,386,180,181,223,385,567,167,164,141,466,352
2021년02월_남_60~69세,"4,673",831,321,405,234,231,266,378,560,208,212,205,519,303
2021년02월_남_70~79세,"2,764",475,191,242,129,140,151,257,328,161,124,112,289,165
2021년02월_남_80~89세,"1,332",189,87,132,73,79,83,125,154,86,64,32,157,71
2021년02월_남_90~99세,156,19,10,8,15,11,11,13,18,11,9,4,18,9
2021년02월_남_100세 이상,5,0,1,0,0,2,0,0,0,1,0,0,1,0
2021년02월_여_총인구수,"22,277","5,031","1,507","1,790",991,960,"1,149","1,710","3,027",901,890,708,"2,153","1,460"
2021년02월_여_연령구간인구수,"22,277","5,031","1,507","1,790",991,960,"1,149","1,710","3,027",901,890,708,"2,153","1,460"
2021년02월_여_0~9세,859,272,46,39,18,28,28,42,194,9,36,23,74,50
2021년02월_여_10~19세,"1,310",432,91,83,34,35,64,71,206,42,34,45,107,66
2021년02월_여_20~29세,"1,345",428,101,75,59,50,49,91,182,26,42,33,107,102
2021년02월_여_30~39세,"1,220",388,53,71,45,43,48,61,211,29,42,36,105,88
2021년02월_여_40~49세,"2,158",654,168,145,75,57,94,141,345,60,66,53,154,146
2021년02월_여_50~59세,"3,766",857,301,339,152,166,176,275,502,134,114,116,374,260
2021년02월_여_60~69세,"4,337",836,285,368,211,201,237,387,547,181,176,180,450,278
2021년02월_여_70~79세,"3,593",662,267,340,173,156,203,324,403,186,175,109,350,245
2021년02월_여_80~89세,"3,071",426,162,263,202,193,196,261,360,188,176,92,355,197
2021년02월_여_90~99세,601,75,32,65,22,31,53,55,74,44,28,20,74,28
2021년02월_여_100세 이상,17,1,1,2,0,0,1,2,3,2,1,1,3,0
