카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년06월_계_총인구수,"1,142,190","220,028","322,883","157,973","218,673","222,633"
2020년06월_계_연령구간인구수,"1,142,190","220,028","322,883","157,973","218,673","222,633"
2020년06월_계_0~9세,"101,761","17,279","24,576","15,545","25,898","18,463"
2020년06월_계_10~19세,"113,822","20,445","31,309","15,627","23,606","22,835"
2020년06월_계_20~29세,"146,741","27,627","46,444","18,084","28,077","26,509"
2020년06월_계_30~39세,"156,012","27,317","43,135","24,033","35,022","26,505"
2020년06월_계_40~49세,"189,274","34,899","52,518","25,771","38,383","37,703"
2020년06월_계_50~59세,"210,714","41,912","62,377","26,302","38,469","41,654"
2020년06월_계_60~69세,"139,985","30,913","40,221","21,872","18,625","28,354"
2020년06월_계_70~79세,"58,616","13,948","16,115","7,970","7,178","13,405"
2020년06월_계_80~89세,"22,068","5,026","5,489","2,386","2,951","6,216"
2020년06월_계_90~99세,"3,032",605,666,358,446,957
2020년06월_계_100세 이상,165,57,33,25,18,32
2020년06월_남_총인구수,"586,939","111,559","164,689","82,633","113,189","114,869"
2020년06월_남_연령구간인구수,"586,939","111,559","164,689","82,633","113,189","114,869"
2020년06월_남_0~9세,"52,351","8,938","12,664","7,995","13,310","9,444"
2020년06월_남_10~19세,"59,968","10,944","16,513","8,234","12,330","11,947"
2020년06월_남_20~29세,"82,286","15,353","25,931","10,200","15,784","15,018"
2020년06월_남_30~39세,"82,695","14,363","22,860","13,270","18,175","14,027"
2020년06월_남_40~49세,"96,202","17,706","25,622","13,950","19,609","19,315"
2020년06월_남_50~59세,"107,416","20,914","31,440","12,988","20,024","22,050"
2020년06월_남_60~69세,"70,649","15,103","20,004","11,150","9,713","14,679"
2020년06월_남_70~79세,"27,655","6,389","7,682","4,037","3,306","6,241"
2020년06월_남_80~89세,"7,190","1,741","1,849",758,866,"1,976"
2020년06월_남_90~99세,494,97,114,46,69,168
2020년06월_남_100세 이상,33,11,10,5,3,4
2020년06월_여_총인구수,"555,251","108,469","158,194","75,340","105,484","107,764"
2020년06월_여_연령구간인구수,"555,251","108,469","158,194","75,340","105,484","107,764"
2020년06월_여_0~9세,"49,410","8,341","11,912","7,550","12,588","9,019"
2020년06월_여_10~19세,"53,854","9,501","14,796","7,393","11,276","10,888"
2020년06월_여_20~29세,"64,455","12,274","20,513","7,884","12,293","11,491"
2020년06월_여_30~39세,"73,317","12,954","20,275","10,763","16,847","12,478"
2020년06월_여_40~49세,"93,072","17,193","26,896","11,821","18,774","18,388"
2020년06월_여_50~59세,"103,298","20,998","30,937","13,314","18,445","19,604"
2020년06월_여_60~69세,"69,336","15,810","20,217","10,722","8,912","13,675"
2020년06월_여_70~79세,"30,961","7,559","8,433","3,933","3,872","7,164"
2020년06월_여_80~89세,"14,878","3,285","3,640","1,628","2,085","4,240"
2020년06월_여_90~99세,"2,538",508,552,312,377,789
2020년06월_여_100세 이상,132,46,23,20,15,28
