카테고리,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년09월_계_총인구수,"844,110","187,003","2,304","5,069","3,985","6,958","4,072","5,802","7,017","9,057","10,974","29,970","13,630","54,048","34,117","197,483","10,226","3,380","7,920","14,604","15,032","14,872","27,045","31,417","13,808","13,739","45,440","265,838","23,438","10,888","18,060","17,483","51,915","16,299","51,367","9,813","24,637","28,460","13,478","193,786","19,761","69,235","4,683","12,464","8,822","11,666","48,602","18,553"
2020년09월_계_연령구간인구수,"844,110","187,003","2,304","5,069","3,985","6,958","4,072","5,802","7,017","9,057","10,974","29,970","13,630","54,048","34,117","197,483","10,226","3,380","7,920","14,604","15,032","14,872","27,045","31,417","13,808","13,739","45,440","265,838","23,438","10,888","18,060","17,483","51,915","16,299","51,367","9,813","24,637","28,460","13,478","193,786","19,761","69,235","4,683","12,464","8,822","11,666","48,602","18,553"
2020년09월_계_0~9세,"75,212","15,892",45,113,107,437,105,225,232,433,678,"2,572","1,576","5,563","3,806","14,398",653,94,321,"1,449",699,724,"2,466","2,683",580,708,"4,021","24,486","2,374",698,"2,319",966,"6,177",648,"4,358",519,"1,821","2,096","2,510","20,436","1,575","10,186",101,547,359,703,"4,447","2,518"
2020년09월_계_10~19세,"86,521","19,576",67,215,132,438,203,432,409,706,958,"3,732","1,967","6,456","3,861","20,794",673,127,556,"1,436","1,022","1,012","4,091","4,264","1,004","1,151","5,458","26,708","2,244","1,060","1,281","1,558","6,640","1,141","6,518",608,"2,383","2,379",896,"19,443","1,937","7,374",184,755,593,887,"5,365","2,348"
2020년09월_계_20~29세,"119,555","24,111",179,344,326,766,314,826,969,"1,094","1,372","3,934","1,580","7,598","4,809","28,579","1,169",191,950,"1,740","3,432","2,322","3,676","4,628","2,061","1,764","6,646","41,042","3,063","1,446","2,022","2,607","7,446","3,410","7,514","1,998","4,299","5,268","1,969","25,823","2,380","8,732",366,"2,079","1,128","1,762","7,438","1,938"
2020년09월_계_30~39세,"118,914","22,368",135,280,246,719,249,577,720,860,"1,223","3,278","1,627","7,587","4,867","23,328","1,091",220,792,"1,999","2,035","1,649","3,257","3,558","1,365","1,307","6,055","41,376","3,878","1,153","3,569","1,966","8,730","1,881","6,245","1,624","4,016","4,725","3,589","31,842","2,170","15,632",300,"1,480",855,"1,249","7,036","3,120"
2020년09월_계_40~49세,"136,850","29,931",185,423,375,828,422,773,862,"1,246","1,613","5,326","2,561","9,556","5,761","31,313","1,293",351,"1,053","2,126","1,909","1,911","5,273","5,757","1,832","1,728","8,080","43,415","4,107","1,570","2,567","2,560","10,108","2,090","8,811","1,365","3,997","4,409","1,831","32,191","3,171","12,383",435,"1,607","1,189","1,752","8,108","3,546"
2020년09월_계_50~59세,"138,063","32,534",473,961,892,"1,356",773,996,"1,221","1,690","1,932","5,070","2,154","9,044","5,972","34,799","2,225",625,"1,604","2,424","2,237","2,775","4,522","5,645","2,609","2,831","7,302","43,106","3,299","2,075","2,740","3,602","7,312","2,990","9,612","1,612","4,105","4,497","1,262","27,624","3,554","7,188",925,"2,106","1,609","1,988","7,951","2,303"
2020년09월_계_60~69세,"95,022","23,189",591,"1,260",938,"1,266",854,939,"1,285","1,513","1,695","3,389","1,190","5,129","3,140","24,893","1,739",768,"1,393","1,994","1,999","2,529","2,191","2,688","2,330","2,355","4,907","27,003","2,362","1,532","1,961","2,502","3,426","2,399","5,371","1,228","2,477","2,967",778,"19,937","2,554","4,472","1,086","1,919","1,582","1,700","5,091","1,533"
2020년09월_계_70~79세,"47,139","12,221",348,819,572,629,607,653,819,980,"1,026","1,838",645,"2,041","1,244","12,456",814,554,789,909,"1,193","1,292",999,"1,354","1,358","1,207","1,987","12,105","1,332",832,971,"1,095","1,367","1,241","1,965",598,"1,022","1,315",367,"10,357","1,464","2,050",715,"1,242",987,"1,076","2,047",776
