카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년02월_계_총인구수,"41,551","2,561","2,859","6,499","10,745","4,719","1,061","1,014","4,773","7,320"
2021년02월_계_연령구간인구수,"41,551","2,561","2,859","6,499","10,745","4,719","1,061","1,014","4,773","7,320"
2021년02월_계_0~9세,"1,292",35,75,198,393,106,21,15,180,269
2021년02월_계_10~19세,"2,038",71,103,391,572,206,34,30,207,424
2021년02월_계_20~29세,"5,687",667,299,949,"1,498",547,114,65,783,765
2021년02월_계_30~39세,"4,509",441,235,676,"1,140",487,110,89,675,656
2021년02월_계_40~49세,"5,376",304,349,918,"1,437",551,118,105,655,939
2021년02월_계_50~59세,"7,006",352,527,"1,072","1,823",805,193,208,714,"1,312"
2021년02월_계_60~69세,"7,935",381,582,"1,153","1,995","1,033",249,290,778,"1,474"
2021년02월_계_70~79세,"5,108",197,449,774,"1,256",632,137,152,502,"1,009"
2021년02월_계_80~89세,"2,134",88,188,287,541,278,64,46,234,408
2021년02월_계_90~99세,378,22,47,72,76,49,16,12,35,49
2021년02월_계_100세 이상,88,3,5,9,14,25,5,2,10,15
2021년02월_남_총인구수,"20,262","1,253","1,448","3,050","5,210","2,227",533,567,"2,432","3,542"
2021년02월_남_연령구간인구수,"20,262","1,253","1,448","3,050","5,210","2,227",533,567,"2,432","3,542"
2021년02월_남_0~9세,674,19,33,105,199,63,12,9,97,137
2021년02월_남_10~19세,"1,011",38,46,184,286,105,16,14,106,216
2021년02월_남_20~29세,"2,802",271,160,458,746,260,63,36,396,412
2021년02월_남_30~39세,"2,443",228,133,350,596,267,59,53,392,365
2021년02월_남_40~49세,"2,942",163,204,484,783,299,60,65,386,498
2021년02월_남_50~59세,"3,522",192,276,500,906,393,101,137,374,643
2021년02월_남_60~69세,"3,731",196,288,536,925,452,130,161,367,676
2021년02월_남_70~79세,"2,223",105,215,313,528,278,61,73,224,426
2021년02월_남_80~89세,785,35,77,102,214,91,23,12,78,153
2021년02월_남_90~99세,109,6,15,13,24,13,6,7,10,15
2021년02월_남_100세 이상,20,0,1,5,3,6,2,0,2,1
2021년02월_여_총인구수,"21,289","1,308","1,411","3,449","5,535","2,492",528,447,"2,341","3,778"
2021년02월_여_연령구간인구수,"21,289","1,308","1,411","3,449","5,535","2,492",528,447,"2,341","3,778"
2021년02월_여_0~9세,618,16,42,93,194,43,9,6,83,132
2021년02월_여_10~19세,"1,027",33,57,207,286,101,18,16,101,208
2021년02월_여_20~29세,"2,885",396,139,491,752,287,51,29,387,353
2021년02월_여_30~39세,"2,066",213,102,326,544,220,51,36,283,291
2021년02월_여_40~49세,"2,434",141,145,434,654,252,58,40,269,441
2021년02월_여_50~59세,"3,484",160,251,572,917,412,92,71,340,669
2021년02월_여_60~69세,"4,204",185,294,617,"1,070",581,119,129,411,798
2021년02월_여_70~79세,"2,885",92,234,461,728,354,76,79,278,583
2021년02월_여_80~89세,"1,349",53,111,185,327,187,41,34,156,255
2021년02월_여_90~99세,269,16,32,59,52,36,10,5,25,34
2021년02월_여_100세 이상,68,3,4,4,11,19,3,2,8,14
