,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년06월_계_총인구수,"449,039","26,517","31,871","28,415","9,794","5,532","8,271","51,487","39,656","23,045","62,219","41,377","40,433","30,791","49,631"
2020년06월_계_연령구간인구수,"449,039","26,517","31,871","28,415","9,794","5,532","8,271","51,487","39,656","23,045","62,219","41,377","40,433","30,791","49,631"
2020년06월_계_0~9세,"52,458","1,744","3,605","2,346",333,147,270,"3,978","5,321","1,711","7,257","6,165","6,610","5,038","7,933"
2020년06월_계_10~19세,"45,816","2,303","3,121","2,404",570,278,481,"5,797","5,567","2,156","7,094","5,029","3,455","2,496","5,065"
2020년06월_계_20~29세,"48,959","3,226","3,183","2,958",914,503,830,"7,035","3,889","3,225","7,375","3,751","4,786","2,702","4,582"
2020년06월_계_30~39세,"71,607","2,906","4,980","3,900",881,403,666,"5,774","5,995","3,044","9,407","6,998","9,862","7,200","9,591"
2020년06월_계_40~49세,"83,297","4,095","5,699","4,746","1,296",628,938,"8,775","8,521","3,892","11,800","9,007","7,595","5,695","10,610"
2020년06월_계_50~59세,"64,394","5,163","4,597","4,894","2,228","1,202","1,752","9,560","4,876","4,225","8,870","4,777","3,692","2,979","5,579"
2020년06월_계_60~69세,"46,205","3,950","3,935","4,046","1,938","1,245","1,645","5,738","3,069","2,662","5,806","3,209","2,683","2,601","3,678"
2020년06월_계_70~79세,"24,841","1,983","1,893","2,114","1,065",694,"1,056","3,198","1,696","1,437","3,236","1,753","1,277","1,573","1,866"
2020년06월_계_80~89세,"9,980","1,025",725,851,495,359,556,"1,428",643,603,"1,218",599,418,435,625
2020년06월_계_90~99세,"1,413",118,121,148,72,68,71,189,77,86,149,88,54,70,102
2020년06월_계_100세 이상,69,4,12,8,2,5,6,15,2,4,7,1,1,2,0
2020년06월_남_총인구수,"225,141","14,123","15,954","15,012","5,702","3,033","4,507","25,458","19,347","11,552","30,504","20,333","20,041","15,268","24,307"
2020년06월_남_연령구간인구수,"225,141","14,123","15,954","15,012","5,702","3,033","4,507","25,458","19,347","11,552","30,504","20,333","20,041","15,268","24,307"
2020년06월_남_0~9세,"26,808",901,"1,886","1,178",175,75,152,"1,985","2,667",907,"3,717","3,176","3,354","2,583","4,052"
2020년06월_남_10~19세,"23,348","1,232","1,599","1,246",310,137,266,"2,995","2,832","1,127","3,622","2,442","1,688","1,265","2,587"
2020년06월_남_20~29세,"25,376","1,911","1,632","1,632",578,305,497,"3,769","1,916","1,725","3,653","1,948","2,272","1,303","2,235"
2020년06월_남_30~39세,"35,139","1,629","2,431","2,178",550,229,389,"2,829","2,766","1,547","4,460","3,254","4,939","3,587","4,351"
2020년06월_남_40~49세,"43,324","2,297","2,932","2,681",836,394,572,"4,232","4,226","1,961","5,815","4,633","4,112","3,087","5,546"
2020년06월_남_50~59세,"32,946","2,782","2,292","2,665","1,396",692,"1,005","4,774","2,488","2,123","4,437","2,421","1,727","1,399","2,745"
2020년06월_남_60~69세,"22,488","2,083","1,943","2,078","1,111",681,885,"2,889","1,399","1,284","2,747","1,439","1,190","1,114","1,645"
2020년06월_남_70~79세,"11,603",889,934,"1,003",531,374,496,"1,392",792,639,"1,540",796,588,752,877
2020년06월_남_80~89세,"3,750",365,271,319,197,133,218,532,243,224,474,209,162,156,247
2020년06월_남_90~99세,340,32,31,29,18,12,25,57,16,15,38,15,9,21,22
2020년06월_남_100세 이상,19,2,3,3,0,1,2,4,2,0,1,0,0,1,0
2020년06월_여_총인구수,"223,898","12,394","15,917","13,403","4,092","2,499","3,764","26,029","20,309","11,493","31,715","21,044","20,392","15,523","25,324"
2020년06월_여_연령구간인구수,"223,898","12,394","15,917","13,403","4,092","2,499","3,764","26,029","20,309","11,493","31,715","21,044","20,392","15,523","25,324"
2020년06월_여_0~9세,"25,650",843,"1,719","1,168",158,72,118,"1,993","2,654",804,"3,540","2,989","3,256","2,455","3,881"
2020년06월_여_10~19세,"22,468","1,071","1,522","1,158",260,141,215,"2,802","2,735","1,029","3,472","2,587","1,767","1,231","2,478"
2020년06월_여_20~29세,"23,583","1,315","1,551","1,326",336,198,333,"3,266","1,973","1,500","3,722","1,803","2,514","1,399","2,347"
2020년06월_여_30~39세,"36,468","1,277","2,549","1,722",331,174,277,"2,945","3,229","1,497","4,947","3,744","4,923","3,613","5,240"
2020년06월_여_40~49세,"39,973","1,798","2,767","2,065",460,234,366,"4,543","4,295","1,931","5,985","4,374","3,483","2,608","5,064"
2020년06월_여_50~59세,"31,448","2,381","2,305","2,229",832,510,747,"4,786","2,388","2,102","4,433","2,356","1,965","1,580","2,834"
2020년06월_여_60~69세,"23,717","1,867","1,992","1,968",827,564,760,"2,849","1,670","1,378","3,059","1,770","1,493","1,487","2,033"
2020년06월_여_70~79세,"13,238","1,094",959,"1,111",534,320,560,"1,806",904,798,"1,696",957,689,821,989
2020년06월_여_80~89세,"6,230",660,454,532,298,226,338,896,400,379,744,390,256,279,378
2020년06월_여_90~99세,"1,073",86,90,119,54,56,46,132,61,71,111,73,45,49,80
2020년06월_여_100세 이상,50,2,9,5,2,4,4,11,0,4,6,1,1,1,0
