카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년07월_계_총인구수,"43,098","6,481","4,524","6,041","13,796","3,955","3,535","2,631","2,135"
2020년07월_계_연령구간인구수,"43,098","6,481","4,524","6,041","13,796","3,955","3,535","2,631","2,135"
2020년07월_계_0~9세,"2,702",501,199,408,"1,180",166,127,78,43
2020년07월_계_10~19세,"3,885",573,319,516,"1,678",275,232,185,107
2020년07월_계_20~29세,"3,691",609,347,396,"1,448",277,313,165,136
2020년07월_계_30~39세,"3,932",637,303,564,"1,598",293,262,154,121
2020년07월_계_40~49세,"6,534",940,620,938,"2,620",531,399,282,204
2020년07월_계_50~59세,"7,491","1,132",837,987,"2,194",777,752,432,380
2020년07월_계_60~69세,"7,602","1,105",992,"1,071","1,716",896,715,610,497
2020년07월_계_70~79세,"4,885",661,636,779,942,512,462,485,408
2020년07월_계_80~89세,"2,050",266,223,330,370,200,240,215,206
2020년07월_계_90~99세,264,43,40,44,42,23,26,21,25
2020년07월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년07월_남_총인구수,"21,804","3,217","2,315","3,049","7,001","1,991","1,752","1,368","1,111"
2020년07월_남_연령구간인구수,"21,804","3,217","2,315","3,049","7,001","1,991","1,752","1,368","1,111"
2020년07월_남_0~9세,"1,399",264,100,218,599,83,65,47,23
2020년07월_남_10~19세,"2,018",306,173,255,877,125,111,114,57
2020년07월_남_20~29세,"2,118",361,207,237,813,149,173,98,80
2020년07월_남_30~39세,"2,056",329,165,274,810,166,155,83,74
2020년07월_남_40~49세,"3,476",471,345,535,"1,340",289,207,171,118
2020년07월_남_50~59세,"4,011",568,459,560,"1,159",404,398,244,219
2020년07월_남_60~69세,"3,725",518,499,492,837,446,363,314,256
2020년07월_남_70~79세,"2,187",290,275,349,430,237,200,214,192
2020년07월_남_80~89세,731,94,80,115,124,87,76,76,79
2020년07월_남_90~99세,57,9,9,11,7,3,2,5,11
2020년07월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년07월_여_총인구수,"21,294","3,264","2,209","2,992","6,795","1,964","1,783","1,263","1,024"
2020년07월_여_연령구간인구수,"21,294","3,264","2,209","2,992","6,795","1,964","1,783","1,263","1,024"
2020년07월_여_0~9세,"1,303",237,99,190,581,83,62,31,20
2020년07월_여_10~19세,"1,867",267,146,261,801,150,121,71,50
2020년07월_여_20~29세,"1,573",248,140,159,635,128,140,67,56
2020년07월_여_30~39세,"1,876",308,138,290,788,127,107,71,47
2020년07월_여_40~49세,"3,058",469,275,403,"1,280",242,192,111,86
2020년07월_여_50~59세,"3,480",564,378,427,"1,035",373,354,188,161
2020년07월_여_60~69세,"3,877",587,493,579,879,450,352,296,241
2020년07월_여_70~79세,"2,698",371,361,430,512,275,262,271,216
2020년07월_여_80~89세,"1,319",172,143,215,246,113,164,139,127
2020년07월_여_90~99세,207,34,31,33,35,20,24,16,14
2020년07월_여_100세 이상,36,7,5,5,3,3,5,2,6
