카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년12월_계_총인구수,"230,040","17,696","9,972","7,623","19,829","16,089","14,202","10,205","12,327","20,444","28,139","8,727","6,923","9,285","21,176","13,187","14,216"
2020년12월_계_연령구간인구수,"230,040","17,696","9,972","7,623","19,829","16,089","14,202","10,205","12,327","20,444","28,139","8,727","6,923","9,285","21,176","13,187","14,216"
2020년12월_계_0~9세,"13,496",965,364,190,665,"1,318",941,768,766,"1,122","2,734",563,237,432,"1,178",787,466
2020년12월_계_10~19세,"15,609","1,272",534,262,"1,175",868,"1,258",767,843,997,"2,918",514,282,494,"1,162","1,471",792
2020년12월_계_20~29세,"33,485","2,597","1,557",960,"4,244","2,458","1,856","1,575","1,856","3,138","3,002",965,"1,054","1,409","2,784","1,802","2,228"
2020년12월_계_30~39세,"38,069","2,830","1,736","1,041","3,113","3,695","2,074","1,859","2,023","4,043","3,663","1,470","1,150","1,656","4,038","1,522","2,156"
2020년12월_계_40~49세,"35,698","2,803","1,391","1,099","2,757","2,628","2,306","1,570","1,863","2,867","4,914","1,257",880,"1,421","3,379","2,468","2,095"
2020년12월_계_50~59세,"37,070","2,867","1,454","1,625","3,133","2,209","2,348","1,566","1,975","3,464","4,593","1,406","1,131","1,300","3,291","2,219","2,489"
2020년12월_계_60~69세,"28,840","2,259","1,451","1,368","2,387","1,619","1,733","1,061","1,552","2,544","3,005","1,337","1,077","1,208","2,781","1,418","2,040"
2020년12월_계_70~79세,"17,203","1,340",923,689,"1,526",842,"1,056",638,972,"1,422","1,839",770,638,841,"1,639",806,"1,262"
2020년12월_계_80~89세,"8,572",603,452,286,687,363,545,327,393,662,"1,198",367,370,424,727,602,566
2020년12월_계_90~99세,"1,627",129,88,72,108,70,71,60,71,142,240,64,80,85,162,86,99
2020년12월_계_100세 이상,371,31,22,31,34,19,14,14,13,43,33,14,24,15,35,6,23
2020년12월_남_총인구수,"110,722","8,591","4,798","4,641","9,325","7,748","6,677","4,834","5,879","9,858","13,152","4,101","3,290","4,276","10,185","6,328","7,039"
2020년12월_남_연령구간인구수,"110,722","8,591","4,798","4,641","9,325","7,748","6,677","4,834","5,879","9,858","13,152","4,101","3,290","4,276","10,185","6,328","7,039"
2020년12월_남_0~9세,"6,970",497,190,92,322,670,467,396,387,583,"1,443",290,116,225,630,408,254
2020년12월_남_10~19세,"7,932",703,275,146,632,448,504,396,435,526,"1,456",261,143,235,587,739,446
2020년12월_남_20~29세,"15,925","1,308",811,458,"1,695","1,039",869,734,888,"1,409","1,467",476,545,691,"1,397",890,"1,248"
2020년12월_남_30~39세,"19,032","1,475",894,555,"1,687","1,805","1,052",903,991,"1,918","1,633",746,631,826,"1,987",739,"1,190"
2020년12월_남_40~49세,"17,529","1,343",716,707,"1,395","1,357","1,128",742,917,"1,404","2,202",620,430,675,"1,676","1,165","1,052"
2020년12월_남_50~59세,"18,344","1,398",673,"1,144","1,553","1,093","1,161",753,975,"1,722","2,204",651,527,583,"1,576","1,112","1,219"
