카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년08월_계_총인구수,"407,371","11,232","6,678","15,910","4,750","33,061","27,267","11,531","16,386","7,350","27,646","43,885","20,409","31,893","78,238","23,329","2,174","1,941","4,057","2,286","2,091","35,257"
2020년08월_계_연령구간인구수,"407,371","11,232","6,678","15,910","4,750","33,061","27,267","11,531","16,386","7,350","27,646","43,885","20,409","31,893","78,238","23,329","2,174","1,941","4,057","2,286","2,091","35,257"
2020년08월_계_0~9세,"41,238",733,357,"1,519",349,"4,074","2,168",772,"1,217",690,"2,028","3,959","2,181","3,165","10,633","3,168",63,50,139,58,42,"3,873"
2020년08월_계_10~19세,"53,129","1,207",399,"1,731",435,"3,685","2,172","1,201","2,113",788,"3,592","5,776","3,081","4,067","13,602","3,140",128,81,147,117,88,"5,579"
2020년08월_계_20~29세,"58,416","1,743",965,"2,229",608,"4,017","4,162","1,960","2,477",913,"5,213","7,911","2,844","4,821","9,372","2,839",180,177,420,171,155,"5,239"
2020년08월_계_30~39세,"55,746","1,223",920,"2,275",568,"5,639","4,235","1,328","1,825",939,"3,347","5,959","2,590","4,200","10,864","3,691",120,144,448,157,132,"5,142"
2020년08월_계_40~49세,"77,437","1,943",876,"2,788",737,"6,092","4,086","1,765","2,997","1,411","4,548","8,209","4,242","5,954","18,099","4,742",185,181,510,210,230,"7,632"
2020년08월_계_50~59세,"63,253","1,835","1,106","2,438",788,"4,536","4,823","2,283","3,034","1,321","5,475","7,541","3,072","5,482","9,535","3,135",388,329,658,405,338,"4,731"
2020년08월_계_60~69세,"32,344","1,312",939,"1,459",626,"2,936","3,162","1,362","1,655",668,"2,163","2,671","1,348","2,298","3,780","1,728",454,403,787,460,360,"1,773"
2020년08월_계_70~79세,"16,981",868,772,"1,016",450,"1,403","1,540",560,738,389,808,"1,186",748,"1,286","1,669",585,359,372,585,371,396,880
