카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년11월_계_총인구수,"61,716","6,936","5,945","7,613","10,413","3,573","1,583","2,732","7,609","6,127","6,263","2,922"
2021년11월_계_연령구간인구수,"61,716","6,936","5,945","7,613","10,413","3,573","1,583","2,732","7,609","6,127","6,263","2,922"
2021년11월_계_0~9세,"3,507",426,219,309,773,106,80,70,392,522,509,101
2021년11월_계_10~19세,"4,910",578,451,610,869,196,109,147,644,569,567,170
2021년11월_계_20~29세,"6,407",726,666,742,"1,167",367,156,242,789,732,542,278
2021년11월_계_30~39세,"6,819",763,487,705,"1,324",330,149,212,776,"1,090",756,227
2021년11월_계_40~49세,"9,701","1,134",833,"1,158","1,736",466,236,329,"1,246","1,064","1,096",403
2021년11월_계_50~59세,"9,958","1,192","1,072","1,232","1,570",635,238,451,"1,239",947,945,437
2021년11월_계_60~69세,"10,455","1,130","1,087","1,388","1,600",747,300,603,"1,293",738,987,582
2021년11월_계_70~79세,"6,517",625,757,933,974,444,187,415,821,333,545,483
2021년11월_계_80~89세,"2,974",313,317,476,349,254,112,227,355,109,255,207
2021년11월_계_90~99세,448,48,54,60,51,27,15,32,52,21,54,34
2021년11월_계_100세 이상,20,1,2,0,0,1,1,4,2,2,7,0
2021년11월_남_총인구수,"31,120","3,568","3,035","3,746","5,088","1,849",769,"1,408","3,901","3,172","3,128","1,456"
2021년11월_남_연령구간인구수,"31,120","3,568","3,035","3,746","5,088","1,849",769,"1,408","3,901","3,172","3,128","1,456"
2021년11월_남_0~9세,"1,838",235,118,164,387,56,37,39,219,269,272,42
2021년11월_남_10~19세,"2,533",295,231,290,459,98,53,72,333,288,316,98
2021년11월_남_20~29세,"3,461",408,367,396,592,206,83,156,461,373,275,144
2021년11월_남_30~39세,"3,661",409,257,384,668,192,87,131,429,600,374,130
2021년11월_남_40~49세,"5,223",609,442,645,901,275,126,185,652,569,589,230
2021년11월_남_50~59세,"5,322",653,605,657,764,357,118,266,671,501,490,240
2021년11월_남_60~69세,"5,064",575,538,658,731,388,148,288,624,368,458,288
2021년11월_남_70~79세,"2,869",272,335,382,449,184,84,178,366,155,256,208
2021년11월_남_80~89세,"1,039",98,128,155,129,86,28,83,132,42,91,67
2021년11월_남_90~99세,106,13,14,15,8,7,5,8,14,7,6,9
2021년11월_남_100세 이상,4,1,0,0,0,0,0,2,0,0,1,0
2021년11월_여_총인구수,"30,596","3,368","2,910","3,867","5,325","1,724",814,"1,324","3,708","2,955","3,135","1,466"
2021년11월_여_연령구간인구수,"30,596","3,368","2,910","3,867","5,325","1,724",814,"1,324","3,708","2,955","3,135","1,466"
2021년11월_여_0~9세,"1,669",191,101,145,386,50,43,31,173,253,237,59
2021년11월_여_10~19세,"2,377",283,220,320,410,98,56,75,311,281,251,72
2021년11월_여_20~29세,"2,946",318,299,346,575,161,73,86,328,359,267,134
2021년11월_여_30~39세,"3,158",354,230,321,656,138,62,81,347,490,382,97
2021년11월_여_40~49세,"4,478",525,391,513,835,191,110,144,594,495,507,173
2021년11월_여_50~59세,"4,636",539,467,575,806,278,120,185,568,446,455,197
2021년11월_여_60~69세,"5,391",555,549,730,869,359,152,315,669,370,529,294
2021년11월_여_70~79세,"3,648",353,422,551,525,260,103,237,455,178,289,275
2021년11월_여_80~89세,"1,935",215,189,321,220,168,84,144,223,67,164,140
2021년11월_여_90~99세,342,35,40,45,43,20,10,24,38,14,48,25
2021년11월_여_100세 이상,16,0,2,0,0,1,1,2,2,2,6,0
