,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년09월_계_총인구수,"218,903","37,572","40,256","39,158","16,568","29,929","35,128","10,110","10,182"
2020년09월_계_연령구간인구수,"218,903","37,572","40,256","39,158","16,568","29,929","35,128","10,110","10,182"
2020년09월_계_0~9세,"25,608","4,760","5,519","3,858","2,719","2,741","4,456",765,790
2020년09월_계_10~19세,"23,628","3,940","4,643","6,313","1,294","2,312","3,579",756,791
2020년09월_계_20~29세,"27,962","4,342","4,548","4,949","1,245","4,788","5,006","1,748","1,336"
2020년09월_계_30~39세,"34,679","5,942","6,817","4,073","3,594","4,922","6,223","1,632","1,476"
2020년09월_계_40~49세,"38,495","6,691","7,426","8,592","2,732","4,423","5,635","1,460","1,536"
2020년09월_계_50~59세,"38,632","6,271","6,354","7,022","2,184","6,374","6,419","2,047","1,961"
2020년09월_계_60~69세,"19,166","3,524","3,165","2,549","1,733","2,998","2,522","1,148","1,527"
2020년09월_계_70~79세,"7,301","1,486","1,188","1,226",661,937,849,395,559
2020년09월_계_80~89세,"2,971",532,517,500,342,379,379,136,186
2020년09월_계_90~99세,440,79,78,73,59,54,60,22,15
2020년09월_계_100세 이상,21,5,1,3,5,1,0,1,5
2020년09월_남_총인구수,"113,315","19,179","20,616","19,930","8,466","15,963","17,927","5,790","5,444"
2020년09월_남_연령구간인구수,"113,315","19,179","20,616","19,930","8,466","15,963","17,927","5,790","5,444"
2020년09월_남_0~9세,"13,136","2,433","2,866","1,985","1,350","1,431","2,297",379,395
2020년09월_남_10~19세,"12,350","2,028","2,427","3,336",654,"1,228","1,837",408,432
2020년09월_남_20~29세,"15,752","2,387","2,494","2,745",671,"2,703","2,745","1,187",820
2020년09월_남_30~39세,"18,012","2,985","3,417","1,940","1,822","2,827","3,181",998,842
2020년09월_남_40~49세,"19,680","3,482","3,858","4,056","1,533","2,342","2,710",829,870
2020년09월_남_50~59세,"20,020","3,196","3,223","3,829","1,091","3,270","3,290","1,137",984
2020년09월_남_60~69세,"10,042","1,826","1,606","1,340",917,"1,597","1,355",613,788
2020년09월_남_70~79세,"3,380",677,558,531,316,448,408,203,239
2020년09월_남_80~89세,872,151,157,153,101,108,99,32,71
2020년09월_남_90~99세,67,13,10,15,11,8,5,4,1
2020년09월_남_100세 이상,4,1,0,0,0,1,0,0,2
2020년09월_여_총인구수,"105,588","18,393","19,640","19,228","8,102","13,966","17,201","4,320","4,738"
2020년09월_여_연령구간인구수,"105,588","18,393","19,640","19,228","8,102","13,966","17,201","4,320","4,738"
2020년09월_여_0~9세,"12,472","2,327","2,653","1,873","1,369","1,310","2,159",386,395
2020년09월_여_10~19세,"11,278","1,912","2,216","2,977",640,"1,084","1,742",348,359
2020년09월_여_20~29세,"12,210","1,955","2,054","2,204",574,"2,085","2,261",561,516
2020년09월_여_30~39세,"16,667","2,957","3,400","2,133","1,772","2,095","3,042",634,634
2020년09월_여_40~49세,"18,815","3,209","3,568","4,536","1,199","2,081","2,925",631,666
2020년09월_여_50~59세,"18,612","3,075","3,131","3,193","1,093","3,104","3,129",910,977
2020년09월_여_60~69세,"9,124","1,698","1,559","1,209",816,"1,401","1,167",535,739
2020년09월_여_70~79세,"3,921",809,630,695,345,489,441,192,320
2020년09월_여_80~89세,"2,099",381,360,347,241,271,280,104,115
2020년09월_여_90~99세,373,66,68,58,48,46,55,18,14
2020년09월_여_100세 이상,17,4,1,3,5,0,0,1,3
