카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년08월_계_총인구수,"351,691","119,356","35,370","3,422","13,056","8,521","11,617","33,823","22,372","9,115","28,708","20,116","31,059","15,156"
2020년08월_계_연령구간인구수,"351,691","119,356","35,370","3,422","13,056","8,521","11,617","33,823","22,372","9,115","28,708","20,116","31,059","15,156"
2020년08월_계_0~9세,"35,417","16,366","5,019",87,556,199,480,"2,712","1,435",768,"2,489","1,489","2,588","1,229"
2020년08월_계_10~19세,"34,279","12,249","2,777",118,883,609,653,"4,331","1,844","1,034","3,315","1,785","3,318","1,363"
2020년08월_계_20~29세,"40,731","14,313","3,366",166,"1,362",894,"1,447","4,611","3,258","1,021","3,237","2,172","3,184","1,700"
2020년08월_계_30~39세,"50,396","21,611","6,724",209,"1,116",620,"1,279","3,515","3,106","1,142","3,482","2,373","3,311","1,908"
2020년08월_계_40~49세,"60,487","21,488","6,282",301,"1,702",958,"1,487","6,296","3,554","1,663","5,452","3,393","5,535","2,376"
2020년08월_계_50~59세,"58,480","16,719","4,812",637,"2,819","1,953","2,504","6,150","4,621","1,567","4,911","3,786","5,176","2,825"
2020년08월_계_60~69세,"41,493","10,358","3,887",929,"2,535","1,850","2,294","3,350","2,866","1,118","3,434","2,799","3,993","2,080"
2020년08월_계_70~79세,"20,750","4,358","1,810",621,"1,390",888,"1,005","1,985","1,152",547,"1,675","1,528","2,685","1,106"
2020년08월_계_80~89세,"8,559","1,668",606,305,601,464,404,794,462,230,625,723,"1,163",514
2020년08월_계_90~99세,"1,041",218,85,47,83,78,56,77,71,25,78,66,102,55
2020년08월_계_100세 이상,58,8,2,2,9,8,8,2,3,0,10,2,4,0
2020년08월_남_총인구수,"176,488","59,050","17,916","1,763","6,653","4,485","6,168","16,406","11,712","4,589","14,950","10,019","15,165","7,612"
2020년08월_남_연령구간인구수,"176,488","59,050","17,916","1,763","6,653","4,485","6,168","16,406","11,712","4,589","14,950","10,019","15,165","7,612"
2020년08월_남_0~9세,"18,098","8,326","2,586",47,275,98,248,"1,394",733,385,"1,287",749,"1,324",646
2020년08월_남_10~19세,"17,667","6,325","1,390",57,446,339,376,"2,266",977,478,"1,703",919,"1,692",699
2020년08월_남_20~29세,"21,804","7,087","1,835",99,799,533,869,"2,430","1,889",542,"1,847","1,189","1,737",948
2020년08월_남_30~39세,"25,860","10,693","3,383",136,641,365,745,"1,712","1,780",633,"1,876","1,240","1,655","1,001"
2020년08월_남_40~49세,"30,754","10,806","3,387",182,900,514,841,"2,872","1,874",841,"2,861","1,711","2,787","1,178"
2020년08월_남_50~59세,"29,478","8,179","2,382",338,"1,449","1,039","1,297","3,048","2,291",832,"2,669","1,936","2,602","1,416"
2020년08월_남_60~69세,"20,370","5,072","1,845",485,"1,317","1,000","1,168","1,521","1,516",559,"1,709","1,376","1,772","1,030"
2020년08월_남_70~79세,"9,291","2,001",885,307,602,428,471,838,502,246,764,642,"1,117",488
2020년08월_남_80~89세,"2,939",525,204,102,204,149,136,310,130,72,221,239,453,194
2020년08월_남_90~99세,217,35,19,10,17,20,16,14,18,1,13,18,24,12
2020년08월_남_100세 이상,10,1,0,0,3,0,1,1,2,0,0,0,2,0
2020년08월_여_총인구수,"175,203","60,306","17,454","1,659","6,403","4,036","5,449","17,417","10,660","4,526","13,758","10,097","15,894","7,544"
2020년08월_여_연령구간인구수,"175,203","60,306","17,454","1,659","6,403","4,036","5,449","17,417","10,660","4,526","13,758","10,097","15,894","7,544"
2020년08월_여_0~9세,"17,319","8,040","2,433",40,281,101,232,"1,318",702,383,"1,202",740,"1,264",583
2020년08월_여_10~19세,"16,612","5,924","1,387",61,437,270,277,"2,065",867,556,"1,612",866,"1,626",664
2020년08월_여_20~29세,"18,927","7,226","1,531",67,563,361,578,"2,181","1,369",479,"1,390",983,"1,447",752
2020년08월_여_30~39세,"24,536","10,918","3,341",73,475,255,534,"1,803","1,326",509,"1,606","1,133","1,656",907
2020년08월_여_40~49세,"29,733","10,682","2,895",119,802,444,646,"3,424","1,680",822,"2,591","1,682","2,748","1,198"
2020년08월_여_50~59세,"29,002","8,540","2,430",299,"1,370",914,"1,207","3,102","2,330",735,"2,242","1,850","2,574","1,409"
2020년08월_여_60~69세,"21,123","5,286","2,042",444,"1,218",850,"1,126","1,829","1,350",559,"1,725","1,423","2,221","1,050"
2020년08월_여_70~79세,"11,459","2,357",925,314,788,460,534,"1,147",650,301,911,886,"1,568",618
2020년08월_여_80~89세,"5,620","1,143",402,203,397,315,268,484,332,158,404,484,710,320
2020년08월_여_90~99세,824,183,66,37,66,58,40,63,53,24,65,48,78,43
2020년08월_여_100세 이상,48,7,2,2,6,8,7,1,1,0,10,2,2,0
