카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년04월_계_총인구수,"35,223","6,892","1,447","1,064","2,057","2,941","1,867","4,210","5,649","5,817","1,197","2,082"
2020년04월_계_연령구간인구수,"35,223","6,892","1,447","1,064","2,057","2,941","1,867","4,210","5,649","5,817","1,197","2,082"
2020년04월_계_0~9세,"1,479",437,51,39,55,94,43,146,176,348,43,47
2020년04월_계_10~19세,"2,164",513,47,51,101,164,87,301,220,524,42,114
2020년04월_계_20~29세,"2,557",647,84,41,101,179,109,325,379,539,58,95
2020년04월_계_30~39세,"2,291",664,64,45,97,196,79,233,324,453,61,75
2020년04월_계_40~49세,"3,619",831,111,92,137,285,163,489,542,689,98,182
2020년04월_계_50~59세,"6,683","1,198",236,172,333,565,419,893,"1,182","1,127",185,373
2020년04월_계_60~69세,"6,963","1,113",335,201,423,548,405,852,"1,293","1,039",300,454
2020년04월_계_70~79세,"5,329",852,261,210,449,510,351,583,900,584,228,401
2020년04월_계_80~89세,"3,601",536,227,188,314,341,184,338,564,454,148,307
2020년04월_계_90~99세,521,98,31,25,44,57,27,48,66,58,34,33
2020년04월_계_100세 이상,16,3,0,0,3,2,0,2,3,2,0,1
2020년04월_남_총인구수,"17,276","3,331",707,514,981,"1,449",924,"2,085","2,832","2,865",571,"1,017"
2020년04월_남_연령구간인구수,"17,276","3,331",707,514,981,"1,449",924,"2,085","2,832","2,865",571,"1,017"
2020년04월_남_0~9세,782,227,28,20,38,49,27,71,109,173,21,19
2020년04월_남_10~19세,"1,143",261,28,33,57,89,51,163,114,267,20,60
2020년04월_남_20~29세,"1,459",374,49,17,63,95,62,171,219,310,38,61
2020년04월_남_30~39세,"1,244",339,40,25,56,115,53,118,183,242,32,41
2020년04월_남_40~49세,"2,016",429,65,60,95,163,84,259,323,358,62,118
2020년04월_남_50~59세,"3,580",634,140,106,182,303,223,479,620,566,112,215
2020년04월_남_60~69세,"3,598",538,173,105,214,293,210,427,678,561,159,240
2020년04월_남_70~79세,"2,290",365,112,83,176,217,148,265,422,246,83,173
2020년04월_남_80~89세,"1,055",143,60,62,92,110,62,121,154,132,37,82
2020년04월_남_90~99세,107,21,12,3,7,15,4,10,10,10,7,8
2020년04월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년04월_여_총인구수,"17,947","3,561",740,550,"1,076","1,492",943,"2,125","2,817","2,952",626,"1,065"
2020년04월_여_연령구간인구수,"17,947","3,561",740,550,"1,076","1,492",943,"2,125","2,817","2,952",626,"1,065"
2020년04월_여_0~9세,697,210,23,19,17,45,16,75,67,175,22,28
2020년04월_여_10~19세,"1,021",252,19,18,44,75,36,138,106,257,22,54
2020년04월_여_20~29세,"1,098",273,35,24,38,84,47,154,160,229,20,34
2020년04월_여_30~39세,"1,047",325,24,20,41,81,26,115,141,211,29,34
2020년04월_여_40~49세,"1,603",402,46,32,42,122,79,230,219,331,36,64
2020년04월_여_50~59세,"3,103",564,96,66,151,262,196,414,562,561,73,158
2020년04월_여_60~69세,"3,365",575,162,96,209,255,195,425,615,478,141,214
2020년04월_여_70~79세,"3,039",487,149,127,273,293,203,318,478,338,145,228
2020년04월_여_80~89세,"2,546",393,167,126,222,231,122,217,410,322,111,225
2020년04월_여_90~99세,414,77,19,22,37,42,23,38,56,48,27,25
2020년04월_여_100세 이상,14,3,0,0,2,2,0,1,3,2,0,1
