카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년05월_계_총인구수,"75,133","8,328","6,690","5,010","4,454","4,965","8,008","5,041","4,299","6,979","11,728","7,495","2,136"
2021년05월_계_연령구간인구수,"75,133","8,328","6,690","5,010","4,454","4,965","8,008","5,041","4,299","6,979","11,728","7,495","2,136"
2021년05월_계_0~9세,"4,886",302,413,155,126,582,859,256,254,544,836,492,67
2021년05월_계_10~19세,"4,974",472,375,217,180,213,549,296,265,552,"1,081",640,134
2021년05월_계_20~29세,"11,597","1,427","1,867","1,480",773,551,811,887,622,704,"1,270",973,232
2021년05월_계_30~39세,"10,550","1,147","1,241",755,543,991,"1,305",627,656,895,"1,331",867,192
2021년05월_계_40~49세,"10,505","1,075",886,550,473,705,"1,186",657,594,"1,127","1,832","1,103",317
2021년05월_계_50~59세,"11,142","1,277",707,600,734,678,"1,204",786,660,"1,079","1,818","1,247",352
2021년05월_계_60~69세,"10,249","1,228",632,598,777,655,"1,096",716,535,982,"1,713",953,364
2021년05월_계_70~79세,"7,238",903,353,418,553,406,653,540,442,726,"1,182",732,330
2021년05월_계_80~89세,"3,432",424,187,192,237,163,291,255,218,329,579,427,130
2021년05월_계_90~99세,486,66,27,43,44,20,41,20,38,37,75,57,18
2021년05월_계_100세 이상,74,7,2,2,14,1,13,1,15,4,11,4,0
2021년05월_남_총인구수,"36,106","4,114","3,180","2,411","2,277","2,492","3,905","2,407","2,044","3,204","5,501","3,515","1,056"
2021년05월_남_연령구간인구수,"36,106","4,114","3,180","2,411","2,277","2,492","3,905","2,407","2,044","3,204","5,501","3,515","1,056"
2021년05월_남_0~9세,"2,515",139,210,78,62,285,429,137,123,306,453,258,35
2021년05월_남_10~19세,"2,556",236,184,111,91,111,309,144,133,273,579,307,78
2021년05월_남_20~29세,"5,549",687,824,634,376,288,425,415,296,335,654,482,133
2021년05월_남_30~39세,"5,468",625,660,429,349,496,632,322,324,440,658,426,107
2021년05월_남_40~49세,"5,322",589,468,279,252,381,617,338,291,543,888,524,152
2021년05월_남_50~59세,"5,518",682,338,327,402,337,572,403,340,507,834,595,181
2021년05월_남_60~69세,"4,740",600,267,305,389,339,527,330,250,407,725,431,170
2021년05월_남_70~79세,"3,049",381,146,167,249,195,268,233,195,277,498,293,147
2021년05월_남_80~89세,"1,260",159,74,70,94,57,116,80,83,107,195,177,48
2021년05월_남_90~99세,114,15,8,10,10,3,8,4,6,9,15,21,5
2021년05월_남_100세 이상,15,1,1,1,3,0,2,1,3,0,2,1,0
2021년05월_여_총인구수,"39,027","4,214","3,510","2,599","2,177","2,473","4,103","2,634","2,255","3,775","6,227","3,980","1,080"
2021년05월_여_연령구간인구수,"39,027","4,214","3,510","2,599","2,177","2,473","4,103","2,634","2,255","3,775","6,227","3,980","1,080"
2021년05월_여_0~9세,"2,371",163,203,77,64,297,430,119,131,238,383,234,32
2021년05월_여_10~19세,"2,418",236,191,106,89,102,240,152,132,279,502,333,56
2021년05월_여_20~29세,"6,048",740,"1,043",846,397,263,386,472,326,369,616,491,99
2021년05월_여_30~39세,"5,082",522,581,326,194,495,673,305,332,455,673,441,85
2021년05월_여_40~49세,"5,183",486,418,271,221,324,569,319,303,584,944,579,165
2021년05월_여_50~59세,"5,624",595,369,273,332,341,632,383,320,572,984,652,171
2021년05월_여_60~69세,"5,509",628,365,293,388,316,569,386,285,575,988,522,194
2021년05월_여_70~79세,"4,189",522,207,251,304,211,385,307,247,449,684,439,183
2021년05월_여_80~89세,"2,172",265,113,122,143,106,175,175,135,222,384,250,82
2021년05월_여_90~99세,372,51,19,33,34,17,33,16,32,28,60,36,13
2021년05월_여_100세 이상,59,6,1,1,11,1,11,0,12,4,9,3,0
