카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년06월_계_총인구수,"55,750","15,060","2,361","2,703","1,709","18,789","2,559","2,480","1,547","2,773","3,217","1,179","1,373"
2020년06월_계_연령구간인구수,"55,750","15,060","2,361","2,703","1,709","18,789","2,559","2,480","1,547","2,773","3,217","1,179","1,373"
2020년06월_계_0~9세,"4,687",827,78,65,54,"3,249",154,55,22,58,58,25,42
2020년06월_계_10~19세,"4,422","1,284",113,85,59,"2,265",112,92,49,84,139,63,77
2020년06월_계_20~29세,"4,134","1,359",103,153,60,"1,663",219,121,52,95,197,44,68
2020년06월_계_30~39세,"5,643","1,208",85,121,84,"3,410",219,117,48,125,126,41,59
2020년06월_계_40~49세,"7,110","1,956",186,170,123,"3,459",241,201,111,208,254,90,111
2020년06월_계_50~59세,"8,120","2,556",366,430,265,"2,140",335,377,225,442,513,248,223
2020년06월_계_60~69세,"9,146","2,823",496,675,406,"1,322",445,570,385,676,718,329,301
2020년06월_계_70~79세,"6,932","1,846",497,514,337,750,426,534,353,579,651,175,270
2020년06월_계_80~89세,"4,881","1,024",391,434,292,460,357,364,273,451,500,142,193
2020년06월_계_90~99세,640,171,42,52,29,68,49,45,28,50,59,21,26
2020년06월_계_100세 이상,35,6,4,4,0,3,2,4,1,5,2,1,3
2020년06월_남_총인구수,"27,401","7,452","1,181","1,330",837,"9,216","1,261","1,204",743,"1,364","1,547",582,684
2020년06월_남_연령구간인구수,"27,401","7,452","1,181","1,330",837,"9,216","1,261","1,204",743,"1,364","1,547",582,684
2020년06월_남_0~9세,"2,373",408,44,35,27,"1,641",81,27,7,34,34,13,22
2020년06월_남_10~19세,"2,368",737,66,42,37,"1,163",63,48,29,43,69,34,37
2020년06월_남_20~29세,"2,316",797,63,99,33,852,135,68,33,54,120,21,41
2020년06월_남_30~39세,"2,830",616,46,70,42,"1,606",125,72,29,82,85,18,39
2020년06월_남_40~49세,"3,901","1,069",120,113,86,"1,730",158,137,75,141,152,56,64
2020년06월_남_50~59세,"4,260","1,258",218,233,160,"1,084",196,197,131,251,280,124,128
2020년06월_남_60~69세,"4,502","1,329",260,350,211,646,200,275,195,344,352,186,154
2020년06월_남_70~79세,"3,077",843,219,218,141,334,185,239,151,268,273,87,119
2020년06월_남_80~89세,"1,656",363,135,159,92,150,109,134,90,140,174,36,74
2020년06월_남_90~99세,114,31,9,10,8,10,9,7,3,6,8,7,6
2020년06월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년06월_여_총인구수,"28,349","7,608","1,180","1,373",872,"9,573","1,298","1,276",804,"1,409","1,670",597,689
2020년06월_여_연령구간인구수,"28,349","7,608","1,180","1,373",872,"9,573","1,298","1,276",804,"1,409","1,670",597,689
2020년06월_여_0~9세,"2,314",419,34,30,27,"1,608",73,28,15,24,24,12,20
2020년06월_여_10~19세,"2,054",547,47,43,22,"1,102",49,44,20,41,70,29,40
2020년06월_여_20~29세,"1,818",562,40,54,27,811,84,53,19,41,77,23,27
2020년06월_여_30~39세,"2,813",592,39,51,42,"1,804",94,45,19,43,41,23,20
2020년06월_여_40~49세,"3,209",887,66,57,37,"1,729",83,64,36,67,102,34,47
2020년06월_여_50~59세,"3,860","1,298",148,197,105,"1,056",139,180,94,191,233,124,95
2020년06월_여_60~69세,"4,644","1,494",236,325,195,676,245,295,190,332,366,143,147
2020년06월_여_70~79세,"3,855","1,003",278,296,196,416,241,295,202,311,378,88,151
2020년06월_여_80~89세,"3,225",661,256,275,200,310,248,230,183,311,326,106,119
2020년06월_여_90~99세,526,140,33,42,21,58,40,38,25,44,51,14,20
2020년06월_여_100세 이상,31,5,3,3,0,3,2,4,1,4,2,1,3
