,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년05월_계_총인구수,"284,746","7,077","8,012","7,328","2,330","1,611","1,971","2,687","3,165","3,026","3,416","5,404","4,474","4,600","2,666","1,602","3,533","4,973","7,198","22,495","9,343","11,890","38,858","8,727","23,873","14,632","25,037","15,711","6,790","32,317"
2020년05월_계_연령구간인구수,"284,746","7,077","8,012","7,328","2,330","1,611","1,971","2,687","3,165","3,026","3,416","5,404","4,474","4,600","2,666","1,602","3,533","4,973","7,198","22,495","9,343","11,890","38,858","8,727","23,873","14,632","25,037","15,711","6,790","32,317"
2020년05월_계_0~9세,"20,198",397,569,294,68,31,34,79,116,91,195,334,94,190,73,23,110,349,343,"1,710",449,523,"3,838",945,"1,653","1,356","2,386",657,583,"2,708"
2020년05월_계_10~19세,"28,641",597,620,533,138,70,107,156,155,135,176,369,205,294,114,89,166,356,435,"2,256",689,870,"4,355",953,"2,836","2,177","3,496","1,214",695,"4,385"
2020년05월_계_20~29세,"36,562",646,712,693,181,103,135,183,235,153,335,714,271,406,273,108,351,492,897,"2,563","1,376","1,392","4,915",896,"3,480","2,282","3,417","4,008",758,"4,587"
2020년05월_계_30~39세,"29,551",561,837,537,127,62,103,154,207,162,293,475,247,356,156,71,342,590,816,"2,458",888,"1,059","4,607","1,227","2,494","1,713","3,118","1,475",880,"3,536"
2020년05월_계_40~49세,"42,722",841,"1,083",843,227,148,184,239,333,261,334,602,419,545,265,157,431,750,884,"3,479","1,221","1,534","6,288","1,448","3,701","2,893","4,936","1,742","1,068","5,866"
2020년05월_계_50~59세,"49,660","1,255","1,435","1,353",445,275,382,388,568,541,574,955,777,865,561,243,577,943,"1,170","4,020","1,891","1,987","6,445","1,277","4,641","2,449","4,328","2,326","1,103","5,886"
2020년05월_계_60~69세,"39,145","1,370","1,381","1,370",447,372,435,606,654,703,624,982,995,895,508,361,731,817,"1,286","3,296","1,591","2,121","4,626","1,055","3,103",940,"2,004","2,031",844,"2,997"
2020년05월_계_70~79세,"23,903",840,806,975,399,284,336,516,534,558,514,618,818,559,389,309,561,451,896,"1,778",837,"1,685","2,456",647,"1,279",551,890,"1,431",503,"1,483"
2020년05월_계_80~89세,"12,399",498,493,617,249,222,215,313,324,371,327,314,543,416,273,206,219,190,418,830,345,637,"1,153",246,581,242,403,695,282,777
2020년05월_계_90~99세,"1,858",66,74,103,45,42,37,53,38,47,42,39,98,73,50,32,41,32,51,95,53,79,170,31,103,29,55,119,71,90
2020년05월_계_100세 이상,107,6,2,10,4,2,3,0,1,4,2,2,7,1,4,3,4,3,2,10,3,3,5,2,2,0,4,13,3,2
2020년05월_남_총인구수,"141,842","3,472","3,957","3,693","1,151",825,"1,005","1,351","1,672","1,481","1,709","2,857","2,311","2,376","1,375",788,"1,878","2,625","3,679","11,096","4,763","6,031","18,835","4,353","11,795","7,153","12,197","7,919","3,498","15,997"
2020년05월_남_연령구간인구수,"141,842","3,472","3,957","3,693","1,151",825,"1,005","1,351","1,672","1,481","1,709","2,857","2,311","2,376","1,375",788,"1,878","2,625","3,679","11,096","4,763","6,031","18,835","4,353","11,795","7,153","12,197","7,919","3,498","15,997"
2020년05월_남_0~9세,"10,298",203,284,149,30,15,26,40,54,39,87,173,60,103,42,11,67,187,180,848,252,276,"1,969",464,831,689,"1,236",333,301,"1,349"
2020년05월_남_10~19세,"14,691",274,311,269,66,44,56,78,95,66,100,182,118,162,64,48,98,171,228,"1,195",385,481,"2,149",516,"1,470","1,128","1,769",591,355,"2,222"
2020년05월_남_20~29세,"19,882",377,362,407,107,55,77,104,136,93,191,487,153,231,154,61,197,273,461,"1,392",754,756,"2,551",479,"1,901","1,177","1,817","2,260",423,"2,446"
