,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년05월_계_총인구수,"194,838","31,103","37,889","23,310","16,440","22,050","16,761","25,593","21,692"
2021년05월_계_연령구간인구수,"194,838","31,103","37,889","23,310","16,440","22,050","16,761","25,593","21,692"
2021년05월_계_0~9세,"14,596","4,472","2,628","1,711",721,"1,531",694,"1,310","1,529"
2021년05월_계_10~19세,"17,702","2,305","3,879","2,359","1,073","2,658","1,129","2,062","2,237"
2021년05월_계_20~29세,"26,837","3,264","5,583","3,330","2,211","3,040","2,600","3,780","3,029"
2021년05월_계_30~39세,"25,524","5,749","4,556","2,979","2,016","2,459","1,964","3,165","2,636"
2021년05월_계_40~49세,"32,192","5,866","6,210","3,897","2,486","3,783","2,400","3,648","3,902"
2021년05월_계_50~59세,"35,243","4,157","7,245","4,261","3,198","3,902","3,449","5,051","3,980"
2021년05월_계_60~69세,"25,367","3,388","4,524","2,762","2,704","2,816","2,727","3,934","2,512"
2021년05월_계_70~79세,"11,644","1,427","2,102","1,343","1,322","1,237","1,224","1,750","1,239"
2021년05월_계_80~89세,"5,024",410,"1,016",600,597,552,511,788,550
2021년05월_계_90~99세,655,65,140,66,82,68,61,100,73
2021년05월_계_100세 이상,54,0,6,2,30,4,2,5,5
2021년05월_남_총인구수,"96,640","15,431","18,671","11,386","8,406","10,717","8,356","12,731","10,942"
2021년05월_남_연령구간인구수,"96,640","15,431","18,671","11,386","8,406","10,717","8,356","12,731","10,942"
2021년05월_남_0~9세,"7,512","2,309","1,387",860,377,768,374,653,784
2021년05월_남_10~19세,"9,141","1,146","2,068","1,227",523,"1,354",583,"1,095","1,145"
2021년05월_남_20~29세,"13,798","1,625","2,861","1,676","1,160","1,576","1,288","1,987","1,625"
2021년05월_남_30~39세,"12,857","2,766","2,302","1,460","1,106","1,208","1,058","1,622","1,335"
2021년05월_남_40~49세,"16,071","3,122","2,958","1,893","1,342","1,745","1,210","1,894","1,907"
2021년05월_남_50~59세,"17,366","2,010","3,460","2,091","1,652","1,884","1,721","2,491","2,057"
2021년05월_남_60~69세,"12,614","1,610","2,306","1,333","1,372","1,373","1,396","1,932","1,292"
2021년05월_남_70~79세,"5,214",696,893,595,616,569,532,754,559
2021년05월_남_80~89세,"1,878",134,394,228,223,221,177,282,219
2021년05월_남_90~99세,169,13,40,22,23,18,16,19,18
2021년05월_남_100세 이상,20,0,2,1,12,1,1,2,1
2021년05월_여_총인구수,"98,198","15,672","19,218","11,924","8,034","11,333","8,405","12,862","10,750"
2021년05월_여_연령구간인구수,"98,198","15,672","19,218","11,924","8,034","11,333","8,405","12,862","10,750"
2021년05월_여_0~9세,"7,084","2,163","1,241",851,344,763,320,657,745
2021년05월_여_10~19세,"8,561","1,159","1,811","1,132",550,"1,304",546,967,"1,092"
2021년05월_여_20~29세,"13,039","1,639","2,722","1,654","1,051","1,464","1,312","1,793","1,404"
2021년05월_여_30~39세,"12,667","2,983","2,254","1,519",910,"1,251",906,"1,543","1,301"
2021년05월_여_40~49세,"16,121","2,744","3,252","2,004","1,144","2,038","1,190","1,754","1,995"
2021년05월_여_50~59세,"17,877","2,147","3,785","2,170","1,546","2,018","1,728","2,560","1,923"
2021년05월_여_60~69세,"12,753","1,778","2,218","1,429","1,332","1,443","1,331","2,002","1,220"
2021년05월_여_70~79세,"6,430",731,"1,209",748,706,668,692,996,680
2021년05월_여_80~89세,"3,146",276,622,372,374,331,334,506,331
2021년05월_여_90~99세,486,52,100,44,59,50,45,81,55
2021년05월_여_100세 이상,34,0,4,1,18,3,1,3,4
