카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년05월_계_총인구수,"1,184,922","270,807","23,486","43,156","29,388","29,608","42,203","20,014","19,609","28,353","18,904","16,086","365,384","10,272","23,525","19,009","40,552","37,756","24,518","45,604","46,435","24,780","48,878","27,317","16,738","182,844","5,928","10,464","19,082","22,575","26,384","11,013","20,248","17,070","39,398","10,682","365,887","17,948","14,934","36,180","21,820","38,885","35,352","26,345","32,814","31,270","27,995","52,990","29,354"
2021년05월_계_연령구간인구수,"1,184,922","270,807","23,486","43,156","29,388","29,608","42,203","20,014","19,609","28,353","18,904","16,086","365,384","10,272","23,525","19,009","40,552","37,756","24,518","45,604","46,435","24,780","48,878","27,317","16,738","182,844","5,928","10,464","19,082","22,575","26,384","11,013","20,248","17,070","39,398","10,682","365,887","17,948","14,934","36,180","21,820","38,885","35,352","26,345","32,814","31,270","27,995","52,990","29,354"
2021년05월_계_0~9세,"94,269","17,475","1,322","3,010","2,410","1,842","3,467",830,"1,119","1,425","1,376",674,"31,224",840,"1,119",903,"3,032","2,312","1,374","4,794","6,880","1,262","5,437","1,621","1,650","10,352",239,421,"1,582","1,451","1,933",390,858,"1,143","2,069",266,"35,218","1,083",841,"2,753","1,278","4,283","3,456","2,490","2,525","3,401","4,246","5,452","3,410"
2021년05월_계_10~19세,"116,984","28,134","1,815","4,353","3,449","3,088","6,777","1,179","1,718","2,708","2,019","1,028","32,926",602,"1,561","1,499","3,501","3,129","2,021","4,938","4,649","1,673","5,389","2,197","1,767","14,133",314,472,"1,315","2,070","2,888",683,"1,361","1,746","2,831",453,"41,791","1,834","1,484","4,351","2,212","3,635","4,733","2,126","4,272","4,018","3,238","6,816","3,072"
2021년05월_계_20~29세,"186,314","43,624","3,390","10,261","4,048","4,310","6,221","2,649","2,975","4,263","2,878","2,629","53,715","1,520","3,554","2,694","6,247","5,761","3,885","6,130","4,995","5,061","6,539","5,291","2,038","30,394",879,"1,809","2,672","3,145","4,077","1,359","3,202","3,630","8,110","1,511","58,581","3,049","2,481","6,440","3,756","6,518","4,874","5,476","6,574","4,483","3,297","8,443","3,190"
2021년05월_계_30~39세,"177,419","32,091","2,984","5,717","3,411","3,587","4,346","2,419","2,586","3,221","2,007","1,813","56,961","1,686","3,512","2,524","5,713","5,243","3,232","6,527","8,888","4,455","7,738","5,220","2,223","26,715",921,"1,643","3,243","2,585","3,423","1,151","2,864","2,194","7,370","1,321","61,652","2,353","1,893","5,515","3,168","7,217","5,346","6,673","4,398","4,898","5,435","9,426","5,330"
2021년05월_계_40~49세,"200,875","44,174","3,617","6,386","5,268","4,935","8,756","2,862","3,060","4,333","2,842","2,115","60,910","1,449","3,666","2,996","6,031","5,945","3,627","8,096","8,575","3,669","8,909","4,824","3,123","28,088",838,"1,432","2,866","3,666","4,374","1,563","2,929","2,699","6,305","1,416","67,703","2,885","2,378","6,766","3,653","7,300","6,929","4,186","6,009","5,762","5,600","10,599","5,636"
2021년05월_계_50~59세,"196,365","48,630","4,346","6,721","5,305","5,307","7,533","3,891","3,625","5,392","3,801","2,709","61,568","1,854","4,187","3,378","7,422","6,678","4,756","7,664","6,057","4,110","7,905","4,637","2,920","31,244","1,082","1,895","3,095","4,003","5,064","2,030","3,594","2,678","5,773","2,030","54,923","3,264","2,737","5,628","3,768","4,815","5,744","3,200","5,382","5,160","3,681","7,336","4,208"
2021년05월_계_60~69세,"126,204","31,983","3,436","3,945","3,141","3,529","2,963","3,582","2,670","3,895","2,169","2,653","41,762","1,327","3,484","2,891","5,264","5,177","3,441","4,443","3,989","2,911","4,694","2,263","1,878","23,912",915,"1,614","2,443","3,158","2,719","2,067","3,046","1,785","4,171","1,994","28,547","2,164","1,852","2,885","2,416","3,155","2,563","1,276","2,311","2,321","1,651","3,176","2,777"
2021년05월_계_70~79세,"56,583","15,688","1,674","1,715","1,490","1,957","1,331","1,779","1,218","1,971","1,007","1,546","17,415",660,"1,630","1,460","2,169","2,411","1,415","1,932","1,599","1,111","1,518",758,752,"12,069",487,788,"1,323","1,709","1,194","1,182","1,624",787,"1,840","1,135","11,411",904,834,"1,183","1,008","1,308","1,062",578,812,812,555,"1,191","1,164"
