카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년09월_계_총인구수,"50,968","11,087","13,429","4,833","2,250","1,614","2,477","1,462","1,247","1,242","2,089","2,033","2,882","4,323"
2021년09월_계_연령구간인구수,"50,968","11,087","13,429","4,833","2,250","1,614","2,477","1,462","1,247","1,242","2,089","2,033","2,882","4,323"
2021년09월_계_0~9세,"2,181",524,952,143,45,24,65,43,31,30,38,49,41,196
2021년09월_계_10~19세,"3,353",841,"1,462",227,58,60,105,64,40,23,67,78,94,234
2021년09월_계_20~29세,"3,650","1,052","1,272",257,89,78,107,75,54,35,76,98,176,281
2021년09월_계_30~39세,"3,236",863,"1,039",267,115,51,111,73,56,41,80,96,133,311
2021년09월_계_40~49세,"5,516","1,471","1,871",470,152,137,203,93,69,99,139,135,231,446
2021년09월_계_50~59세,"8,250","1,916","2,289",769,303,223,362,198,174,171,301,301,493,750
2021년09월_계_60~69세,"10,499","2,052","2,154","1,093",516,384,542,355,301,317,554,499,743,989
2021년09월_계_70~79세,"8,000","1,477","1,415",912,472,328,490,283,242,289,432,411,563,686
2021년09월_계_80~89세,"5,377",780,823,593,428,274,424,234,244,207,345,307,342,376
2021년09월_계_90~99세,884,106,149,100,71,54,67,43,35,30,55,57,65,52
2021년09월_계_100세 이상,22,5,3,2,1,1,1,1,1,0,2,2,1,2
2021년09월_남_총인구수,"25,168","5,560","6,554","2,418","1,085",795,"1,166",696,599,629,"1,012",977,"1,427","2,250"
2021년09월_남_연령구간인구수,"25,168","5,560","6,554","2,418","1,085",795,"1,166",696,599,629,"1,012",977,"1,427","2,250"
2021년09월_남_0~9세,"1,103",258,479,73,27,9,32,19,17,21,19,26,28,95
2021년09월_남_10~19세,"1,727",448,763,118,34,30,47,29,19,12,31,35,46,115
2021년09월_남_20~29세,"2,103",581,711,146,57,46,58,51,32,21,43,62,118,177
2021년09월_남_30~39세,"1,808",462,508,166,71,30,70,42,31,25,46,62,82,213
2021년09월_남_40~49세,"2,997",781,902,278,93,89,110,56,41,69,80,74,144,280
2021년09월_남_50~59세,"4,530","1,085","1,201",442,157,129,200,106,101,103,156,172,263,415
2021년09월_남_60~69세,"5,147",982,"1,007",562,265,191,254,177,156,152,286,254,360,501
2021년09월_남_70~79세,"3,605",643,644,398,210,148,223,134,112,138,214,190,260,291
2021년09월_남_80~89세,"1,933",294,296,212,156,109,154,73,81,84,126,88,111,149
2021년09월_남_90~99세,214,26,43,22,15,14,18,9,9,4,11,14,15,14
2021년09월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"25,800","5,527","6,875","2,415","1,165",819,"1,311",766,648,613,"1,077","1,056","1,455","2,073"
2021년09월_여_연령구간인구수,"25,800","5,527","6,875","2,415","1,165",819,"1,311",766,648,613,"1,077","1,056","1,455","2,073"
2021년09월_여_0~9세,"1,078",266,473,70,18,15,33,24,14,9,19,23,13,101
2021년09월_여_10~19세,"1,626",393,699,109,24,30,58,35,21,11,36,43,48,119
2021년09월_여_20~29세,"1,547",471,561,111,32,32,49,24,22,14,33,36,58,104
2021년09월_여_30~39세,"1,428",401,531,101,44,21,41,31,25,16,34,34,51,98
2021년09월_여_40~49세,"2,519",690,969,192,59,48,93,37,28,30,59,61,87,166
2021년09월_여_50~59세,"3,720",831,"1,088",327,146,94,162,92,73,68,145,129,230,335
2021년09월_여_60~69세,"5,352","1,070","1,147",531,251,193,288,178,145,165,268,245,383,488
2021년09월_여_70~79세,"4,395",834,771,514,262,180,267,149,130,151,218,221,303,395
2021년09월_여_80~89세,"3,444",486,527,381,272,165,270,161,163,123,219,219,231,227
2021년09월_여_90~99세,670,80,106,78,56,40,49,34,26,26,44,43,50,38
2021년09월_여_100세 이상,21,5,3,1,1,1,1,1,1,0,2,2,1,2
