,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년09월_계_총인구수,"40,971","8,440","1,652",867,"1,679","5,172","5,719","3,036","8,521","5,885"
2021년09월_계_연령구간인구수,"40,971","8,440","1,652",867,"1,679","5,172","5,719","3,036","8,521","5,885"
2021년09월_계_0~9세,"1,747",399,32,20,53,203,266,102,393,279
2021년09월_계_10~19세,"2,766",697,68,38,68,309,434,186,610,356
2021년09월_계_20~29세,"3,233",741,107,51,88,373,387,210,707,569
2021년09월_계_30~39세,"2,833",630,62,43,81,297,420,144,552,604
2021년09월_계_40~49세,"5,113","1,057",169,67,150,601,777,349,"1,078",865
2021년09월_계_50~59세,"7,792","1,544",355,160,340,964,"1,126",652,"1,567","1,084"
2021년09월_계_60~69세,"9,348","1,795",450,253,504,"1,258","1,324",746,"1,879","1,139"
2021년09월_계_70~79세,"4,908",917,250,138,248,666,614,361,"1,077",637
2021년09월_계_80~89세,"2,842",569,132,87,122,437,340,262,573,320
2021년09월_계_90~99세,370,86,26,9,24,62,28,24,81,30
2021년09월_계_100세 이상,19,5,1,1,1,2,3,0,4,2
2021년09월_남_총인구수,"21,036","4,294",869,455,877,"2,641","3,003","1,522","4,283","3,092"
2021년09월_남_연령구간인구수,"21,036","4,294",869,455,877,"2,641","3,003","1,522","4,283","3,092"
2021년09월_남_0~9세,862,200,14,14,25,90,123,49,209,138
2021년09월_남_10~19세,"1,450",349,36,21,34,161,237,96,309,207
2021년09월_남_20~29세,"1,912",434,67,34,47,215,232,125,413,345
2021년09월_남_30~39세,"1,535",337,37,23,43,164,230,67,280,354
2021년09월_남_40~49세,"2,802",561,102,37,84,337,422,193,570,496
2021년09월_남_50~59세,"4,187",819,203,82,180,519,610,349,835,590
2021년09월_남_60~69세,"4,885",933,246,142,284,673,703,382,962,560
2021년09월_남_70~79세,"2,297",441,121,60,131,303,311,165,492,273
2021년09월_남_80~89세,"1,035",205,41,41,46,166,129,89,198,120
2021년09월_남_90~99세,67,14,2,0,3,13,6,7,13,9
2021년09월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년09월_여_총인구수,"19,935","4,146",783,412,802,"2,531","2,716","1,514","4,238","2,793"
2021년09월_여_연령구간인구수,"19,935","4,146",783,412,802,"2,531","2,716","1,514","4,238","2,793"
2021년09월_여_0~9세,885,199,18,6,28,113,143,53,184,141
2021년09월_여_10~19세,"1,316",348,32,17,34,148,197,90,301,149
2021년09월_여_20~29세,"1,321",307,40,17,41,158,155,85,294,224
2021년09월_여_30~39세,"1,298",293,25,20,38,133,190,77,272,250
2021년09월_여_40~49세,"2,311",496,67,30,66,264,355,156,508,369
2021년09월_여_50~59세,"3,605",725,152,78,160,445,516,303,732,494
2021년09월_여_60~69세,"4,463",862,204,111,220,585,621,364,917,579
2021년09월_여_70~79세,"2,611",476,129,78,117,363,303,196,585,364
2021년09월_여_80~89세,"1,807",364,91,46,76,271,211,173,375,200
2021년09월_여_90~99세,303,72,24,9,21,49,22,17,68,21
2021년09월_여_100세 이상,15,4,1,0,1,2,3,0,2,2
