,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년04월_계_총인구수,"442,174","17,031","24,182","15,533","15,661","24,802","15,487","16,179","18,948","23,548","15,629","26,103","36,708","17,090","40,034","27,139","20,161","20,336","13,898","17,916","35,789"
2020년04월_계_연령구간인구수,"442,174","17,031","24,182","15,533","15,661","24,802","15,487","16,179","18,948","23,548","15,629","26,103","36,708","17,090","40,034","27,139","20,161","20,336","13,898","17,916","35,789"
2020년04월_계_0~9세,"30,342",829,"1,262",598,888,"2,161",491,"1,016","1,497","1,582",716,"1,820","4,215","1,512","2,863","2,221","1,200","1,005",597,"1,797","2,072"
2020년04월_계_10~19세,"38,710","1,256","2,048","1,045","1,445","2,903",986,"1,031","1,850","1,964","1,075","2,271","4,885","1,431","3,810","2,661","1,562","1,644",955,"1,522","2,366"
2020년04월_계_20~29세,"66,901","2,768","4,340","4,339","2,149","2,999","4,960","2,835","2,366","3,224","3,037","3,292","3,482","2,153","5,827","3,066","3,540","3,030","1,875","2,312","5,307"
2020년04월_계_30~39세,"61,363","2,534","3,456","2,510","2,047","3,160","2,112","2,746","2,749","3,142","1,950","3,475","5,035","2,613","5,348","3,649","2,843","2,436","1,627","2,896","5,035"
2020년04월_계_40~49세,"71,636","2,647","3,872","2,075","2,300","4,656","1,771","2,491","3,337","3,703","2,025","4,338","8,020","3,001","6,592","4,731","2,954","2,977","2,031","2,818","5,297"
2020년04월_계_50~59세,"69,943","2,752","3,747","1,896","2,800","4,040","2,136","2,606","2,899","3,773","2,384","4,206","4,843","2,697","6,391","4,292","3,061","3,916","2,552","2,857","6,095"
2020년04월_계_60~69세,"53,707","2,026","2,679","1,455","2,140","2,630","1,476","1,836","2,183","3,295","2,160","3,532","3,217","2,067","4,617","3,474","2,603","2,912","2,160","2,116","5,129"
2020년04월_계_70~79세,"33,494","1,415","1,851","1,096","1,262","1,450","1,033","1,074","1,395","1,959","1,499","2,196","2,070","1,115","2,896","2,129","1,611","1,648","1,452","1,145","3,198"
2020년04월_계_80~89세,"13,742",661,791,435,549,681,452,457,586,775,660,829,799,425,"1,421",793,679,675,544,386,"1,144"
2020년04월_계_90~99세,"1,961",129,101,66,68,111,56,71,74,113,113,122,115,57,227,97,97,80,79,54,131
2020년04월_계_100세 이상,375,14,35,18,13,11,14,16,12,18,10,22,27,19,42,26,11,13,26,13,15
2020년04월_남_총인구수,"213,743","8,000","11,523","6,569","7,337","11,850","7,846","7,819","9,173","11,446","7,772","12,616","17,489","8,266","19,703","13,135","9,722","9,937","6,883","8,924","17,733"
2020년04월_남_연령구간인구수,"213,743","8,000","11,523","6,569","7,337","11,850","7,846","7,819","9,173","11,446","7,772","12,616","17,489","8,266","19,703","13,135","9,722","9,937","6,883","8,924","17,733"
