카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년07월_계_총인구수,"175,124","13,838","7,376","5,391","3,376","8,113","14,699","9,532","5,172","7,475","6,455","19,616","19,207","9,032","16,327","29,515"
2020년07월_계_연령구간인구수,"175,124","13,838","7,376","5,391","3,376","8,113","14,699","9,532","5,172","7,475","6,455","19,616","19,207","9,032","16,327","29,515"
2020년07월_계_0~9세,"15,669",747,543,120,64,649,"2,764",570,138,280,401,"1,812","1,825",610,"1,466","3,680"
2020년07월_계_10~19세,"17,352","1,114",714,226,116,736,"1,090",795,285,463,510,"2,126","2,376",918,"2,028","3,855"
2020년07월_계_20~29세,"19,178","1,849",637,280,179,664,"1,624",867,296,754,588,"2,629","2,246","1,116","2,020","3,429"
2020년07월_계_30~39세,"22,345","1,513",687,274,154,987,"3,764",882,275,495,599,"2,813","2,287",916,"2,057","4,642"
2020년07월_계_40~49세,"27,876","2,008","1,126",505,306,"1,251","2,139","1,437",566,890,909,"3,353","3,541","1,492","2,915","5,438"
2020년07월_계_50~59세,"28,243","3,091","1,286",915,611,"1,338","1,538","1,687",917,"1,367",850,"3,180","3,192","1,560","2,573","4,138"
2020년07월_계_60~69세,"21,349","1,832","1,058","1,295",838,"1,172",913,"1,467","1,086","1,405","1,080","1,974","1,938","1,279","1,716","2,296"
2020년07월_계_70~79세,"13,800",981,740,"1,026",669,765,504,"1,041",926,"1,127",843,"1,069","1,140",750,974,"1,245"
2020년07월_계_80~89세,"8,072",609,510,667,384,472,321,703,602,608,584,555,565,325,499,668
2020년07월_계_90~99세,"1,179",91,71,82,51,79,39,79,79,83,84,95,89,59,77,121
2020년07월_계_100세 이상,61,3,4,1,4,0,3,4,2,3,7,10,8,7,2,3
2020년07월_남_총인구수,"90,960","7,948","3,748","2,748","1,717","4,350","7,676","4,899","2,609","3,869","3,334","10,145","10,009","4,574","8,235","15,099"
2020년07월_남_연령구간인구수,"90,960","7,948","3,748","2,748","1,717","4,350","7,676","4,899","2,609","3,869","3,334","10,145","10,009","4,574","8,235","15,099"
2020년07월_남_0~9세,"8,072",391,284,55,38,322,"1,446",294,73,148,221,962,936,315,730,"1,857"
2020년07월_남_10~19세,"9,199",589,378,124,56,392,534,432,148,261,270,"1,100","1,410",475,986,"2,044"
2020년07월_남_20~29세,"11,283","1,270",377,172,109,417,892,511,177,453,373,"1,483","1,324",641,"1,133","1,951"
2020년07월_남_30~39세,"12,339","1,005",356,172,88,610,"2,017",481,151,297,351,"1,565","1,215",506,"1,142","2,383"
2020년07월_남_40~49세,"14,876","1,175",591,325,191,734,"1,174",798,348,518,531,"1,736","1,767",772,"1,466","2,750"
2020년07월_남_50~59세,"15,055","1,835",714,486,342,718,802,894,508,735,451,"1,636","1,655",798,"1,331","2,150"
2020년07월_남_60~69세,"10,649","1,004",527,655,422,620,466,741,523,707,515,955,940,606,826,"1,142"
2020년07월_남_70~79세,"6,423",464,335,497,330,354,233,490,450,524,376,481,539,328,437,585
2020년07월_남_80~89세,"2,821",189,169,244,129,171,106,247,216,212,226,209,203,116,168,216
2020년07월_남_90~99세,235,26,17,18,10,12,5,11,14,14,19,18,18,17,16,20
2020년07월_남_100세 이상,8,0,0,0,2,0,1,0,1,0,1,0,2,0,0,1
2020년07월_여_총인구수,"84,164","5,890","3,628","2,643","1,659","3,763","7,023","4,633","2,563","3,606","3,121","9,471","9,198","4,458","8,092","14,416"
2020년07월_여_연령구간인구수,"84,164","5,890","3,628","2,643","1,659","3,763","7,023","4,633","2,563","3,606","3,121","9,471","9,198","4,458","8,092","14,416"
2020년07월_여_0~9세,"7,597",356,259,65,26,327,"1,318",276,65,132,180,850,889,295,736,"1,823"
2020년07월_여_10~19세,"8,153",525,336,102,60,344,556,363,137,202,240,"1,026",966,443,"1,042","1,811"
2020년07월_여_20~29세,"7,895",579,260,108,70,247,732,356,119,301,215,"1,146",922,475,887,"1,478"
2020년07월_여_30~39세,"10,006",508,331,102,66,377,"1,747",401,124,198,248,"1,248","1,072",410,915,"2,259"
2020년07월_여_40~49세,"13,000",833,535,180,115,517,965,639,218,372,378,"1,617","1,774",720,"1,449","2,688"
2020년07월_여_50~59세,"13,188","1,256",572,429,269,620,736,793,409,632,399,"1,544","1,537",762,"1,242","1,988"
2020년07월_여_60~69세,"10,700",828,531,640,416,552,447,726,563,698,565,"1,019",998,673,890,"1,154"
2020년07월_여_70~79세,"7,377",517,405,529,339,411,271,551,476,603,467,588,601,422,537,660
2020년07월_여_80~89세,"5,251",420,341,423,255,301,215,456,386,396,358,346,362,209,331,452
2020년07월_여_90~99세,944,65,54,64,41,67,34,68,65,69,65,77,71,42,61,101
2020년07월_여_100세 이상,53,3,4,1,2,0,2,4,1,3,6,10,6,7,2,2
