,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년07월_계_총인구수,"709,247","63,006","93,142","100,926","14,320","24,694","53,585","29,935","19,798","9,357","4,227","50,804","35,653","19,130","4,639","76,742","36,110","73,179"
2020년07월_계_연령구간인구수,"709,247","63,006","93,142","100,926","14,320","24,694","53,585","29,935","19,798","9,357","4,227","50,804","35,653","19,130","4,639","76,742","36,110","73,179"
2020년07월_계_0~9세,"66,380","4,404","8,702","8,836","1,592","1,140","4,233","1,851","1,282",364,200,"5,577","3,264",797,165,"10,365","4,909","8,699"
2020년07월_계_10~19세,"77,701","7,516","11,495","11,373","1,329","2,015","6,761","2,698","2,017",824,261,"6,751","5,062","1,236",206,"7,810","3,683","6,664"
2020년07월_계_20~29세,"84,122","7,869","10,449","11,812","1,535","3,395","6,540","4,185","2,476",860,411,"5,491","4,251","2,544",524,"8,906","3,851","9,023"
2020년07월_계_30~39세,"90,658","6,193","10,687","12,340","2,173","2,418","5,571","3,408","1,861",764,424,"6,367","4,077","2,191",493,"13,391","6,191","12,109"
2020년07월_계_40~49세,"129,868","11,406","17,572","19,318","2,433","3,502","10,440","4,356","3,339","1,080",534,"10,864","7,421","2,325",518,"14,566","7,120","13,074"
2020년07월_계_50~59세,"115,550","11,115","15,146","16,695","2,262","5,296","9,296","5,828","3,590","1,833",793,"7,290","5,619","4,008",929,"10,047","5,085","10,718"
2020년07월_계_60~69세,"80,143","7,497","10,498","11,100","1,788","3,875","5,571","4,374","2,671","1,900",865,"4,430","3,195","3,409","1,062","6,769","3,250","7,889"
2020년07월_계_70~79세,"44,163","4,796","5,871","6,628",804,"1,971","3,520","2,206","1,721","1,108",475,"2,820","1,835","1,639",491,"3,400","1,396","3,482"
2020년07월_계_80~89세,"17,907","1,893","2,412","2,461",346,938,"1,454",923,714,490,224,"1,047",814,845,221,"1,293",533,"1,299"
2020년07월_계_90~99세,"2,543",289,295,331,57,131,193,99,107,125,37,158,110,120,22,184,76,209
2020년07월_계_100세 이상,212,28,15,32,1,13,6,7,20,9,3,9,5,16,8,11,16,13
2020년07월_남_총인구수,"353,217","31,022","47,070","50,577","7,228","12,856","26,912","14,932","9,888","4,936","2,200","24,743","17,538","9,734","2,610","37,689","17,626","35,656"
2020년07월_남_연령구간인구수,"353,217","31,022","47,070","50,577","7,228","12,856","26,912","14,932","9,888","4,936","2,200","24,743","17,538","9,734","2,610","37,689","17,626","35,656"
2020년07월_남_0~9세,"34,141","2,298","4,531","4,571",821,631,"2,197",923,644,208,102,"2,859","1,651",403,78,"5,293","2,511","4,420"
2020년07월_남_10~19세,"39,974","3,857","5,935","5,962",650,"1,031","3,450","1,406","1,093",477,133,"3,468","2,601",664,105,"3,938","1,884","3,320"
2020년07월_남_20~29세,"43,738","4,102","5,552","6,145",795,"1,883","3,490","2,203","1,235",498,228,"2,853","2,142","1,406",309,"4,439","1,962","4,496"
2020년07월_남_30~39세,"44,566","3,015","5,280","6,210","1,102","1,298","2,772","1,779",959,416,218,"2,941","1,950","1,239",299,"6,379","2,846","5,863"
2020년07월_남_40~49세,"65,278","5,447","8,900","9,790","1,258","1,895","5,261","2,199","1,663",602,292,"5,260","3,620","1,225",322,"7,439","3,591","6,514"
2020년07월_남_50~59세,"59,034","5,646","8,013","8,664","1,172","2,814","4,925","2,799","1,891","1,010",437,"3,717","2,915","2,013",530,"4,877","2,498","5,113"
2020년07월_남_60~69세,"39,026","3,578","5,200","5,308",893,"2,047","2,690","2,239","1,304",976,445,"1,997","1,525","1,703",631,"3,203","1,491","3,796"
2020년07월_남_70~79세,"20,167","2,246","2,661","2,943",387,880,"1,541","1,015",760,536,244,"1,205",814,759,244,"1,636",633,"1,663"
2020년07월_남_80~89세,"6,644",745,911,899,139,346,542,342,302,181,93,405,291,288,87,454,188,431
2020년07월_남_90~99세,588,80,83,75,10,30,43,25,32,26,5,34,29,29,5,30,16,36
2020년07월_남_100세 이상,61,8,4,10,1,1,1,2,5,6,3,4,0,5,0,1,6,4
2020년07월_여_총인구수,"356,030","31,984","46,072","50,349","7,092","11,838","26,673","15,003","9,910","4,421","2,027","26,061","18,115","9,396","2,029","39,053","18,484","37,523"
2020년07월_여_연령구간인구수,"356,030","31,984","46,072","50,349","7,092","11,838","26,673","15,003","9,910","4,421","2,027","26,061","18,115","9,396","2,029","39,053","18,484","37,523"
2020년07월_여_0~9세,"32,239","2,106","4,171","4,265",771,509,"2,036",928,638,156,98,"2,718","1,613",394,87,"5,072","2,398","4,279"
