카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년08월_계_총인구수,"288,214","16,600","26,632","22,501","11,952","13,942","23,494","15,511","15,408","22,828","14,418","26,127","16,686","12,818","16,056","10,969","10,552","11,720"
2021년08월_계_연령구간인구수,"288,214","16,600","26,632","22,501","11,952","13,942","23,494","15,511","15,408","22,828","14,418","26,127","16,686","12,818","16,056","10,969","10,552","11,720"
2021년08월_계_0~9세,"19,613","1,197","2,280","1,163",410,961,"1,727","1,140","1,257","1,726","1,332","2,491","1,003",704,788,570,494,370
2021년08월_계_10~19세,"19,235","1,148","1,581","1,587",740,998,"2,050","1,598","1,076","1,422",933,"1,656","1,098",845,845,515,554,589
2021년08월_계_20~29세,"44,172","2,435","4,290","4,253","4,738","2,241","2,914","1,744","1,753","2,782","1,443","2,805","2,591","2,060","2,225","1,959","1,683","2,256"
2021년08월_계_30~39세,"47,374","2,885","4,570","3,218","1,564","2,244","3,536","2,183","2,595","4,082","2,638","4,905","2,870","2,309","2,559","1,915","1,599","1,702"
2021년08월_계_40~49세,"43,707","2,493","4,000","2,944","1,118","2,131","3,895","2,858","2,540","3,648","2,554","4,459","2,382","1,952","2,169","1,447","1,509","1,608"
2021년08월_계_50~59세,"46,409","2,686","4,368","3,655","1,292","2,249","3,929","2,467","2,338","3,625","2,094","3,845","3,073","1,990","2,993","1,773","1,936","2,096"
2021년08월_계_60~69세,"37,442","2,115","3,083","3,095",981,"1,685","2,862","1,748","2,150","3,004","1,854","3,342","2,265","1,684","2,694","1,540","1,680","1,660"
2021년08월_계_70~79세,"20,190","1,134","1,598","1,717",736,968,"1,743","1,138","1,115","1,669","1,055","1,709",956,878,"1,234",827,747,966
2021년08월_계_80~89세,"8,852",445,759,757,326,401,744,558,525,763,453,780,396,356,487,368,305,429
2021년08월_계_90~99세,"1,138",60,102,101,36,59,91,69,57,100,58,128,48,39,57,47,44,42
2021년08월_계_100세 이상,82,2,1,11,11,5,3,8,2,7,4,7,4,1,5,8,1,2
2021년08월_남_총인구수,"140,517","8,040","12,658","11,100","6,137","6,720","10,997","7,382","7,345","10,874","6,877","12,142","8,338","6,289","8,410","5,536","5,571","6,101"
2021년08월_남_연령구간인구수,"140,517","8,040","12,658","11,100","6,137","6,720","10,997","7,382","7,345","10,874","6,877","12,142","8,338","6,289","8,410","5,536","5,571","6,101"
2021년08월_남_0~9세,"10,009",605,"1,183",591,212,477,846,586,631,890,681,"1,241",545,363,409,290,262,197
2021년08월_남_10~19세,"9,581",597,805,789,334,483,929,790,554,692,482,847,565,422,441,263,297,291
2021년08월_남_20~29세,"21,794","1,147","1,965","2,154","2,571","1,082","1,381",854,874,"1,404",735,"1,280","1,353",996,"1,174",935,864,"1,025"
2021년08월_남_30~39세,"23,232","1,441","2,123","1,664",869,"1,101","1,684","1,064","1,199","1,970","1,225","2,199","1,409","1,143","1,381",987,879,894
2021년08월_남_40~49세,"21,928","1,246","1,998","1,488",598,"1,044","1,880","1,365","1,286","1,793","1,271","2,195","1,171",946,"1,155",739,833,920
2021년08월_남_50~59세,"23,038","1,288","2,069","1,781",631,"1,077","1,912","1,207","1,127","1,722","1,028","1,766","1,557","1,023","1,618",948,"1,046","1,238"
2021년08월_남_60~69세,"18,304","1,031","1,512","1,533",465,847,"1,314",796,984,"1,395",839,"1,522","1,143",840,"1,445",820,910,908
2021년08월_남_70~79세,"8,979",486,713,773,312,434,749,490,491,720,445,751,432,419,572,387,351,454
2021년08월_남_80~89세,"3,334",182,268,301,130,156,281,211,183,256,154,306,147,126,203,146,117,167
2021년08월_남_90~99세,289,16,22,24,10,18,20,17,16,29,15,32,14,10,10,18,11,7
2021년08월_남_100세 이상,29,1,0,2,5,1,1,2,0,3,2,3,2,1,2,3,1,0
2021년08월_여_총인구수,"147,697","8,560","13,974","11,401","5,815","7,222","12,497","8,129","8,063","11,954","7,541","13,985","8,348","6,529","7,646","5,433","4,981","5,619"
2021년08월_여_연령구간인구수,"147,697","8,560","13,974","11,401","5,815","7,222","12,497","8,129","8,063","11,954","7,541","13,985","8,348","6,529","7,646","5,433","4,981","5,619"
2021년08월_여_0~9세,"9,604",592,"1,097",572,198,484,881,554,626,836,651,"1,250",458,341,379,280,232,173
2021년08월_여_10~19세,"9,654",551,776,798,406,515,"1,121",808,522,730,451,809,533,423,404,252,257,298
2021년08월_여_20~29세,"22,378","1,288","2,325","2,099","2,167","1,159","1,533",890,879,"1,378",708,"1,525","1,238","1,064","1,051","1,024",819,"1,231"
2021년08월_여_30~39세,"24,142","1,444","2,447","1,554",695,"1,143","1,852","1,119","1,396","2,112","1,413","2,706","1,461","1,166","1,178",928,720,808
2021년08월_여_40~49세,"21,779","1,247","2,002","1,456",520,"1,087","2,015","1,493","1,254","1,855","1,283","2,264","1,211","1,006","1,014",708,676,688
2021년08월_여_50~59세,"23,371","1,398","2,299","1,874",661,"1,172","2,017","1,260","1,211","1,903","1,066","2,079","1,516",967,"1,375",825,890,858
2021년08월_여_60~69세,"19,138","1,084","1,571","1,562",516,838,"1,548",952,"1,166","1,609","1,015","1,820","1,122",844,"1,249",720,770,752
2021년08월_여_70~79세,"11,211",648,885,944,424,534,994,648,624,949,610,958,524,459,662,440,396,512
2021년08월_여_80~89세,"5,518",263,491,456,196,245,463,347,342,507,299,474,249,230,284,222,188,262
2021년08월_여_90~99세,849,44,80,77,26,41,71,52,41,71,43,96,34,29,47,29,33,35
2021년08월_여_100세 이상,53,1,1,9,6,4,2,6,2,4,2,4,2,0,3,5,0,2
