,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년01월_계_총인구수,"439,906","4,960","23,516","4,240","19,373","20,318","9,568","11,106","9,144","8,637","18,483","7,668","28,849","6,742","36,791","37,340","22,316","25,060","36,448","17,098","26,962","29,078","12,098","24,111"
2021년01월_계_연령구간인구수,"439,906","4,960","23,516","4,240","19,373","20,318","9,568","11,106","9,144","8,637","18,483","7,668","28,849","6,742","36,791","37,340","22,316","25,060","36,448","17,098","26,962","29,078","12,098","24,111"
2021년01월_계_0~9세,"33,711",345,"2,358",173,"2,224","1,713",255,608,288,305,"1,187",179,"2,265",314,"3,535","4,526","1,359","1,619","2,680",942,"1,698","2,324",619,"2,195"
2021년01월_계_10~19세,"43,117",357,"2,056",209,"2,267","2,269",467,904,439,484,"1,170",350,"3,022",423,"3,951","3,155","1,753","2,489","5,026","1,607","2,489","4,450",628,"3,152"
2021년01월_계_20~29세,"62,073",567,"2,872",483,"2,156","2,419","1,025","1,649","2,568","1,279","2,899","2,349","4,140",747,"4,235","3,948","3,774","3,727","5,409","2,442","4,321","4,176","1,376","3,512"
2021년01월_계_30~39세,"53,822",676,"3,679",464,"2,773","2,351",754,"1,177","1,157","1,044","2,152","1,036","3,602",826,"4,861","6,404","2,654","2,762","3,483","1,626","3,103","2,854","1,573","2,811"
2021년01월_계_40~49세,"72,340",711,"4,055",483,"3,708","3,482","1,139","1,471","1,039","1,029","2,672",820,"4,681",899,"7,030","6,469","3,155","4,002","6,818","2,542","3,798","6,036","1,619","4,682"
2021년01월_계_50~59세,"78,296",792,"3,264",911,"2,820","3,497","1,933","2,267","1,283","1,578","2,961","1,213","5,106","1,233","6,261","5,919","4,214","4,748","7,227","3,545","5,460","5,455","2,404","4,205"
2021년01월_계_60~69세,"54,352",782,"2,679",891,"1,888","2,389","2,013","1,726","1,226","1,580","2,731","1,016","3,677","1,267","4,151","4,254","3,105","3,333","3,334","2,630","3,606","1,997","2,201","1,876"
2021년01월_계_70~79세,"28,364",499,"1,622",426,"1,032","1,481","1,329",884,763,921,"1,762",489,"1,565",705,"1,974","1,896","1,505","1,666","1,630","1,132","1,587","1,141","1,260","1,095"
