카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년06월_계_총인구수,"253,758","5,571","25,375","9,577","19,236","4,353","6,297","4,797","3,283","3,275","22,020","6,407","5,708","5,426","6,741","14,230","4,928","15,044","5,961","21,563","29,285","23,141","9,734","1,806"
2020년06월_계_연령구간인구수,"253,758","5,571","25,375","9,577","19,236","4,353","6,297","4,797","3,283","3,275","22,020","6,407","5,708","5,426","6,741","14,230","4,928","15,044","5,961","21,563","29,285","23,141","9,734","1,806"
2020년06월_계_0~9세,"16,591",158,"1,273",370,"1,070",246,297,104,52,66,"2,478",199,271,212,201,476,100,"1,224",367,"2,658","2,685","1,347",673,64
2020년06월_계_10~19세,"21,315",223,"2,141",502,"1,109",198,341,217,95,139,"2,495",354,352,329,351,898,213,"1,758",338,"2,429","3,809","2,352",578,94
2020년06월_계_20~29세,"27,113",386,"2,477",759,"1,885",448,593,281,140,197,"2,365",521,537,584,659,"2,087",363,"1,936",507,"2,440","3,801","3,111",857,179
2020년06월_계_30~39세,"25,973",353,"1,914",704,"2,140",503,512,263,142,164,"3,155",419,603,543,585,"1,345",321,"1,562",541,"3,016","3,375","2,458","1,214",141
2020년06월_계_40~49세,"37,208",640,"3,460","1,072","2,616",404,748,431,205,329,"3,859",766,701,669,795,"1,843",529,"2,625",774,"3,904","5,468","3,863","1,295",212
2020년06월_계_50~59세,"46,844","1,033","5,137","1,754","3,901",651,"1,319",920,622,592,"3,540","1,286","1,074",929,"1,218","2,471",882,"2,764","1,039","3,664","5,429","4,527","1,757",335
2020년06월_계_60~69세,"39,904","1,248","4,328","2,029","3,425",807,"1,279","1,114",940,750,"2,291","1,315","1,016","1,051","1,441","2,660","1,084","1,707","1,135","2,068","2,884","3,266","1,683",383
2020년06월_계_70~79세,"24,271",947,"2,892","1,440","1,864",603,747,830,665,648,"1,147",895,734,735,997,"1,739",860,927,776,882,"1,152","1,509","1,022",260
2020년06월_계_80~89세,"12,785",512,"1,572",834,"1,075",428,384,574,363,355,616,573,374,335,422,630,509,475,419,428,596,636,562,113
