카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년09월_계_총인구수,"89,410","4,862","5,840","11,347","6,394","4,245","10,149","4,212","5,641","11,131","12,151","8,838","4,600"
2020년09월_계_연령구간인구수,"89,410","4,862","5,840","11,347","6,394","4,245","10,149","4,212","5,641","11,131","12,151","8,838","4,600"
2020년09월_계_0~9세,"4,180",177,161,"1,003",200,178,420,127,189,460,398,492,375
2020년09월_계_10~19세,"5,220",276,276,706,418,319,611,245,365,655,647,433,269
2020년09월_계_20~29세,"10,589",684,639,"1,727",665,506,"1,234",375,589,"1,310","1,315","1,111",434
2020년09월_계_30~39세,"10,503",516,553,"2,330",524,392,"1,173",317,452,"1,173","1,186","1,194",693
2020년09월_계_40~49세,"12,075",707,768,"1,730",845,597,"1,316",511,722,"1,451","1,456","1,258",714
2020년09월_계_50~59세,"14,904",797,"1,029","1,573","1,055",719,"1,693",725,985,"1,889","2,170","1,630",639
2020년09월_계_60~69세,"16,011",855,"1,214","1,264","1,233",733,"1,868",820,"1,081","2,028","2,574","1,583",758
2020년09월_계_70~79세,"10,695",589,812,667,935,553,"1,247",741,847,"1,473","1,579",786,466
2020년09월_계_80~89세,"4,548",228,324,285,443,219,518,312,353,621,728,309,208
2020년09월_계_90~99세,584,28,55,54,63,24,53,37,56,56,85,34,39
2020년09월_계_100세 이상,101,5,9,8,13,5,16,2,2,15,13,8,5
2020년09월_남_총인구수,"43,821","2,430","2,891","5,570","3,099","2,069","4,857","2,103","2,699","5,391","5,988","4,467","2,257"
2020년09월_남_연령구간인구수,"43,821","2,430","2,891","5,570","3,099","2,069","4,857","2,103","2,699","5,391","5,988","4,467","2,257"
2020년09월_남_0~9세,"2,213",75,96,520,109,95,208,72,106,261,212,264,195
2020년09월_남_10~19세,"2,698",152,143,380,226,159,300,144,184,319,317,234,140
2020년09월_남_20~29세,"5,364",349,328,734,361,271,619,212,336,688,702,559,205
2020년09월_남_30~39세,"5,637",279,319,"1,204",293,218,645,188,240,614,646,630,361
2020년09월_남_40~49세,"6,446",395,430,889,442,317,680,290,382,768,806,661,386
2020년09월_남_50~59세,"7,583",429,541,804,539,356,823,401,474,929,"1,125",840,322
2020년09월_남_60~69세,"7,594",400,557,630,570,323,854,399,490,951,"1,245",787,388
2020년09월_남_70~79세,"4,548",268,347,292,385,234,543,287,358,619,676,354,185
2020년09월_남_80~89세,"1,553",72,107,98,156,88,163,99,115,228,236,124,67
2020년09월_남_90~99세,154,9,19,14,13,8,19,11,14,8,20,12,7
2020년09월_남_100세 이상,31,2,4,5,5,0,3,0,0,6,3,2,1
2020년09월_여_총인구수,"45,589","2,432","2,949","5,777","3,295","2,176","5,292","2,109","2,942","5,740","6,163","4,371","2,343"
2020년09월_여_연령구간인구수,"45,589","2,432","2,949","5,777","3,295","2,176","5,292","2,109","2,942","5,740","6,163","4,371","2,343"
2020년09월_여_0~9세,"1,967",102,65,483,91,83,212,55,83,199,186,228,180
2020년09월_여_10~19세,"2,522",124,133,326,192,160,311,101,181,336,330,199,129
2020년09월_여_20~29세,"5,225",335,311,993,304,235,615,163,253,622,613,552,229
2020년09월_여_30~39세,"4,866",237,234,"1,126",231,174,528,129,212,559,540,564,332
2020년09월_여_40~49세,"5,629",312,338,841,403,280,636,221,340,683,650,597,328
2020년09월_여_50~59세,"7,321",368,488,769,516,363,870,324,511,960,"1,045",790,317
2020년09월_여_60~69세,"8,417",455,657,634,663,410,"1,014",421,591,"1,077","1,329",796,370
2020년09월_여_70~79세,"6,147",321,465,375,550,319,704,454,489,854,903,432,281
2020년09월_여_80~89세,"2,995",156,217,187,287,131,355,213,238,393,492,185,141
2020년09월_여_90~99세,430,19,36,40,50,16,34,26,42,48,65,22,32
2020년09월_여_100세 이상,70,3,5,3,8,5,13,2,2,9,10,6,4
