카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년01월_계_총인구수,"557,404","24,072","14,652","8,552","27,561","13,970","17,612","31,708","29,428","23,643","16,742","31,881","22,044","43,790","16,444","76,885","39,169","20,233","11,443","36,350","19,749","18,431","13,045"
2021년01월_계_연령구간인구수,"557,404","24,072","14,652","8,552","27,561","13,970","17,612","31,708","29,428","23,643","16,742","31,881","22,044","43,790","16,444","76,885","39,169","20,233","11,443","36,350","19,749","18,431","13,045"
2021년01월_계_0~9세,"39,883","1,650",578,381,"2,095",636,"1,333","2,039","1,814","1,331",869,"1,403","2,189","5,075",605,"8,898","2,985","1,129",360,"2,286",841,746,640
2021년01월_계_10~19세,"54,970","2,037",726,576,"2,308",974,"1,668","3,554","2,963","2,493","1,376","2,385","2,194","8,320","1,156","8,375","4,791","1,457",590,"3,557","1,301","1,212",957
2021년01월_계_20~29세,"78,912","2,915","2,353","1,274","4,216","2,326","2,503","5,027","4,702","4,146","2,563","6,806","2,626","4,255","1,773","9,182","5,307","3,523","1,230","5,067","2,911","2,519","1,688"
2021년01월_계_30~39세,"66,165","2,818","1,892",958,"3,747","1,727","2,261","3,383","3,337","2,519","2,140","3,653","3,150","4,548","1,290","11,322","4,049","2,838","1,061","3,833","2,258","1,920","1,461"
2021년01월_계_40~49세,"89,075","3,593","1,823","1,131","4,100","1,963","2,761","5,242","4,584","3,730","2,368","4,542","4,032","10,709","2,274","13,707","6,383","2,638","1,245","5,201","2,735","2,380","1,934"
2021년01월_계_50~59세,"103,441","4,220","2,566","1,514","5,167","2,795","3,389","6,685","6,542","5,282","3,515","6,430","3,771","6,034","3,077","11,949","7,287","3,829","2,242","7,318","3,820","3,426","2,583"
2021년01월_계_60~69세,"73,878","3,850","2,499","1,392","3,708","2,178","2,252","3,563","3,418","2,523","2,618","3,802","2,595","2,929","3,144","8,183","5,092","2,978","2,632","5,655","3,295","3,414","2,158"
2021년01월_계_70~79세,"34,423","2,079","1,528",875,"1,584",945,"1,035","1,531","1,385","1,078",903,"1,876","1,045","1,296","2,054","3,613","2,130","1,229","1,357","2,241","1,747","1,823","1,069"
2021년01월_계_80~89세,"14,813",816,623,408,563,383,367,626,617,490,350,877,390,546,968,"1,460","1,000",534,633,"1,062",749,869,482
2021년01월_계_90~99세,"1,754",85,58,38,71,41,40,56,64,50,40,106,47,70,97,179,140,75,92,129,89,114,73
2021년01월_계_100세 이상,90,9,6,5,2,2,3,2,2,1,0,1,5,8,6,17,5,3,1,1,3,8,0
2021년01월_남_총인구수,"274,911","11,705","7,095","4,156","13,472","6,914","8,688","15,927","14,816","11,882","8,464","16,387","10,927","21,458","7,881","37,780","19,138","10,036","5,498","17,654","9,756","8,821","6,456"
2021년01월_남_연령구간인구수,"274,911","11,705","7,095","4,156","13,472","6,914","8,688","15,927","14,816","11,882","8,464","16,387","10,927","21,458","7,881","37,780","19,138","10,036","5,498","17,654","9,756","8,821","6,456"
2021년01월_남_0~9세,"20,396",804,292,201,"1,039",312,691,"1,064",942,687,457,737,"1,083","2,579",338,"4,561","1,502",590,183,"1,189",446,375,324
2021년01월_남_10~19세,"28,519",953,374,298,"1,193",521,867,"1,897","1,574","1,279",716,"1,209","1,054","4,218",598,"4,387","2,638",782,326,"1,832",685,607,511
