,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년04월_계_총인구수,"2,936,214","139,548","61,680","403,999","390,807","522,330","490,968","296,947","540,532","69,089","20,314"
2021년04월_계_연령구간인구수,"2,936,214","139,548","61,680","403,999","390,807","522,330","490,968","296,947","540,532","69,089","20,314"
2021년04월_계_0~9세,"223,789","11,686","3,606","26,781","38,449","40,351","31,886","18,222","48,591","3,300",917
2021년04월_계_10~19세,"272,335","12,721","4,969","31,584","43,128","49,332","42,448","26,273","56,265","4,547","1,068"
2021년04월_계_20~29세,"397,230","18,816","6,520","56,892","52,254","70,232","69,129","43,733","71,827","5,207","2,620"
2021년04월_계_30~39세,"402,023","21,210","6,678","55,411","57,974","71,104","66,497","37,879","78,137","5,281","1,852"
2021년04월_계_40~49세,"481,422","24,555","9,786","63,314","69,023","88,008","76,219","45,455","95,050","7,678","2,334"
2021년04월_계_50~59세,"509,335","20,525","9,990","66,740","64,746","89,447","89,007","60,278","93,279","11,764","3,559"
2021년04월_계_60~69세,"380,258","16,323","10,173","56,906","40,622","67,902","67,999","40,901","60,545","14,707","4,180"
2021년04월_계_70~79세,"177,642","9,244","6,597","31,165","15,782","30,995","31,324","15,602","24,561","9,988","2,384"
2021년04월_계_80~89세,"79,183","3,822","2,907","13,140","7,409","12,868","14,231","7,426","10,481","5,757","1,142"
2021년04월_계_90~99세,"12,477",624,419,"1,977","1,373","2,009","2,116","1,152","1,722",840,245
2021년04월_계_100세 이상,520,22,35,89,47,82,112,26,74,20,13
2021년04월_남_총인구수,"1,470,490","72,529","31,159","203,495","194,282","259,335","242,605","147,993","273,007","34,557","11,528"
2021년04월_남_연령구간인구수,"1,470,490","72,529","31,159","203,495","194,282","259,335","242,605","147,993","273,007","34,557","11,528"
2021년04월_남_0~9세,"114,935","6,033","1,883","13,701","19,647","20,765","16,283","9,269","25,144","1,743",467
2021년04월_남_10~19세,"140,034","6,595","2,584","16,277","22,150","25,249","21,998","13,480","28,798","2,327",576
2021년04월_남_20~29세,"206,995","9,580","3,541","30,006","27,107","36,192","35,512","22,905","37,298","2,955","1,899"
2021년04월_남_30~39세,"207,964","11,539","3,575","29,749","28,540","36,632","34,324","19,748","39,950","2,769","1,138"
2021년04월_남_40~49세,"246,217","13,413","5,298","33,517","34,026","44,762","38,411","22,651","48,508","4,168","1,463"
2021년04월_남_50~59세,"254,583","11,359","5,337","33,607","31,944","44,095","43,517","29,327","47,297","6,040","2,060"
2021년04월_남_60~69세,"188,402","8,168","4,916","27,238","20,834","32,757","33,104","20,939","30,846","7,339","2,261"
2021년04월_남_70~79세,"81,182","4,289","2,911","14,129","7,287","14,089","14,173","7,025","11,366","4,720","1,193"
2021년04월_남_80~89세,"27,416","1,402","1,010","4,792","2,441","4,389","4,831","2,401","3,445","2,288",417
2021년04월_남_90~99세,"2,638",144,96,454,296,392,431,241,332,202,50
2021년04월_남_100세 이상,124,7,8,25,10,13,21,7,23,6,4
2021년04월_여_총인구수,"1,465,724","67,019","30,521","200,504","196,525","262,995","248,363","148,954","267,525","34,532","8,786"
2021년04월_여_연령구간인구수,"1,465,724","67,019","30,521","200,504","196,525","262,995","248,363","148,954","267,525","34,532","8,786"
2021년04월_여_0~9세,"108,854","5,653","1,723","13,080","18,802","19,586","15,603","8,953","23,447","1,557",450
2021년04월_여_10~19세,"132,301","6,126","2,385","15,307","20,978","24,083","20,450","12,793","27,467","2,220",492
2021년04월_여_20~29세,"190,235","9,236","2,979","26,886","25,147","34,040","33,617","20,828","34,529","2,252",721
2021년04월_여_30~39세,"194,059","9,671","3,103","25,662","29,434","34,472","32,173","18,131","38,187","2,512",714
2021년04월_여_40~49세,"235,205","11,142","4,488","29,797","34,997","43,246","37,808","22,804","46,542","3,510",871
2021년04월_여_50~59세,"254,752","9,166","4,653","33,133","32,802","45,352","45,490","30,951","45,982","5,724","1,499"
2021년04월_여_60~69세,"191,856","8,155","5,257","29,668","19,788","35,145","34,895","19,962","29,699","7,368","1,919"
2021년04월_여_70~79세,"96,460","4,955","3,686","17,036","8,495","16,906","17,151","8,577","13,195","5,268","1,191"
2021년04월_여_80~89세,"51,767","2,420","1,897","8,348","4,968","8,479","9,400","5,025","7,036","3,469",725
2021년04월_여_90~99세,"9,839",480,323,"1,523","1,077","1,617","1,685",911,"1,390",638,195
2021년04월_여_100세 이상,396,15,27,64,37,69,91,19,51,14,9
