카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년08월_계_총인구수,"34,530","6,779","1,415","1,057","2,010","2,878","1,815","4,150","5,596","5,611","1,167","2,052"
2021년08월_계_연령구간인구수,"34,530","6,779","1,415","1,057","2,010","2,878","1,815","4,150","5,596","5,611","1,167","2,052"
2021년08월_계_0~9세,"1,242",359,46,33,47,82,29,113,163,304,34,32
2021년08월_계_10~19세,"2,043",537,39,46,89,161,73,273,199,475,44,107
2021년08월_계_20~29세,"2,317",629,60,40,97,150,93,289,341,479,53,86
2021년08월_계_30~39세,"2,005",584,58,39,79,178,64,201,271,407,56,68
2021년08월_계_40~49세,"3,351",812,104,87,129,258,138,445,511,624,82,161
2021년08월_계_50~59세,"6,329","1,131",233,163,304,529,381,887,"1,130","1,048",171,352
2021년08월_계_60~69세,"7,686","1,210",351,223,469,616,460,967,"1,412","1,169",312,497
2021년08월_계_70~79세,"5,175",855,260,197,410,479,326,568,878,584,224,394
2021년08월_계_80~89세,"3,779",554,230,193,334,357,224,353,599,461,160,314
2021년08월_계_90~99세,586,105,33,35,50,66,26,51,89,60,31,40
2021년08월_계_100세 이상,17,3,1,1,2,2,1,3,3,0,0,1
2021년08월_남_총인구수,"16,967","3,286",698,506,966,"1,409",885,"2,064","2,811","2,762",558,"1,022"
2021년08월_남_연령구간인구수,"16,967","3,286",698,506,966,"1,409",885,"2,064","2,811","2,762",558,"1,022"
2021년08월_남_0~9세,641,179,24,13,32,45,19,54,96,151,15,13
2021년08월_남_10~19세,"1,097",285,26,29,51,85,45,154,103,232,21,66
2021년08월_남_20~29세,"1,324",353,31,21,59,85,55,159,210,274,30,47
2021년08월_남_30~39세,"1,069",298,35,17,47,95,39,99,151,215,32,41
2021년08월_남_40~49세,"1,853",415,61,54,86,148,77,232,304,315,57,104
2021년08월_남_50~59세,"3,452",584,153,103,176,299,196,479,596,547,103,216
2021년08월_남_60~69세,"3,992",615,180,116,242,322,235,479,751,627,159,266
2021년08월_남_70~79세,"2,307",379,117,81,165,204,142,265,414,264,97,179
2021년08월_남_80~89세,"1,113",160,62,65,98,109,73,126,177,127,38,78
2021년08월_남_90~99세,116,18,9,7,9,17,4,15,9,10,6,12
2021년08월_남_100세 이상,3,0,0,0,1,0,0,2,0,0,0,0
2021년08월_여_총인구수,"17,563","3,493",717,551,"1,044","1,469",930,"2,086","2,785","2,849",609,"1,030"
2021년08월_여_연령구간인구수,"17,563","3,493",717,551,"1,044","1,469",930,"2,086","2,785","2,849",609,"1,030"
2021년08월_여_0~9세,601,180,22,20,15,37,10,59,67,153,19,19
2021년08월_여_10~19세,946,252,13,17,38,76,28,119,96,243,23,41
2021년08월_여_20~29세,993,276,29,19,38,65,38,130,131,205,23,39
2021년08월_여_30~39세,936,286,23,22,32,83,25,102,120,192,24,27
2021년08월_여_40~49세,"1,498",397,43,33,43,110,61,213,207,309,25,57
2021년08월_여_50~59세,"2,877",547,80,60,128,230,185,408,534,501,68,136
2021년08월_여_60~69세,"3,694",595,171,107,227,294,225,488,661,542,153,231
2021년08월_여_70~79세,"2,868",476,143,116,245,275,184,303,464,320,127,215
2021년08월_여_80~89세,"2,666",394,168,128,236,248,151,227,422,334,122,236
2021년08월_여_90~99세,470,87,24,28,41,49,22,36,80,50,25,28
2021년08월_여_100세 이상,14,3,1,1,1,2,1,1,3,0,0,1
