카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년12월_계_총인구수,"368,905","25,233","37,164","21,151","21,619","14,517","16,817","22,489","24,938","24,826","17,311","20,041","18,567","14,914","18,930","39,608","30,780"
2021년12월_계_연령구간인구수,"368,905","25,233","37,164","21,151","21,619","14,517","16,817","22,489","24,938","24,826","17,311","20,041","18,567","14,914","18,930","39,608","30,780"
2021년12월_계_0~9세,"23,661","2,705","2,202","1,434","2,130",647,"1,461","1,666","1,766",781,896,965,"1,077",555,845,"2,268","2,263"
2021년12월_계_10~19세,"27,705","1,694","2,195","1,533","2,055",819,"1,555","1,843","1,666","1,141",887,"1,236","1,510",748,"1,419","3,303","4,101"
2021년12월_계_20~29세,"61,353","3,026","6,140","2,863","2,173","3,579","2,493","3,324","5,005","6,196","3,272","3,298","2,777","3,138","3,110","6,657","4,302"
2021년12월_계_30~39세,"63,597","4,802","6,492","3,551","3,638","2,457","2,689","3,533","4,174","5,410","3,614","3,782","2,862","3,033","3,263","6,599","3,698"
2021년12월_계_40~49세,"59,819","4,329","5,263","3,062","4,338","2,024","3,140","3,780","3,884","3,625","2,550","3,113","3,189","2,194","3,229","6,202","5,897"
2021년12월_계_50~59세,"54,962","3,863","6,251","3,397","3,081","2,057","2,471","3,596","3,684","3,074","2,357","2,928","2,837","1,952","2,865","5,891","4,658"
2021년12월_계_60~69세,"41,205","2,831","4,640","2,815","2,224","1,536","1,577","2,547","2,601","2,258","1,955","2,427","2,213","1,705","2,275","4,403","3,198"
2021년12월_계_70~79세,"23,378","1,198","2,506","1,498","1,245",852,893,"1,428","1,351","1,443","1,163","1,542","1,427",989,"1,291","2,838","1,714"
2021년12월_계_80~89세,"11,521",669,"1,322",855,634,467,484,677,706,761,533,660,599,513,574,"1,246",821
2021년12월_계_90~99세,"1,632",108,147,141,100,71,53,92,98,131,82,86,70,84,56,193,120
2021년12월_계_100세 이상,72,8,6,2,1,8,1,3,3,6,2,4,6,3,3,8,8
2021년12월_남_총인구수,"173,504","11,832","17,460","10,091","10,236","7,023","8,093","10,954","11,863","11,383","8,022","9,378","8,725","7,052","8,912","17,886","14,594"
2021년12월_남_연령구간인구수,"173,504","11,832","17,460","10,091","10,236","7,023","8,093","10,954","11,863","11,383","8,022","9,378","8,725","7,052","8,912","17,886","14,594"
2021년12월_남_0~9세,"12,103","1,339","1,159",764,"1,057",348,747,845,920,387,454,481,571,268,412,"1,148","1,203"
2021년12월_남_10~19세,"13,957",811,"1,098",794,987,444,782,992,831,555,439,615,744,406,694,"1,702","2,063"
2021년12월_남_20~29세,"27,427","1,315","2,646","1,363","1,008","1,610","1,139","1,717","2,330","2,646","1,439","1,512","1,265","1,436","1,462","2,634","1,905"
2021년12월_남_30~39세,"30,045","2,197","3,090","1,716","1,683","1,240","1,287","1,694","1,990","2,535","1,708","1,828","1,345","1,503","1,586","2,971","1,672"
2021년12월_남_40~49세,"29,007","2,171","2,625","1,480","2,052",999,"1,573","1,781","1,863","1,756","1,242","1,493","1,553","1,096","1,550","2,968","2,805"
2021년12월_남_50~59세,"26,963","1,861","3,051","1,621","1,572","1,075","1,251","1,806","1,780","1,487","1,103","1,437","1,392",928,"1,362","2,847","2,390"
2021년12월_남_60~69세,"19,240","1,362","2,233","1,330","1,072",741,746,"1,222","1,249","1,033",909,"1,103",984,773,"1,035","1,994","1,454"
2021년12월_남_70~79세,"9,827",496,"1,036",671,537,359,351,578,583,622,500,646,608,414,554,"1,119",753
2021년12월_남_80~89세,"4,462",253,481,320,237,186,200,286,286,321,201,240,240,202,241,448,320
2021년12월_남_90~99세,452,25,40,32,31,19,16,32,31,38,27,22,21,26,15,50,27
2021년12월_남_100세 이상,21,2,1,0,0,2,1,1,0,3,0,1,2,0,1,5,2
2021년12월_여_총인구수,"195,401","13,401","19,704","11,060","11,383","7,494","8,724","11,535","13,075","13,443","9,289","10,663","9,842","7,862","10,018","21,722","16,186"
2021년12월_여_연령구간인구수,"195,401","13,401","19,704","11,060","11,383","7,494","8,724","11,535","13,075","13,443","9,289","10,663","9,842","7,862","10,018","21,722","16,186"
2021년12월_여_0~9세,"11,558","1,366","1,043",670,"1,073",299,714,821,846,394,442,484,506,287,433,"1,120","1,060"
2021년12월_여_10~19세,"13,748",883,"1,097",739,"1,068",375,773,851,835,586,448,621,766,342,725,"1,601","2,038"
2021년12월_여_20~29세,"33,926","1,711","3,494","1,500","1,165","1,969","1,354","1,607","2,675","3,550","1,833","1,786","1,512","1,702","1,648","4,023","2,397"
2021년12월_여_30~39세,"33,552","2,605","3,402","1,835","1,955","1,217","1,402","1,839","2,184","2,875","1,906","1,954","1,517","1,530","1,677","3,628","2,026"
2021년12월_여_40~49세,"30,812","2,158","2,638","1,582","2,286","1,025","1,567","1,999","2,021","1,869","1,308","1,620","1,636","1,098","1,679","3,234","3,092"
2021년12월_여_50~59세,"27,999","2,002","3,200","1,776","1,509",982,"1,220","1,790","1,904","1,587","1,254","1,491","1,445","1,024","1,503","3,044","2,268"
2021년12월_여_60~69세,"21,965","1,469","2,407","1,485","1,152",795,831,"1,325","1,352","1,225","1,046","1,324","1,229",932,"1,240","2,409","1,744"
2021년12월_여_70~79세,"13,551",702,"1,470",827,708,493,542,850,768,821,663,896,819,575,737,"1,719",961
2021년12월_여_80~89세,"7,059",416,841,535,397,281,284,391,420,440,332,420,359,311,333,798,501
