카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년04월_계_총인구수,"540,532","45,620","41,085","31,455","48,799","30,811","28,229","6,598","9,796","22,604","13,272","14,029","31,920","12,255","20,268","16,547","10,727","32,949","22,721","24,597","28,186","24,985","23,079"
2021년04월_계_연령구간인구수,"540,532","45,620","41,085","31,455","48,799","30,811","28,229","6,598","9,796","22,604","13,272","14,029","31,920","12,255","20,268","16,547","10,727","32,949","22,721","24,597","28,186","24,985","23,079"
2021년04월_계_0~9세,"48,591","4,483","2,318","3,799","6,611","4,703","3,251",327,446,"1,179",662,581,"2,703",617,"1,350",651,768,"2,623","1,850","2,465","2,862","2,280","2,062"
2021년04월_계_10~19세,"56,265","4,433","3,456","4,402","6,405","3,911","2,145",396,741,"1,558",913,"1,207","2,972",876,"1,902","1,228",788,"3,431","2,791","3,540","3,274","2,663","3,233"
2021년04월_계_20~29세,"71,827","6,420","6,496","3,936","5,652","3,346","3,440","1,035","1,570","3,188","1,715","2,133","4,200","1,725","2,886","2,369","1,303","4,691","2,837","2,779","3,816","3,141","3,149"
2021년04월_계_30~39세,"78,137","8,186","4,911","5,678","8,042","5,577","4,805",918,"1,200","2,956","1,530","1,527","4,400","1,563","2,516","1,801","1,622","4,587","2,507","3,234","4,454","3,285","2,838"
2021년04월_계_40~49세,"95,050","8,481","6,155","6,505","10,115","6,311","4,582",818,"1,297","3,186","1,875","2,049","4,954","1,839","3,012","2,253","1,585","5,817","4,447","5,545","5,441","4,415","4,368"
2021년04월_계_50~59세,"93,279","6,941","8,626","4,135","6,690","3,993","4,606","1,586","2,234","4,668","2,685","2,930","5,929","2,520","3,949","3,362","1,944","5,827","4,000","3,753","4,597","4,422","3,882"
2021년04월_계_60~69세,"60,545","4,175","5,505","1,972","3,602","2,114","3,439","1,053","1,523","3,659","2,366","2,190","4,470","1,861","2,979","2,921","1,722","3,639","2,273","1,822","2,304","2,892","2,064"
2021년04월_계_70~79세,"24,561","1,746","2,256",676,"1,145",589,"1,334",288,497,"1,521","1,058",947,"1,620",859,"1,076","1,280",645,"1,585","1,322",976,934,"1,224",983
2021년04월_계_80~89세,"10,481",645,"1,149",309,449,217,524,135,253,588,399,408,568,351,504,580,293,657,630,413,435,546,428
2021년04월_계_90~99세,"1,722",106,201,41,83,49,100,36,32,97,68,55,100,41,91,99,55,87,61,67,68,113,72
2021년04월_계_100세 이상,74,4,12,2,5,1,3,6,3,4,1,2,4,3,3,3,2,5,3,3,1,4,0
2021년04월_남_총인구수,"273,007","23,171","20,933","15,668","24,268","15,283","14,166","3,460","4,904","11,636","6,923","7,076","15,951","6,538","9,886","8,414","5,537","17,047","11,537","12,456","14,039","12,734","11,380"
2021년04월_남_연령구간인구수,"273,007","23,171","20,933","15,668","24,268","15,283","14,166","3,460","4,904","11,636","6,923","7,076","15,951","6,538","9,886","8,414","5,537","17,047","11,537","12,456","14,039","12,734","11,380"
