,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년04월_계_총인구수,"543,240","17,143","23,224","21,598","27,605","28,433","14,667","30,389","25,231","38,271","20,406","35,946","37,235","22,481","34,351","6,859","22,441","18,097","44,822","24,228","16,158","17,968","15,687"
2020년04월_계_연령구간인구수,"543,240","17,143","23,224","21,598","27,605","28,433","14,667","30,389","25,231","38,271","20,406","35,946","37,235","22,481","34,351","6,859","22,441","18,097","44,822","24,228","16,158","17,968","15,687"
2020년04월_계_0~9세,"38,286","1,028",729,"1,167","2,272","2,351",941,"2,538","2,119","2,057",814,"1,119","3,116","1,872","3,031",403,"1,684","1,127","4,842","2,347",779,"1,268",682
2020년04월_계_10~19세,"59,654","1,761",940,"1,307","2,872","2,394","1,424","3,483","5,609","6,583","2,533","1,427","5,503","2,349","4,824",600,"2,647","1,658","4,525","3,414","1,281","1,865",655
2020년04월_계_20~29세,"75,265","2,357","4,698","3,530","3,247","4,050","2,121","3,952","2,485","5,115","3,444","7,635","4,769","3,116","4,083",818,"2,989","2,665","5,457","2,664","2,370","1,991","1,709"
2020년04월_계_30~39세,"84,685","2,522","5,953","4,679","3,600","4,714","2,212","5,226","1,705","3,470","3,371","10,222","5,463","3,398","3,820",732,"2,930","2,839","7,220","3,140","2,332","2,646","2,491"
2020년04월_계_40~49세,"99,952","3,089","3,871","3,699","5,019","4,971","2,389","6,490","6,261","7,600","4,136","5,994","8,652","3,906","6,657",981,"3,724","3,003","7,735","4,658","2,235","3,157","1,725"
2020년04월_계_50~59세,"80,028","2,483","2,800","2,909","3,979","4,217","2,400","4,031","3,734","6,716","3,224","4,237","4,750","3,524","5,481","1,148","3,878","3,082","6,050","3,679","2,642","2,653","2,411"
2020년04월_계_60~69세,"58,265","1,806","2,315","2,243","3,136","3,158","1,775","2,429","1,913","4,022","1,524","2,996","2,585","2,512","3,509","1,186","2,923","2,292","4,843","2,786","2,526","2,476","3,310"
2020년04월_계_70~79세,"33,308","1,408","1,355","1,498","2,398","1,825","1,029","1,654","1,004","2,004","1,028","1,667","1,742","1,254","2,073",699,"1,231","1,035","2,674","1,045","1,386","1,432","1,867"
2020년04월_계_80~89세,"11,312",593,473,459,900,592,304,490,334,569,285,532,530,445,715,229,352,323,"1,210",389,498,407,683
2020년04월_계_90~99세,"2,201",86,71,87,166,136,65,84,52,112,37,94,104,98,140,52,74,66,255,101,104,68,149
2020년04월_계_100세 이상,284,10,19,20,16,25,7,12,15,23,10,23,21,7,18,11,9,7,11,5,5,5,5
2020년04월_남_총인구수,"259,936","7,970","10,834","10,010","12,701","13,338","7,299","14,471","12,680","19,436","9,661","17,319","17,472","10,674","15,942","3,317","10,858","8,881","21,359","11,924","7,912","8,700","7,178"
2020년04월_남_연령구간인구수,"259,936","7,970","10,834","10,010","12,701","13,338","7,299","14,471","12,680","19,436","9,661","17,319","17,472","10,674","15,942","3,317","10,858","8,881","21,359","11,924","7,912","8,700","7,178"
2020년04월_남_0~9세,"19,851",535,363,599,"1,089","1,259",523,"1,358","1,158","1,122",405,563,"1,603",897,"1,583",206,849,594,"2,441","1,295",391,670,348
2020년04월_남_10~19세,"31,126",886,452,685,"1,385","1,258",825,"1,906","3,152","3,889","1,392",694,"2,621","1,090","2,111",290,"1,303",855,"2,224","1,940",720,"1,134",314
2020년04월_남_20~29세,"36,067","1,077","2,112","1,550","1,538","1,875","1,160","1,900","1,243","2,760","1,634","3,315","2,069","1,491","1,873",413,"1,518","1,359","2,620","1,389","1,225","1,062",884
2020년04월_남_30~39세,"38,783","1,116","2,759","2,087","1,531","2,048","1,040","2,191",665,"1,618","1,531","5,026","2,349","1,538","1,556",343,"1,411","1,429","3,351","1,431","1,224","1,269","1,270"
2020년04월_남_40~49세,"46,590","1,380","1,897","1,788","2,293","2,300","1,089","2,987","2,776","3,261","1,777","3,030","4,029","1,864","2,969",468,"1,676","1,438","3,840","2,161","1,138","1,521",908
2020년04월_남_50~59세,"39,862","1,225","1,365","1,406","1,941","1,979","1,159","2,045","2,083","3,512","1,628","2,200","2,571","1,691","2,762",572,"1,900","1,498","2,939","1,769","1,253","1,290","1,074"
2020년04월_남_60~69세,"26,628",825,"1,004",965,"1,354","1,460",831,"1,095",930,"2,001",701,"1,421","1,145","1,241","1,651",554,"1,398","1,064","2,167","1,283","1,136","1,029","1,373"
2020년04월_남_70~79세,"15,793",621,659,701,"1,105",864,513,739,512,"1,020",460,800,801,647,"1,057",353,656,490,"1,292",507,650,587,759
2020년04월_남_80~89세,"4,653",277,197,202,426,252,140,228,148,228,125,243,251,182,338,105,134,137,419,131,151,127,212
2020년04월_남_90~99세,527,27,23,21,37,37,17,20,10,21,6,22,31,30,40,12,12,16,62,17,23,11,32
2020년04월_남_100세 이상,56,1,3,6,2,6,2,2,3,4,2,5,2,3,2,1,1,1,4,1,1,0,4
2020년04월_여_총인구수,"283,304","9,173","12,390","11,588","14,904","15,095","7,368","15,918","12,551","18,835","10,745","18,627","19,763","11,807","18,409","3,542","11,583","9,216","23,463","12,304","8,246","9,268","8,509"
2020년04월_여_연령구간인구수,"283,304","9,173","12,390","11,588","14,904","15,095","7,368","15,918","12,551","18,835","10,745","18,627","19,763","11,807","18,409","3,542","11,583","9,216","23,463","12,304","8,246","9,268","8,509"
2020년04월_여_0~9세,"18,435",493,366,568,"1,183","1,092",418,"1,180",961,935,409,556,"1,513",975,"1,448",197,835,533,"2,401","1,052",388,598,334
2020년04월_여_10~19세,"28,528",875,488,622,"1,487","1,136",599,"1,577","2,457","2,694","1,141",733,"2,882","1,259","2,713",310,"1,344",803,"2,301","1,474",561,731,341
2020년04월_여_20~29세,"39,198","1,280","2,586","1,980","1,709","2,175",961,"2,052","1,242","2,355","1,810","4,320","2,700","1,625","2,210",405,"1,471","1,306","2,837","1,275","1,145",929,825
2020년04월_여_30~39세,"45,902","1,406","3,194","2,592","2,069","2,666","1,172","3,035","1,040","1,852","1,840","5,196","3,114","1,860","2,264",389,"1,519","1,410","3,869","1,709","1,108","1,377","1,221"
