카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년02월_계_총인구수,"298,005","7,785","6,711","45,428","16,204","19,406","25,649","30,171","2,850","17,884","19,846","4,055","3,692","50,256","48,068"
2021년02월_계_연령구간인구수,"298,005","7,785","6,711","45,428","16,204","19,406","25,649","30,171","2,850","17,884","19,846","4,055","3,692","50,256","48,068"
2021년02월_계_0~9세,"30,340",352,305,"3,778",984,"1,102","2,123","4,499",85,"2,561","2,590",125,166,"4,947","6,723"
2021년02월_계_10~19세,"25,752",419,407,"3,862","1,098","1,177","2,524","2,945",146,"1,596","2,048",206,175,"3,945","5,204"
2021년02월_계_20~29세,"36,982",983,"1,001","5,210","2,172","2,559","3,085","3,311",351,"2,095","2,189",494,478,"9,016","4,038"
2021년02월_계_30~39세,"50,510","1,020","1,026","6,636","2,314","2,946","3,363","5,490",373,"3,656","3,316",440,482,"11,746","7,702"
2021년02월_계_40~49세,"52,624","1,022",933,"7,227","2,233","2,590","4,432","5,959",383,"3,092","3,952",537,464,"9,251","10,549"
2021년02월_계_50~59세,"42,565","1,500","1,245","7,103","2,878","3,459","4,156","3,878",585,"2,186","2,916",811,742,"5,272","5,834"
2021년02월_계_60~69세,"35,790","1,543","1,032","6,792","2,752","3,390","3,469","2,569",526,"1,658","1,987",786,734,"3,718","4,834"
2021년02월_계_70~79세,"16,459",624,524,"3,448","1,256","1,509","1,739",998,261,707,629,405,296,"1,727","2,336"
2021년02월_계_80~89세,"5,836",264,200,"1,166",448,567,643,389,114,275,184,210,139,523,714
2021년02월_계_90~99세,"1,029",50,32,189,57,99,106,107,20,51,33,34,14,108,129
2021년02월_계_100세 이상,118,8,6,17,12,8,9,26,6,7,2,7,2,3,5
2021년02월_남_총인구수,"149,595","4,292","3,467","22,486","8,197","9,789","12,777","14,994","1,576","9,014","9,674","2,279","2,104","25,291","23,655"
2021년02월_남_연령구간인구수,"149,595","4,292","3,467","22,486","8,197","9,789","12,777","14,994","1,576","9,014","9,674","2,279","2,104","25,291","23,655"
2021년02월_남_0~9세,"15,546",175,151,"1,926",500,568,"1,132","2,260",46,"1,352","1,280",66,86,"2,571","3,433"
2021년02월_남_10~19세,"13,090",231,217,"2,016",587,602,"1,286","1,501",75,807,"1,001",117,89,"1,933","2,628"
2021년02월_남_20~29세,"18,765",571,539,"2,678","1,193","1,415","1,658","1,675",208,"1,046","1,067",278,274,"4,122","2,041"
2021년02월_남_30~39세,"25,615",602,599,"3,404","1,246","1,614","1,720","2,566",234,"1,803","1,494",269,300,"6,253","3,511"
2021년02월_남_40~49세,"27,586",626,519,"3,664","1,164","1,348","2,212","3,127",226,"1,610","2,010",327,292,"4,944","5,517"
2021년02월_남_50~59세,"21,190",850,640,"3,387","1,359","1,702","2,026","1,919",318,"1,088","1,393",500,434,"2,700","2,874"
2021년02월_남_60~69세,"17,278",818,493,"3,207","1,327","1,626","1,644","1,251",287,839,"1,015",430,416,"1,680","2,245"
2021년02월_남_70~79세,"8,196",304,232,"1,696",623,722,831,531,130,372,347,194,155,892,"1,167"
2021년02월_남_80~89세,"2,068",100,70,454,184,176,242,134,41,80,57,92,54,173,211
2021년02월_남_90~99세,231,13,5,48,11,13,25,22,9,16,10,4,4,23,28
2021년02월_남_100세 이상,30,2,2,6,3,3,1,8,2,1,0,2,0,0,0
2021년02월_여_총인구수,"148,410","3,493","3,244","22,942","8,007","9,617","12,872","15,177","1,274","8,870","10,172","1,776","1,588","24,965","24,413"
2021년02월_여_연령구간인구수,"148,410","3,493","3,244","22,942","8,007","9,617","12,872","15,177","1,274","8,870","10,172","1,776","1,588","24,965","24,413"
2021년02월_여_0~9세,"14,794",177,154,"1,852",484,534,991,"2,239",39,"1,209","1,310",59,80,"2,376","3,290"
2021년02월_여_10~19세,"12,662",188,190,"1,846",511,575,"1,238","1,444",71,789,"1,047",89,86,"2,012","2,576"
2021년02월_여_20~29세,"18,217",412,462,"2,532",979,"1,144","1,427","1,636",143,"1,049","1,122",216,204,"4,894","1,997"
2021년02월_여_30~39세,"24,895",418,427,"3,232","1,068","1,332","1,643","2,924",139,"1,853","1,822",171,182,"5,493","4,191"
2021년02월_여_40~49세,"25,038",396,414,"3,563","1,069","1,242","2,220","2,832",157,"1,482","1,942",210,172,"4,307","5,032"
2021년02월_여_50~59세,"21,375",650,605,"3,716","1,519","1,757","2,130","1,959",267,"1,098","1,523",311,308,"2,572","2,960"
2021년02월_여_60~69세,"18,512",725,539,"3,585","1,425","1,764","1,825","1,318",239,819,972,356,318,"2,038","2,589"
2021년02월_여_70~79세,"8,263",320,292,"1,752",633,787,908,467,131,335,282,211,141,835,"1,169"
2021년02월_여_80~89세,"3,768",164,130,712,264,391,401,255,73,195,127,118,85,350,503
2021년02월_여_90~99세,798,37,27,141,46,86,81,85,11,35,23,30,10,85,101
2021년02월_여_100세 이상,88,6,4,11,9,5,8,18,4,6,2,5,2,3,5
