,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년03월_계_총인구수,"32,206","14,874","1,895","1,463","2,186","1,646","2,273","1,907",742,"1,750","1,683","1,787"
2021년03월_계_연령구간인구수,"32,206","14,874","1,895","1,463","2,186","1,646","2,273","1,907",742,"1,750","1,683","1,787"
2021년03월_계_0~9세,"1,425",990,31,81,54,24,59,46,23,49,35,33
2021년03월_계_10~19세,"2,079","1,315",91,73,93,56,121,94,23,65,70,78
2021년03월_계_20~29세,"2,331","1,379",116,103,82,82,147,108,26,85,100,103
2021년03월_계_30~39세,"2,144","1,283",88,140,85,65,157,97,20,55,77,77
2021년03월_계_40~49세,"3,272","1,935",154,157,157,107,189,149,53,115,110,146
2021년03월_계_50~59세,"5,782","2,674",390,247,374,256,378,323,131,324,330,355
2021년03월_계_60~69세,"6,982","2,607",490,284,560,423,541,510,230,462,415,460
2021년03월_계_70~79세,"4,552","1,553",343,199,430,340,372,299,139,316,285,276
2021년03월_계_80~89세,"3,129",986,155,153,307,261,284,237,83,235,212,216
2021년03월_계_90~99세,495,146,36,25,42,32,24,43,14,43,48,42
2021년03월_계_100세 이상,15,6,1,1,2,0,1,1,0,1,1,1
2021년03월_남_총인구수,"16,235","7,413",992,777,"1,047",805,"1,151",960,400,869,874,947
2021년03월_남_연령구간인구수,"16,235","7,413",992,777,"1,047",805,"1,151",960,400,869,874,947
2021년03월_남_0~9세,731,490,18,44,29,15,29,26,13,26,19,22
2021년03월_남_10~19세,"1,117",712,48,33,49,31,65,45,13,32,42,47
2021년03월_남_20~29세,"1,374",785,78,72,44,47,89,61,13,54,66,65
2021년03월_남_30~39세,"1,188",655,56,89,49,40,108,60,11,27,43,50
2021년03월_남_40~49세,"1,829","1,022",97,91,96,67,116,82,35,81,65,77
2021년03월_남_50~59세,"3,191","1,416",214,154,203,152,211,179,82,186,192,202
2021년03월_남_60~69세,"3,593","1,278",265,139,285,203,272,287,126,240,238,260
2021년03월_남_70~79세,"2,046",688,146,94,183,149,161,141,77,144,121,142
2021년03월_남_80~89세,"1,063",336,62,54,97,92,97,77,29,73,75,71
2021년03월_남_90~99세,103,31,8,7,12,9,3,2,1,6,13,11
2021년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"15,971","7,461",903,686,"1,139",841,"1,122",947,342,881,809,840
2021년03월_여_연령구간인구수,"15,971","7,461",903,686,"1,139",841,"1,122",947,342,881,809,840
2021년03월_여_0~9세,694,500,13,37,25,9,30,20,10,23,16,11
2021년03월_여_10~19세,962,603,43,40,44,25,56,49,10,33,28,31
2021년03월_여_20~29세,957,594,38,31,38,35,58,47,13,31,34,38
2021년03월_여_30~39세,956,628,32,51,36,25,49,37,9,28,34,27
2021년03월_여_40~49세,"1,443",913,57,66,61,40,73,67,18,34,45,69
2021년03월_여_50~59세,"2,591","1,258",176,93,171,104,167,144,49,138,138,153
2021년03월_여_60~69세,"3,389","1,329",225,145,275,220,269,223,104,222,177,200
2021년03월_여_70~79세,"2,506",865,197,105,247,191,211,158,62,172,164,134
2021년03월_여_80~89세,"2,066",650,93,99,210,169,187,160,54,162,137,145
2021년03월_여_90~99세,392,115,28,18,30,23,21,41,13,37,35,31
2021년03월_여_100세 이상,15,6,1,1,2,0,1,1,0,1,1,1
