카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년02월_계_총인구수,"62,224","19,619","9,418","14,090","5,429","9,720","3,948"
2020년02월_계_연령구간인구수,"62,224","19,619","9,418","14,090","5,429","9,720","3,948"
2020년02월_계_0~9세,"3,573","1,235",545,698,174,773,148
2020년02월_계_10~19세,"4,749","1,748",817,"1,019",275,670,220
2020년02월_계_20~29세,"6,170","2,248",828,"1,344",520,985,245
2020년02월_계_30~39세,"5,919","1,956",812,"1,290",358,"1,201",302
2020년02월_계_40~49세,"8,041","2,705","1,124","1,989",570,"1,239",414
2020년02월_계_50~59세,"11,559","3,535","1,782","2,711","1,130","1,662",739
2020년02월_계_60~69세,"11,340","3,072","1,864","2,514","1,284","1,681",925
2020년02월_계_70~79세,"6,800","1,928",990,"1,633",697,970,582
2020년02월_계_80~89세,"3,530","1,040",555,773,368,475,319
2020년02월_계_90~99세,498,136,97,110,49,55,51
2020년02월_계_100세 이상,45,16,4,9,4,9,3
2020년02월_남_총인구수,"31,976","9,973","4,817","7,169","2,830","5,158","2,029"
2020년02월_남_연령구간인구수,"31,976","9,973","4,817","7,169","2,830","5,158","2,029"
2020년02월_남_0~9세,"1,764",628,248,347,92,385,64
2020년02월_남_10~19세,"2,533",948,415,545,150,351,124
2020년02월_남_20~29세,"3,498","1,217",460,743,329,608,141
2020년02월_남_30~39세,"3,182","1,045",441,682,186,664,164
2020년02월_남_40~49세,"4,356","1,438",612,"1,075",318,664,249
2020년02월_남_50~59세,"6,110","1,859",939,"1,428",596,882,406
2020년02월_남_60~69세,"5,845","1,548",958,"1,261",668,941,469
2020년02월_남_70~79세,"3,192",857,501,755,349,452,278
2020년02월_남_80~89세,"1,348",388,218,301,132,191,118
2020년02월_남_90~99세,131,42,23,28,7,16,15
2020년02월_남_100세 이상,17,3,2,4,3,4,1
2020년02월_여_총인구수,"30,248","9,646","4,601","6,921","2,599","4,562","1,919"
2020년02월_여_연령구간인구수,"30,248","9,646","4,601","6,921","2,599","4,562","1,919"
2020년02월_여_0~9세,"1,809",607,297,351,82,388,84
2020년02월_여_10~19세,"2,216",800,402,474,125,319,96
2020년02월_여_20~29세,"2,672","1,031",368,601,191,377,104
2020년02월_여_30~39세,"2,737",911,371,608,172,537,138
2020년02월_여_40~49세,"3,685","1,267",512,914,252,575,165
2020년02월_여_50~59세,"5,449","1,676",843,"1,283",534,780,333
2020년02월_여_60~69세,"5,495","1,524",906,"1,253",616,740,456
2020년02월_여_70~79세,"3,608","1,071",489,878,348,518,304
2020년02월_여_80~89세,"2,182",652,337,472,236,284,201
2020년02월_여_90~99세,367,94,74,82,42,39,36
2020년02월_여_100세 이상,28,13,2,5,1,5,2
