카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년01월_계_총인구수,"479,457","37,998","40,533","29,178","24,227","29,754","33,588","27,515","25,331","25,374","25,651","47,935","28,227","21,659","15,996","8,820","57,671"
2020년01월_계_연령구간인구수,"479,457","37,998","40,533","29,178","24,227","29,754","33,588","27,515","25,331","25,374","25,651","47,935","28,227","21,659","15,996","8,820","57,671"
2020년01월_계_0~9세,"31,457","2,700","2,652","1,312","1,142","1,806","2,091","1,352","1,658","2,916","1,118","3,140","1,792","1,294",840,472,"5,172"
2020년01월_계_10~19세,"40,443","2,537","2,892","2,014","1,840","2,610","2,987","1,836","2,466","2,148","1,790","3,820","2,253","1,839","1,336",573,"7,502"
2020년01월_계_20~29세,"65,952","5,108","5,441","4,299","3,853","4,419","4,549","4,569","3,394","2,600","3,594","6,625","3,998","3,029","2,115","1,198","7,161"
2020년01월_계_30~39세,"69,358","6,250","5,703","4,124","3,331","4,246","4,351","4,351","3,732","4,672","3,420","7,192","4,277","2,983","2,160","1,205","7,361"
2020년01월_계_40~49세,"78,154","5,893","6,395","4,273","3,630","4,878","5,332","4,271","4,440","4,768","3,837","7,933","4,407","3,424","2,409","1,178","11,086"
2020년01월_계_50~59세,"77,268","6,035","6,858","5,079","4,136","4,918","5,776","4,274","3,838","3,350","4,357","7,817","4,600","3,611","2,751","1,617","8,251"
2020년01월_계_60~69세,"61,384","4,935","5,365","4,216","3,384","3,643","4,512","3,460","2,986","2,610","3,720","6,024","3,711","3,062","2,356","1,411","5,989"
2020년01월_계_70~79세,"38,279","3,140","3,530","2,715","2,119","2,247","2,741","2,355","1,941","1,592","2,599","3,817","2,253","1,655","1,436",782,"3,357"
2020년01월_계_80~89세,"14,747","1,205","1,479","1,008",669,863,"1,072",913,746,621,"1,070","1,377",828,658,508,331,"1,399"
2020년01월_계_90~99세,"2,012",172,188,125,109,106,158,111,121,80,127,167,96,92,76,48,236
2020년01월_계_100세 이상,403,23,30,13,14,18,19,23,9,17,19,23,12,12,9,5,157
2020년01월_남_총인구수,"231,171","18,230","19,245","14,232","11,836","14,195","16,733","12,946","12,123","12,403","12,581","22,780","13,665","10,843","7,854","4,410","27,095"
2020년01월_남_연령구간인구수,"231,171","18,230","19,245","14,232","11,836","14,195","16,733","12,946","12,123","12,403","12,581","22,780","13,665","10,843","7,854","4,410","27,095"
2020년01월_남_0~9세,"16,092","1,354","1,352",646,610,942,"1,061",691,860,"1,509",583,"1,582",882,679,416,247,"2,678"
2020년01월_남_10~19세,"20,705","1,292","1,513","1,059",936,"1,292","1,420",870,"1,313","1,115",935,"1,911","1,168","1,028",714,313,"3,826"
2020년01월_남_20~29세,"32,176","2,430","2,694","2,178","1,978","2,126","2,266","2,095","1,572","1,324","1,885","3,209","2,047","1,579","1,073",624,"3,096"
