카테고리,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2021년09월_계_총인구수,"931,760","235,530","13,342","20,359","11,322","15,524","15,456","13,358","13,289","12,438","15,916","15,697","5,683","9,946","11,103","45,496","4,756","8,805","3,040","213,280","33,824","13,058","6,792","25,909","10,372","24,041","25,414","13,149","12,325","20,837","27,559","482,950","25,959","17,723","10,502","13,887","19,402","30,501","15,545","15,331","31,954","18,342","25,546","13,312","17,342","16,461","28,517","26,033","24,621","27,107","28,176","17,307","30,782","28,600"
2021년09월_계_연령구간인구수,"931,760","235,530","13,342","20,359","11,322","15,524","15,456","13,358","13,289","12,438","15,916","15,697","5,683","9,946","11,103","45,496","4,756","8,805","3,040","213,280","33,824","13,058","6,792","25,909","10,372","24,041","25,414","13,149","12,325","20,837","27,559","482,950","25,959","17,723","10,502","13,887","19,402","30,501","15,545","15,331","31,954","18,342","25,546","13,312","17,342","16,461","28,517","26,033","24,621","27,107","28,176","17,307","30,782","28,600"
2021년09월_계_0~9세,"66,429","14,908",469,"1,784",419,493,722,562,623,352,731,"1,018",315,531,680,"4,765",505,780,159,"12,638","1,522",831,390,"1,382",594,"1,227","1,574",476,536,"1,354","2,752","38,883","1,883","1,201","1,106",962,"1,394","1,966",871,"1,295","2,354","1,355","2,193",951,"1,236","1,191","2,092","3,074","2,553","2,628","1,829","1,264","2,132","3,353"
2021년09월_계_10~19세,"85,751","16,893",703,"1,602",648,724,"1,036",892,"1,130",629,"1,054","1,283",501,922,463,"4,207",444,513,142,"15,885","1,854",817,426,"1,942",980,"1,856","1,752",888,834,"1,720","2,816","52,973","2,874","2,162","1,966","2,396","1,854","3,221","1,307","1,722","4,247","2,207","3,087","1,768","1,258","1,753","1,957","3,624","3,041","3,019","2,278","1,577","2,561","3,094"
2021년09월_계_20~29세,"128,756","33,928","1,956","2,596","1,691","2,828","2,490","1,903","2,068","1,741","2,319","2,111",680,"1,361","2,260","5,412",757,"1,290",465,"30,383","5,876","1,454",881,"3,864","1,803","3,581","3,323","1,647","1,752","2,994","3,208","64,445","3,646","2,380",951,"1,875","2,995","4,640","1,973","1,963","4,444","2,672","3,252","1,742","2,661","2,004","3,985","2,637","3,012","3,726","3,890","2,632","4,332","3,033"
2021년09월_계_30~39세,"135,377","34,843","1,817","3,332","1,547","2,182","2,124","1,699","1,620","1,455","2,048","2,200",704,"1,077","2,522","7,155",883,"1,956",522,"30,989","5,814","1,797","1,083","3,821","1,330","3,028","4,000","1,529","1,550","2,871","4,166","69,545","3,565","2,344",805,"1,472","3,400","4,821","2,890","2,271","4,191","2,302","3,521","1,298","2,773","2,055","5,210","3,454","3,509","3,592","4,482","2,671","4,471","4,448"
2021년09월_계_40~49세,"153,544","36,304","1,955","3,100","1,703","2,059","2,172","1,930","2,058","1,671","2,257","2,376",954,"1,622","1,998","8,158",749,"1,130",412,"31,993","4,755","2,042",968,"3,850","1,556","3,505","3,859","1,863","1,710","2,955","4,930","85,247","4,432","3,593","2,557","3,084","3,140","5,790","2,516","2,746","6,116","3,131","4,429","2,225","2,640","2,709","4,152","5,534","4,578","4,604","4,213","2,830","4,770","5,458"
2021년09월_계_50~59세,"154,939","39,959","2,522","3,449","2,154","2,679","2,764","2,521","2,333","2,516","2,800","2,691",936,"1,762","1,426","7,036",597,"1,333",440,"37,177","5,447","2,394","1,166","4,367","1,733","4,351","4,485","2,772","2,468","3,794","4,200","77,803","4,234","2,930","1,547","2,169","2,914","4,800","2,336","2,425","5,097","3,304","4,161","2,389","2,667","2,558","4,434","4,008","3,982","4,793","4,527","2,900","5,128","4,500"
2021년09월_계_60~69세,"119,217","34,477","2,314","2,899","1,814","2,535","2,305","2,244","1,907","2,338","2,712","2,256",866,"1,479","1,097","5,624",503,"1,068",516,"32,113","4,843","2,225","1,147","3,955","1,345","3,574","3,909","2,364","2,102","3,316","3,333","52,627","3,012","1,417",788,"1,150","2,146","2,594","1,824","1,471","2,899","2,026","2,737","1,691","2,373","2,299","3,998","2,323","2,455","2,979","3,654","1,921","3,760","3,110"
2021년09월_계_70~79세,"57,583","16,810","1,109","1,163",976,"1,401","1,235","1,106","1,041","1,209","1,444","1,184",512,831,481,"2,092",222,529,275,"15,255","2,541","1,071",479,"1,878",709,"2,018","1,737","1,123",973,"1,256","1,470","25,518","1,425",911,464,493,"1,051","1,607","1,047",797,"1,528",801,"1,373",772,"1,164","1,182","1,744",928,980,"1,201","1,989",927,"2,057","1,077"
