카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년05월_계_총인구수,"36,536","34,684","1,852"
2021년05월_계_연령구간인구수,"36,536","34,684","1,852"
2021년05월_계_0~9세,"3,088","3,047",41
2021년05월_계_10~19세,"3,343","3,272",71
2021년05월_계_20~29세,"4,435","4,318",117
2021년05월_계_30~39세,"4,580","4,482",98
2021년05월_계_40~49세,"5,537","5,351",186
2021년05월_계_50~59세,"5,982","5,659",323
2021년05월_계_60~69세,"5,214","4,731",483
2021년05월_계_70~79세,"2,664","2,379",285
2021년05월_계_80~89세,"1,513","1,294",219
2021년05월_계_90~99세,177,148,29
2021년05월_계_100세 이상,3,3,0
2021년05월_남_총인구수,"19,025","18,055",970
2021년05월_남_연령구간인구수,"19,025","18,055",970
2021년05월_남_0~9세,"1,605","1,579",26
2021년05월_남_10~19세,"1,749","1,715",34
2021년05월_남_20~29세,"2,597","2,525",72
2021년05월_남_30~39세,"2,546","2,489",57
2021년05월_남_40~49세,"2,991","2,874",117
2021년05월_남_50~59세,"3,161","2,982",179
2021년05월_남_60~69세,"2,612","2,348",264
2021년05월_남_70~79세,"1,205","1,065",140
2021년05월_남_80~89세,511,438,73
2021년05월_남_90~99세,46,38,8
2021년05월_남_100세 이상,2,2,0
2021년05월_여_총인구수,"17,511","16,629",882
2021년05월_여_연령구간인구수,"17,511","16,629",882
2021년05월_여_0~9세,"1,483","1,468",15
2021년05월_여_10~19세,"1,594","1,557",37
2021년05월_여_20~29세,"1,838","1,793",45
2021년05월_여_30~39세,"2,034","1,993",41
2021년05월_여_40~49세,"2,546","2,477",69
2021년05월_여_50~59세,"2,821","2,677",144
2021년05월_여_60~69세,"2,602","2,383",219
2021년05월_여_70~79세,"1,459","1,314",145
2021년05월_여_80~89세,"1,002",856,146
2021년05월_여_90~99세,131,110,21
2021년05월_여_100세 이상,1,1,0
