카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년04월_계_총인구수,"45,325","13,656","3,649","3,736","1,870","3,635","6,458","4,171","1,564","1,415","2,906","2,265"
2020년04월_계_연령구간인구수,"45,325","13,656","3,649","3,736","1,870","3,635","6,458","4,171","1,564","1,415","2,906","2,265"
2020년04월_계_0~9세,"2,944","1,052",295,164,49,151,797,197,59,35,79,66
2020년04월_계_10~19세,"3,384","1,212",302,188,79,192,686,282,99,65,183,96
2020년04월_계_20~29세,"4,664","1,337",320,385,159,649,793,424,136,113,202,146
2020년04월_계_30~39세,"3,862","1,250",271,325,128,215,878,285,110,88,148,164
2020년04월_계_40~49세,"5,742","1,968",477,420,189,401,953,548,179,106,285,216
2020년04월_계_50~59세,"7,609","2,209",617,720,381,582,848,791,274,250,500,437
2020년04월_계_60~69세,"7,020","1,959",594,663,354,585,599,727,289,270,510,470
2020년04월_계_70~79세,"5,934","1,641",445,511,276,480,553,537,250,293,552,396
2020년04월_계_80~89세,"3,646",904,286,312,221,349,312,321,141,171,405,224
2020년04월_계_90~99세,478,111,37,46,33,30,39,54,24,23,40,41
2020년04월_계_100세 이상,42,13,5,2,1,1,0,5,3,1,2,9
2020년04월_남_총인구수,"23,342","6,776","1,838","1,982",995,"2,112","3,374","2,098",822,707,"1,463","1,175"
2020년04월_남_연령구간인구수,"23,342","6,776","1,838","1,982",995,"2,112","3,374","2,098",822,707,"1,463","1,175"
2020년04월_남_0~9세,"1,476",538,152,80,22,78,391,93,28,15,44,35
2020년04월_남_10~19세,"1,803",628,169,103,44,103,360,141,56,39,106,54
2020년04월_남_20~29세,"2,832",721,166,217,107,571,481,240,73,67,113,76
2020년04월_남_30~39세,"2,059",627,126,197,79,122,476,147,72,45,78,90
2020년04월_남_40~49세,"3,326","1,082",263,270,123,262,532,326,110,61,167,130
2020년04월_남_50~59세,"4,327","1,210",367,407,222,331,495,449,158,142,290,256
2020년04월_남_60~69세,"3,637",950,290,367,202,304,313,375,158,141,278,259
2020년04월_남_70~79세,"2,587",719,203,225,113,211,216,228,115,126,238,193
2020년04월_남_80~89세,"1,177",279,91,102,73,122,99,86,45,65,141,74
2020년04월_남_90~99세,114,21,11,14,10,8,11,13,5,6,8,7
2020년04월_남_100세 이상,4,1,0,0,0,0,0,0,2,0,0,1
2020년04월_여_총인구수,"21,983","6,880","1,811","1,754",875,"1,523","3,084","2,073",742,708,"1,443","1,090"
2020년04월_여_연령구간인구수,"21,983","6,880","1,811","1,754",875,"1,523","3,084","2,073",742,708,"1,443","1,090"
2020년04월_여_0~9세,"1,468",514,143,84,27,73,406,104,31,20,35,31
2020년04월_여_10~19세,"1,581",584,133,85,35,89,326,141,43,26,77,42
2020년04월_여_20~29세,"1,832",616,154,168,52,78,312,184,63,46,89,70
2020년04월_여_30~39세,"1,803",623,145,128,49,93,402,138,38,43,70,74
2020년04월_여_40~49세,"2,416",886,214,150,66,139,421,222,69,45,118,86
2020년04월_여_50~59세,"3,282",999,250,313,159,251,353,342,116,108,210,181
2020년04월_여_60~69세,"3,383","1,009",304,296,152,281,286,352,131,129,232,211
2020년04월_여_70~79세,"3,347",922,242,286,163,269,337,309,135,167,314,203
2020년04월_여_80~89세,"2,469",625,195,210,148,227,213,235,96,106,264,150
2020년04월_여_90~99세,364,90,26,32,23,22,28,41,19,17,32,34
2020년04월_여_100세 이상,38,12,5,2,1,1,0,5,1,1,2,8
