,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년10월_계_총인구수,"2,945,009","142,618","61,977","406,789","389,926","518,662","488,092","294,852","552,338","69,351","20,404"
2021년10월_계_연령구간인구수,"2,945,009","142,618","61,977","406,789","389,926","518,662","488,092","294,852","552,338","69,351","20,404"
2021년10월_계_0~9세,"219,048","11,700","3,536","26,242","37,431","38,604","30,760","17,340","49,318","3,226",891
2021년10월_계_10~19세,"271,373","13,031","4,948","31,590","43,158","48,711","41,725","25,653","56,911","4,539","1,107"
2021년10월_계_20~29세,"392,367","18,895","6,440","56,946","51,020","69,073","67,793","42,481","72,018","5,114","2,587"
2021년10월_계_30~39세,"401,716","21,787","6,866","55,659","56,811","69,347","66,143","37,626","80,455","5,198","1,824"
2021년10월_계_40~49세,"480,366","25,069","9,758","63,403","68,930","86,830","75,090","44,549","96,774","7,631","2,332"
2021년10월_계_50~59세,"510,057","21,011","9,990","67,233","65,084","89,012","88,253","59,457","94,869","11,655","3,493"
2021년10월_계_60~69세,"395,798","17,102","10,451","58,727","42,662","70,324","69,949","43,000","64,007","15,205","4,371"
2021년10월_계_70~79세,"178,951","9,366","6,546","31,164","15,818","31,293","31,555","15,729","25,133","9,980","2,367"
2021년10월_계_80~89세,"81,974","3,979","2,972","13,712","7,594","13,325","14,560","7,780","10,995","5,904","1,153"
2021년10월_계_90~99세,"12,848",654,440,"2,028","1,369","2,060","2,163","1,206","1,780",881,267
2021년10월_계_100세 이상,511,24,30,85,49,83,101,31,78,18,12
2021년10월_남_총인구수,"1,474,536","74,127","31,266","204,898","193,568","257,616","240,990","146,853","278,877","34,698","11,643"
2021년10월_남_연령구간인구수,"1,474,536","74,127","31,266","204,898","193,568","257,616","240,990","146,853","278,877","34,698","11,643"
2021년10월_남_0~9세,"112,362","6,026","1,854","13,401","19,094","19,895","15,696","8,826","25,426","1,692",452
2021년10월_남_10~19세,"139,509","6,695","2,553","16,314","22,128","24,937","21,670","13,121","29,164","2,321",606
2021년10월_남_20~29세,"204,435","9,713","3,485","29,961","26,511","35,679","34,721","22,280","37,250","2,940","1,895"
2021년10월_남_30~39세,"207,990","11,859","3,695","29,986","27,913","35,792","34,165","19,666","41,068","2,709","1,137"
2021년10월_남_40~49세,"246,041","13,664","5,255","33,560","33,889","44,254","37,915","22,262","49,643","4,132","1,467"
2021년10월_남_50~59세,"254,827","11,663","5,329","33,933","32,041","43,901","43,020","28,887","47,986","6,020","2,047"
2021년10월_남_60~69세,"196,006","8,582","5,066","28,075","21,836","33,969","34,044","21,881","32,603","7,581","2,369"
2021년10월_남_70~79세,"81,965","4,323","2,881","14,157","7,331","14,211","14,306","7,142","11,702","4,740","1,172"
2021년10월_남_80~89세,"28,577","1,446","1,037","5,021","2,536","4,582","4,980","2,525","3,666","2,344",440
2021년10월_남_90~99세,"2,706",147,104,463,281,385,454,256,346,215,55
2021년10월_남_100세 이상,118,9,7,27,8,11,19,7,23,4,3
2021년10월_여_총인구수,"1,470,473","68,491","30,711","201,891","196,358","261,046","247,102","147,999","273,461","34,653","8,761"
2021년10월_여_연령구간인구수,"1,470,473","68,491","30,711","201,891","196,358","261,046","247,102","147,999","273,461","34,653","8,761"
2021년10월_여_0~9세,"106,686","5,674","1,682","12,841","18,337","18,709","15,064","8,514","23,892","1,534",439
2021년10월_여_10~19세,"131,864","6,336","2,395","15,276","21,030","23,774","20,055","12,532","27,747","2,218",501
2021년10월_여_20~29세,"187,932","9,182","2,955","26,985","24,509","33,394","33,072","20,201","34,768","2,174",692
2021년10월_여_30~39세,"193,726","9,928","3,171","25,673","28,898","33,555","31,978","17,960","39,387","2,489",687
2021년10월_여_40~49세,"234,325","11,405","4,503","29,843","35,041","42,576","37,175","22,287","47,131","3,499",865
2021년10월_여_50~59세,"255,230","9,348","4,661","33,300","33,043","45,111","45,233","30,570","46,883","5,635","1,446"
2021년10월_여_60~69세,"199,792","8,520","5,385","30,652","20,826","36,355","35,905","21,119","31,404","7,624","2,002"
2021년10월_여_70~79세,"96,986","5,043","3,665","17,007","8,487","17,082","17,249","8,587","13,431","5,240","1,195"
2021년10월_여_80~89세,"53,397","2,533","1,935","8,691","5,058","8,743","9,580","5,255","7,329","3,560",713
2021년10월_여_90~99세,"10,142",507,336,"1,565","1,088","1,675","1,709",950,"1,434",666,212
2021년10월_여_100세 이상,393,15,23,58,41,72,82,24,55,14,9
