카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년08월_계_총인구수,"298,184","25,536","30,277","20,159","16,265","20,127","23,743","28,858","19,156","31,363","21,527","34,727","26,446"
2020년08월_계_연령구간인구수,"298,184","25,536","30,277","20,159","16,265","20,127","23,743","28,858","19,156","31,363","21,527","34,727","26,446"
2020년08월_계_0~9세,"19,107","1,386","2,032",852,659,"1,008","1,579","1,937",920,"2,249","1,573","1,908","3,004"
2020년08월_계_10~19세,"27,222","2,361","2,825","1,338","1,055","1,669","2,650","2,875","1,390","3,459","1,860","2,892","2,848"
2020년08월_계_20~29세,"44,652","3,697","4,379","3,081","2,581","3,512","4,047","4,336","2,853","4,826","3,058","5,291","2,991"
2020년08월_계_30~39세,"38,258","2,883","3,721","2,611","2,089","2,868","2,643","3,704","2,578","3,984","2,723","4,493","3,961"
2020년08월_계_40~49세,"46,495","3,744","4,555","2,855","2,159","2,756","4,052","4,533","2,596","5,363","3,294","5,369","5,219"
2020년08월_계_50~59세,"61,139","5,369","6,206","4,421","3,566","4,484","5,308","5,864","3,968","6,439","4,275","7,217","4,022"
2020년08월_계_60~69세,"37,614","3,702","4,127","3,063","2,612","2,573","2,267","3,549","2,966","3,012","2,766","4,247","2,730"
2020년08월_계_70~79세,"15,371","1,569","1,684","1,294","1,034",778,620,"1,355","1,276","1,258","1,277","2,092","1,134"
2020년08월_계_80~89세,"7,178",703,678,576,429,400,475,606,515,667,613,"1,050",466
2020년08월_계_90~99세,"1,080",107,66,62,76,74,100,94,86,100,86,159,70
2020년08월_계_100세 이상,68,15,4,6,5,5,2,5,8,6,2,9,1
2020년08월_남_총인구수,"148,767","12,861","15,330","10,560","8,084","9,707","11,953","14,242","9,546","15,625","10,644","17,208","13,007"
2020년08월_남_연령구간인구수,"148,767","12,861","15,330","10,560","8,084","9,707","11,953","14,242","9,546","15,625","10,644","17,208","13,007"
2020년08월_남_0~9세,"9,715",687,"1,045",459,326,526,780,981,464,"1,132",817,963,"1,535"
2020년08월_남_10~19세,"14,040","1,261","1,461",699,547,875,"1,379","1,456",715,"1,738",958,"1,488","1,463"
2020년08월_남_20~29세,"23,322","1,969","2,349","1,658","1,328","1,804","2,067","2,310","1,460","2,567","1,542","2,782","1,486"
2020년08월_남_30~39세,"19,869","1,531","1,979","1,466","1,145","1,450","1,334","1,873","1,417","2,040","1,390","2,371","1,873"
2020년08월_남_40~49세,"23,132","1,867","2,296","1,545","1,095","1,242","1,952","2,190","1,320","2,585","1,648","2,673","2,719"
2020년08월_남_50~59세,"29,927","2,681","3,020","2,330","1,711","2,015","2,662","2,838","1,893","3,207","2,076","3,552","1,942"
2020년08월_남_60~69세,"19,316","1,878","2,124","1,601","1,301","1,342","1,349","1,792","1,484","1,596","1,409","2,160","1,280"
2020년08월_남_70~79세,"6,899",724,808,609,481,333,278,597,580,528,573,860,528
2020년08월_남_80~89세,"2,299",234,236,178,136,103,136,177,191,212,212,321,163
2020년08월_남_90~99세,232,27,12,13,14,15,16,26,19,18,18,36,18
2020년08월_남_100세 이상,16,2,0,2,0,2,0,2,3,2,1,2,0
2020년08월_여_총인구수,"149,417","12,675","14,947","9,599","8,181","10,420","11,790","14,616","9,610","15,738","10,883","17,519","13,439"
2020년08월_여_연령구간인구수,"149,417","12,675","14,947","9,599","8,181","10,420","11,790","14,616","9,610","15,738","10,883","17,519","13,439"
2020년08월_여_0~9세,"9,392",699,987,393,333,482,799,956,456,"1,117",756,945,"1,469"
2020년08월_여_10~19세,"13,182","1,100","1,364",639,508,794,"1,271","1,419",675,"1,721",902,"1,404","1,385"
2020년08월_여_20~29세,"21,330","1,728","2,030","1,423","1,253","1,708","1,980","2,026","1,393","2,259","1,516","2,509","1,505"
2020년08월_여_30~39세,"18,389","1,352","1,742","1,145",944,"1,418","1,309","1,831","1,161","1,944","1,333","2,122","2,088"
2020년08월_여_40~49세,"23,363","1,877","2,259","1,310","1,064","1,514","2,100","2,343","1,276","2,778","1,646","2,696","2,500"
2020년08월_여_50~59세,"31,212","2,688","3,186","2,091","1,855","2,469","2,646","3,026","2,075","3,232","2,199","3,665","2,080"
2020년08월_여_60~69세,"18,298","1,824","2,003","1,462","1,311","1,231",918,"1,757","1,482","1,416","1,357","2,087","1,450"
2020년08월_여_70~79세,"8,472",845,876,685,553,445,342,758,696,730,704,"1,232",606
2020년08월_여_80~89세,"4,879",469,442,398,293,297,339,429,324,455,401,729,303
2020년08월_여_90~99세,848,80,54,49,62,59,84,68,67,82,68,123,52
2020년08월_여_100세 이상,52,13,4,4,5,3,2,3,5,4,1,7,1
