카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년05월_계_총인구수,"280,152","6,905","7,816","7,129","2,300","1,566","1,909","2,648","3,081","2,980","3,316","5,265","4,369","4,552","2,589","1,579","3,399","4,814","7,000","22,610","9,409","11,666","38,123","8,528","23,141","14,311","25,182","15,732","6,715","31,518"
2021년05월_계_연령구간인구수,"280,152","6,905","7,816","7,129","2,300","1,566","1,909","2,648","3,081","2,980","3,316","5,265","4,369","4,552","2,589","1,579","3,399","4,814","7,000","22,610","9,409","11,666","38,123","8,528","23,141","14,311","25,182","15,732","6,715","31,518"
2021년05월_계_0~9세,"18,388",352,518,271,63,26,32,68,109,87,168,347,88,179,65,26,96,302,305,"1,634",418,477,"3,530",837,"1,448","1,222","2,148",593,529,"2,450"
2021년05월_계_10~19세,"27,479",585,606,484,129,57,89,136,135,143,162,340,193,268,97,80,125,341,416,"2,179",691,927,"4,288",988,"2,673","2,022","3,353","1,199",646,"4,127"
2021년05월_계_20~29세,"35,674",588,673,653,168,102,129,177,209,135,306,632,268,408,229,93,371,473,886,"2,491","1,378","1,308","4,607",897,"3,269","2,333","3,540","4,162",777,"4,412"
2021년05월_계_30~39세,"27,804",509,736,521,123,67,75,145,201,149,256,472,200,340,142,68,312,482,757,"2,384",894,988,"4,287","1,134","2,352","1,565","3,017","1,478",825,"3,325"
2021년05월_계_40~49세,"41,108",795,"1,037",758,216,130,167,219,317,270,329,577,400,497,236,130,396,700,813,"3,421","1,252","1,449","6,207","1,427","3,557","2,702","4,841","1,658","1,031","5,576"
2021년05월_계_50~59세,"48,541","1,196","1,314","1,311",421,252,347,374,537,474,555,884,722,830,540,237,550,942,"1,117","4,012","1,857","1,858","6,215","1,262","4,399","2,538","4,576","2,264","1,092","5,865"
2021년05월_계_60~69세,"41,600","1,418","1,478","1,424",468,384,467,618,671,735,639,"1,040","1,022",937,547,377,732,866,"1,309","3,571","1,652","2,157","4,999","1,104","3,403","1,064","2,232","2,084",931,"3,271"
2021년05월_계_70~79세,"24,744",871,870,998,411,284,343,526,531,572,522,616,820,587,403,315,554,477,895,"1,923",865,"1,735","2,594",597,"1,335",593,973,"1,449",519,"1,566"
2021년05월_계_80~89세,"12,650",506,498,591,244,220,214,327,327,358,331,312,535,423,270,219,214,200,441,883,355,676,"1,200",249,594,234,432,704,286,807
2021년05월_계_90~99세,"2,074",82,84,109,54,42,44,58,43,53,46,43,114,82,57,31,45,30,59,106,46,89,190,31,109,37,66,130,76,118
2021년05월_계_100세 이상,90,3,2,9,3,2,2,0,1,4,2,2,7,1,3,3,4,1,2,6,1,2,6,2,2,1,4,11,3,1
2021년05월_남_총인구수,"139,577","3,387","3,869","3,612","1,135",796,970,"1,333","1,622","1,475","1,674","2,751","2,243","2,363","1,331",780,"1,789","2,557","3,591","11,114","4,765","5,998","18,438","4,238","11,402","6,995","12,299","7,934","3,469","15,647"
2021년05월_남_연령구간인구수,"139,577","3,387","3,869","3,612","1,135",796,970,"1,333","1,622","1,475","1,674","2,751","2,243","2,363","1,331",780,"1,789","2,557","3,591","11,114","4,765","5,998","18,438","4,238","11,402","6,995","12,299","7,934","3,469","15,647"
2021년05월_남_0~9세,"9,466",186,262,144,30,11,21,35,51,35,76,177,56,99,41,13,56,166,162,805,233,250,"1,835",417,747,629,"1,124",302,273,"1,230"
2021년05월_남_10~19세,"14,084",277,303,252,60,39,44,65,83,66,87,165,113,156,54,46,73,164,218,"1,147",385,570,"2,107",524,"1,372","1,053","1,693",569,330,"2,069"
2021년05월_남_20~29세,"19,432",331,363,375,97,51,75,104,125,85,175,410,151,247,136,55,201,265,454,"1,364",725,751,"2,387",479,"1,796","1,213","1,889","2,289",445,"2,394"
2021년05월_남_30~39세,"14,547",264,401,279,73,44,42,99,111,99,153,265,128,180,90,38,192,257,451,"1,238",511,557,"2,080",547,"1,190",762,"1,485",871,458,"1,682"
2021년05월_남_40~49세,"20,982",438,550,436,123,84,114,141,198,158,196,321,268,305,156,82,238,388,459,"1,786",674,807,"3,053",755,"1,698","1,220","2,253",895,532,"2,654"
2021년05월_남_50~59세,"24,745",628,676,725,231,154,204,210,321,270,317,465,396,479,298,128,284,528,622,"1,994",890,956,"2,961",644,"2,100","1,282","2,273","1,130",571,"3,008"
2021년05월_남_60~69세,"20,572",707,725,728,255,191,246,320,374,369,309,537,542,480,286,195,379,462,605,"1,685",821,"1,002","2,406",521,"1,677",519,"1,055",988,488,"1,700"
2021년05월_남_70~79세,"11,122",376,395,448,179,135,150,236,234,259,260,283,373,275,175,140,263,249,438,800,400,791,"1,155",255,627,233,388,666,258,681
2021년05월_남_80~89세,"4,146",165,173,201,75,77,65,108,116,121,91,113,175,122,83,75,90,74,165,272,117,290,403,87,175,78,125,204,96,210
2021년05월_남_90~99세,461,15,19,21,12,10,8,15,9,12,9,15,38,20,11,8,13,4,17,23,9,22,50,8,20,6,13,19,17,18
2021년05월_남_100세 이상,20,0,2,3,0,0,1,0,0,1,1,0,3,0,1,0,0,0,0,0,0,2,1,1,0,0,1,1,1,1
2021년05월_여_총인구수,"140,575","3,518","3,947","3,517","1,165",770,939,"1,315","1,459","1,505","1,642","2,514","2,126","2,189","1,258",799,"1,610","2,257","3,409","11,496","4,644","5,668","19,685","4,290","11,739","7,316","12,883","7,798","3,246","15,871"
2021년05월_여_연령구간인구수,"140,575","3,518","3,947","3,517","1,165",770,939,"1,315","1,459","1,505","1,642","2,514","2,126","2,189","1,258",799,"1,610","2,257","3,409","11,496","4,644","5,668","19,685","4,290","11,739","7,316","12,883","7,798","3,246","15,871"
2021년05월_여_0~9세,"8,922",166,256,127,33,15,11,33,58,52,92,170,32,80,24,13,40,136,143,829,185,227,"1,695",420,701,593,"1,024",291,256,"1,220"
2021년05월_여_10~19세,"13,395",308,303,232,69,18,45,71,52,77,75,175,80,112,43,34,52,177,198,"1,032",306,357,"2,181",464,"1,301",969,"1,660",630,316,"2,058"
2021년05월_여_20~29세,"16,242",257,310,278,71,51,54,73,84,50,131,222,117,161,93,38,170,208,432,"1,127",653,557,"2,220",418,"1,473","1,120","1,651","1,873",332,"2,018"
2021년05월_여_30~39세,"13,257",245,335,242,50,23,33,46,90,50,103,207,72,160,52,30,120,225,306,"1,146",383,431,"2,207",587,"1,162",803,"1,532",607,367,"1,643"
2021년05월_여_40~49세,"20,126",357,487,322,93,46,53,78,119,112,133,256,132,192,80,48,158,312,354,"1,635",578,642,"3,154",672,"1,859","1,482","2,588",763,499,"2,922"
2021년05월_여_50~59세,"23,796",568,638,586,190,98,143,164,216,204,238,419,326,351,242,109,266,414,495,"2,018",967,902,"3,254",618,"2,299","1,256","2,303","1,134",521,"2,857"
2021년05월_여_60~69세,"21,028",711,753,696,213,193,221,298,297,366,330,503,480,457,261,182,353,404,704,"1,886",831,"1,155","2,593",583,"1,726",545,"1,177","1,096",443,"1,571"
2021년05월_여_70~79세,"13,622",495,475,550,232,149,193,290,297,313,262,333,447,312,228,175,291,228,457,"1,123",465,944,"1,439",342,708,360,585,783,261,885
2021년05월_여_80~89세,"8,504",341,325,390,169,143,149,219,211,237,240,199,360,301,187,144,124,126,276,611,238,386,797,162,419,156,307,500,190,597
2021년05월_여_90~99세,"1,613",67,65,88,42,32,36,43,34,41,37,28,76,62,46,23,32,26,42,83,37,67,140,23,89,31,53,111,59,100
2021년05월_여_100세 이상,70,3,0,6,3,2,1,0,1,3,1,2,4,1,2,3,4,1,2,6,1,0,5,1,2,1,3,10,2,0
