,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년06월_계_총인구수,"31,835","10,133",517,"3,730","8,093","4,892","2,576","1,894"
2021년06월_계_연령구간인구수,"31,835","10,133",517,"3,730","8,093","4,892","2,576","1,894"
2021년06월_계_0~9세,"2,464",977,16,269,565,347,182,108
2021년06월_계_10~19세,"2,260",866,33,228,604,306,132,91
2021년06월_계_20~29세,"4,182","1,249",27,481,"1,035",556,556,278
2021년06월_계_30~39세,"3,906","1,398",31,477,848,605,373,174
2021년06월_계_40~49세,"3,918","1,447",53,371,"1,023",603,235,186
2021년06월_계_50~59세,"5,127","1,543",123,577,"1,431",808,326,319
2021년06월_계_60~69세,"5,544","1,488",121,737,"1,441",943,406,408
2021년06월_계_70~79세,"2,622",705,73,324,668,419,227,206
2021년06월_계_80~89세,"1,554",391,36,222,417,257,125,106
2021년06월_계_90~99세,251,66,4,43,59,48,14,17
2021년06월_계_100세 이상,7,3,0,1,2,0,0,1
2021년06월_남_총인구수,"17,268","5,342",274,"2,003","4,349","2,662","1,560","1,078"
2021년06월_남_연령구간인구수,"17,268","5,342",274,"2,003","4,349","2,662","1,560","1,078"
2021년06월_남_0~9세,"1,254",491,8,126,289,182,101,57
2021년06월_남_10~19세,"1,188",473,16,111,312,157,67,52
2021년06월_남_20~29세,"2,800",764,15,330,668,367,451,205
2021년06월_남_30~39세,"2,254",766,20,283,467,364,245,109
2021년06월_남_40~49세,"2,178",771,32,209,573,338,145,110
2021년06월_남_50~59세,"2,745",808,70,307,780,422,189,169
2021년06월_남_60~69세,"2,975",772,59,396,784,532,204,228
2021년06월_남_70~79세,"1,251",339,39,152,309,199,112,101
2021년06월_남_80~89세,553,141,13,77,150,91,42,39
2021년06월_남_90~99세,66,15,2,12,15,10,4,8
2021년06월_남_100세 이상,4,2,0,0,2,0,0,0
2021년06월_여_총인구수,"14,567","4,791",243,"1,727","3,744","2,230","1,016",816
2021년06월_여_연령구간인구수,"14,567","4,791",243,"1,727","3,744","2,230","1,016",816
2021년06월_여_0~9세,"1,210",486,8,143,276,165,81,51
2021년06월_여_10~19세,"1,072",393,17,117,292,149,65,39
2021년06월_여_20~29세,"1,382",485,12,151,367,189,105,73
2021년06월_여_30~39세,"1,652",632,11,194,381,241,128,65
2021년06월_여_40~49세,"1,740",676,21,162,450,265,90,76
2021년06월_여_50~59세,"2,382",735,53,270,651,386,137,150
2021년06월_여_60~69세,"2,569",716,62,341,657,411,202,180
2021년06월_여_70~79세,"1,371",366,34,172,359,220,115,105
2021년06월_여_80~89세,"1,001",250,23,145,267,166,83,67
2021년06월_여_90~99세,185,51,2,31,44,38,10,9
2021년06월_여_100세 이상,3,1,0,1,0,0,0,1
