,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년04월_계_총인구수,"41,714","2,200","2,964","6,601","10,740","4,708","1,086","1,049","4,858","7,508"
2020년04월_계_연령구간인구수,"41,714","2,200","2,964","6,601","10,740","4,708","1,086","1,049","4,858","7,508"
2020년04월_계_0~9세,"1,450",41,85,226,417,121,23,14,204,319
2020년04월_계_10~19세,"2,186",81,112,420,614,213,41,30,222,453
2020년04월_계_20~29세,"5,540",451,321,937,"1,473",537,109,73,819,820
2020년04월_계_30~39세,"4,506",343,257,698,"1,141",487,114,106,663,697
2020년04월_계_40~49세,"5,583",262,368,936,"1,502",573,123,109,712,998
2020년04월_계_50~59세,"7,191",344,563,"1,113","1,850",835,193,208,716,"1,369"
2020년04월_계_60~69세,"7,773",377,586,"1,150","1,916","1,000",267,293,761,"1,423"
2020년04월_계_70~79세,"5,005",188,461,747,"1,228",608,131,155,492,995
2020년04월_계_80~89세,"2,039",85,168,295,516,265,62,49,224,375
2020년04월_계_90~99세,359,26,38,70,70,45,19,11,36,44
2020년04월_계_100세 이상,82,2,5,9,13,24,4,1,9,15
2020년04월_남_총인구수,"20,451","1,116","1,485","3,127","5,252","2,236",547,579,"2,449","3,660"
2020년04월_남_연령구간인구수,"20,451","1,116","1,485","3,127","5,252","2,236",547,579,"2,449","3,660"
2020년04월_남_0~9세,764,20,42,121,218,70,13,8,107,165
2020년04월_남_10~19세,"1,114",41,54,197,314,114,23,14,111,246
2020년04월_남_20~29세,"2,775",207,161,468,745,255,65,40,397,437
2020년04월_남_30~39세,"2,439",174,142,371,603,261,60,63,376,389
2020년04월_남_40~49세,"3,031",147,213,481,809,315,65,68,416,517
2020년04월_남_50~59세,"3,614",192,288,523,940,396,94,132,371,678
2020년04월_남_60~69세,"3,667",194,277,549,874,458,137,167,367,644
2020년04월_남_70~79세,"2,176",99,226,300,517,263,59,70,213,429
2020년04월_남_80~89세,756,35,69,101,210,87,24,11,79,140
2020년04월_남_90~99세,97,7,12,12,19,12,5,6,10,14
2020년04월_남_100세 이상,18,0,1,4,3,5,2,0,2,1
2020년04월_여_총인구수,"21,263","1,084","1,479","3,474","5,488","2,472",539,470,"2,409","3,848"
2020년04월_여_연령구간인구수,"21,263","1,084","1,479","3,474","5,488","2,472",539,470,"2,409","3,848"
2020년04월_여_0~9세,686,21,43,105,199,51,10,6,97,154
2020년04월_여_10~19세,"1,072",40,58,223,300,99,18,16,111,207
2020년04월_여_20~29세,"2,765",244,160,469,728,282,44,33,422,383
2020년04월_여_30~39세,"2,067",169,115,327,538,226,54,43,287,308
2020년04월_여_40~49세,"2,552",115,155,455,693,258,58,41,296,481
2020년04월_여_50~59세,"3,577",152,275,590,910,439,99,76,345,691
2020년04월_여_60~69세,"4,106",183,309,601,"1,042",542,130,126,394,779
2020년04월_여_70~79세,"2,829",89,235,447,711,345,72,85,279,566
2020년04월_여_80~89세,"1,283",50,99,194,306,178,38,38,145,235
2020년04월_여_90~99세,262,19,26,58,51,33,14,5,26,30
2020년04월_여_100세 이상,64,2,4,5,10,19,2,1,7,14
