카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년01월_계_총인구수,"45,625","13,717","3,711","3,766","1,888","3,610","6,530","4,179","1,586","1,411","2,928","2,299"
2020년01월_계_연령구간인구수,"45,625","13,717","3,711","3,766","1,888","3,610","6,530","4,179","1,586","1,411","2,928","2,299"
2020년01월_계_0~9세,"3,054","1,071",306,176,57,162,831,197,61,34,89,70
2020년01월_계_10~19세,"3,432","1,232",318,182,80,195,689,282,109,63,184,98
2020년01월_계_20~29세,"4,675","1,351",337,396,165,586,794,436,127,117,212,154
2020년01월_계_30~39세,"4,008","1,299",276,331,139,224,923,300,110,90,149,167
2020년01월_계_40~49세,"5,782","1,953",482,421,183,418,949,559,187,109,297,224
2020년01월_계_50~59세,"7,680","2,225",626,741,377,596,838,796,282,245,494,460
2020년01월_계_60~69세,"6,909","1,948",583,650,345,570,595,701,285,267,510,455
2020년01월_계_70~79세,"6,008","1,633",454,512,293,491,576,536,257,298,556,402
2020년01월_계_80~89세,"3,570",887,284,309,216,334,303,314,142,164,397,220
2020년01월_계_90~99세,466,105,41,47,32,32,32,53,23,23,38,40
2020년01월_계_100세 이상,41,13,4,1,1,2,0,5,3,1,2,9
2020년01월_남_총인구수,"23,409","6,809","1,865","1,985","1,009","2,058","3,393","2,099",833,698,"1,473","1,187"
2020년01월_남_연령구간인구수,"23,409","6,809","1,865","1,985","1,009","2,058","3,393","2,099",833,698,"1,473","1,187"
2020년01월_남_0~9세,"1,550",562,161,88,31,84,405,89,29,14,50,37
2020년01월_남_10~19세,"1,817",631,176,100,44,108,358,142,59,38,106,55
2020년01월_남_20~29세,"2,797",731,173,220,109,508,478,246,69,67,115,81
2020년01월_남_30~39세,"2,119",653,128,197,86,120,495,158,73,44,76,89
2020년01월_남_40~49세,"3,343","1,067",263,270,121,272,528,333,116,61,176,136
2020년01월_남_50~59세,"4,353","1,215",374,414,219,332,486,450,163,142,290,268
2020년01월_남_60~69세,"3,544",940,282,357,198,291,305,359,152,138,273,249
2020년01월_남_70~79세,"2,626",716,209,227,121,219,231,224,120,127,238,194
2020년01월_남_80~89세,"1,150",273,89,99,70,115,98,87,44,61,143,71
2020년01월_남_90~99세,106,20,10,13,10,9,9,11,6,6,6,6
2020년01월_남_100세 이상,4,1,0,0,0,0,0,0,2,0,0,1
2020년01월_여_총인구수,"22,216","6,908","1,846","1,781",879,"1,552","3,137","2,080",753,713,"1,455","1,112"
2020년01월_여_연령구간인구수,"22,216","6,908","1,846","1,781",879,"1,552","3,137","2,080",753,713,"1,455","1,112"
2020년01월_여_0~9세,"1,504",509,145,88,26,78,426,108,32,20,39,33
2020년01월_여_10~19세,"1,615",601,142,82,36,87,331,140,50,25,78,43
2020년01월_여_20~29세,"1,878",620,164,176,56,78,316,190,58,50,97,73
2020년01월_여_30~39세,"1,889",646,148,134,53,104,428,142,37,46,73,78
2020년01월_여_40~49세,"2,439",886,219,151,62,146,421,226,71,48,121,88
2020년01월_여_50~59세,"3,327","1,010",252,327,158,264,352,346,119,103,204,192
2020년01월_여_60~69세,"3,365","1,008",301,293,147,279,290,342,133,129,237,206
2020년01월_여_70~79세,"3,382",917,245,285,172,272,345,312,137,171,318,208
2020년01월_여_80~89세,"2,420",614,195,210,146,219,205,227,98,103,254,149
2020년01월_여_90~99세,360,85,31,34,22,23,23,42,17,17,32,34
2020년01월_여_100세 이상,37,12,4,1,1,2,0,5,1,1,2,8
