카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년04월_계_총인구수,"1,596,613","840,938","182,086","200,275","264,170","194,407","210,188","133,638","32,699","50,778","47,963","37,320","81,483","37,694","94,461","29,451"
2020년04월_계_연령구간인구수,"1,596,613","840,938","182,086","200,275","264,170","194,407","210,188","133,638","32,699","50,778","47,963","37,320","81,483","37,694","94,461","29,451"
2020년04월_계_0~9세,"127,232","76,165","15,432","15,104","24,646","20,983","15,035","9,151","1,529","2,727","2,480","3,486","7,670","1,311","6,410","1,268"
2020년04월_계_10~19세,"151,945","87,385","19,434","21,395","26,954","19,602","19,344","12,027","2,184","3,987","3,549","3,466","7,897","2,117","7,937","2,052"
2020년04월_계_20~29세,"198,362","119,022","23,266","29,026","40,873","25,857","24,305","14,909","2,449","4,464","4,554","4,560","8,935","3,028","9,768","2,368"
2020년04월_계_30~39세,"197,615","119,492","21,559","24,104","41,190","32,639","23,795","13,451","2,325","4,033","3,493","4,888","11,282","2,519","10,219","2,118"
2020년04월_계_40~49세,"242,620","136,692","29,352","32,090","43,299","31,951","31,388","18,791","3,418","6,401","5,544","5,729","13,163","3,935","14,119","3,440"
2020년04월_계_50~59세,"273,650","137,097","31,763","35,097","42,685","27,552","37,858","24,253","6,051","9,084","8,620","6,130","13,484","7,420","17,873","5,780"
2020년04월_계_60~69세,"212,481","92,175","22,218","24,275","26,149","19,533","30,167","21,837","6,571","9,521","8,798","4,761","9,735","8,236","14,571","6,109"
2020년04월_계_70~79세,"119,208","46,447","12,002","12,342","11,828","10,275","17,433","12,318","4,584","6,220","6,480","2,667","5,456","5,429","8,256","3,918"
2020년04월_계_80~89세,"64,143","23,030","6,068","5,962","5,743","5,257","9,598","6,034","3,080","3,761","3,864","1,457","3,401","3,239","4,570","2,109"
2020년04월_계_90~99세,"8,804","3,245",937,828,765,715,"1,197",793,482,551,546,164,442,434,684,266
2020년04월_계_100세 이상,553,188,55,52,38,43,68,74,26,29,35,12,18,26,54,23
2020년04월_남_총인구수,"809,005","423,544","90,664","99,428","133,876","99,576","106,310","67,030","16,465","25,608","23,828","19,357","42,652","19,271","50,020","14,920"
2020년04월_남_연령구간인구수,"809,005","423,544","90,664","99,428","133,876","99,576","106,310","67,030","16,465","25,608","23,828","19,357","42,652","19,271","50,020","14,920"
2020년04월_남_0~9세,"65,034","38,839","7,854","7,673","12,539","10,773","7,623","4,663",793,"1,445","1,283","1,784","3,951",663,"3,329",661
2020년04월_남_10~19세,"79,157","45,544","10,131","11,206","14,037","10,170","10,075","6,232","1,166","2,088","1,810","1,797","4,138","1,073","4,146","1,088"
