카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년08월_계_총인구수,"1,034,150","218,422","19,774","43,445","7,145","50,547","25,894","41,509","30,108","252,996","41,320","29,619","34,526","27,836","44,949","40,592","26,386","7,768","180,795","4,209","12,174","3,411","3,900","14,111","1,014","42,000","11,078","14,535","9,019","10,395","16,058","19,408","7,215","12,268","187,941","63,781","10,246","10,044","16,982","6,100","11,054","31,312","9,308","7,499","8,908","9,432","3,275","193,996","16,947","8,471","4,818","11,134","7,489","17,501","8,599","21,342","10,139","25,822","12,985","6,386","42,363"
2021년08월_계_연령구간인구수,"1,034,150","218,422","19,774","43,445","7,145","50,547","25,894","41,509","30,108","252,996","41,320","29,619","34,526","27,836","44,949","40,592","26,386","7,768","180,795","4,209","12,174","3,411","3,900","14,111","1,014","42,000","11,078","14,535","9,019","10,395","16,058","19,408","7,215","12,268","187,941","63,781","10,246","10,044","16,982","6,100","11,054","31,312","9,308","7,499","8,908","9,432","3,275","193,996","16,947","8,471","4,818","11,134","7,489","17,501","8,599","21,342","10,139","25,822","12,985","6,386","42,363"
2021년08월_계_0~9세,"80,493","17,412","1,072","6,318",244,"4,162","1,960","2,239","1,417","18,738","3,113","2,035","2,193","1,986","3,277","3,567","2,130",437,"13,302",104,"1,052",59,47,"2,083",54,"4,517",473,818,375,432,"1,210",986,393,699,"12,476","4,735",361,650,"1,099",149,528,"3,042",645,252,388,485,142,"18,565","1,396",307,167,988,529,"1,419",341,"2,303","1,028","3,324","1,805",472,"4,486"
2021년08월_계_10~19세,"98,317","19,351","1,785","3,943",375,"4,591","2,679","3,831","2,147","25,928","5,176","2,650","2,510","3,276","4,673","3,922","2,989",732,"14,143",150,"1,030",133,135,"1,245",42,"4,020",673,"1,346",700,838,"1,320","1,149",426,936,"17,766","7,903",605,777,"1,243",315,831,"3,447",564,447,637,784,213,"21,129","1,811",622,280,991,768,"2,426",527,"2,252","1,193","3,296",992,675,"5,296"
2021년08월_계_20~29세,"127,291","28,466","2,221","3,723",618,"6,848","3,890","6,322","4,844","37,609","5,417","4,574","6,222","4,065","6,358","5,960","4,020",993,"19,115",285,"1,069",243,218,"1,166",132,"5,054","1,706","1,524","1,067","1,142","1,535","1,964",672,"1,338","21,442","8,042",907,"1,109","1,778",536,"1,310","3,270","1,100",917,923,"1,242",308,"20,659","2,133",812,457,"1,122",774,"2,179","1,076","2,252","1,171","2,248","1,261",609,"4,565"
2021년08월_계_30~39세,"131,257","28,588","1,767","7,645",647,"6,902","3,667","4,242","3,718","34,534","4,496","3,991","6,029","3,422","6,227","6,136","3,337",896,"21,412",269,"1,354",198,167,"2,308",116,"6,307","1,061","1,447",799,883,"1,992","2,224",851,"1,436","20,668","6,282",877,"1,319","2,267",527,"1,260","3,899","1,247",731,843,"1,036",380,"26,055","2,122",666,353,"1,446",784,"2,096",975,"3,104","1,246","3,699","2,418",696,"6,450"
2021년08월_계_40~49세,"166,816","34,103","3,080","7,495",769,"8,023","4,378","6,211","4,147","40,984","7,235","4,584","5,249","4,667","7,465","6,353","4,204","1,227","26,654",385,"1,973",298,279,"2,528",119,"6,651","1,380","2,196","1,192","1,405","2,445","2,946","1,045","1,812","29,462","11,211","1,352","1,359","2,354",700,"1,553","5,565","1,299","1,040","1,171","1,352",506,"35,613","2,898","1,130",585,"1,713","1,227","3,415","1,294","3,762","1,716","5,125","2,152","1,073","9,523"
2021년08월_계_50~59세,"184,230","41,000","3,863","6,132","1,298","9,598","5,055","9,071","5,983","51,190","8,264","6,051","6,576","5,924","9,002","8,129","5,846","1,398","29,432",722,"1,951",676,697,"1,902",156,"6,574","1,830","2,428","1,673","1,875","2,499","3,201","1,193","2,055","33,710","12,415","1,705","1,587","2,815","1,117","1,893","5,177","1,611","1,357","1,738","1,668",627,"28,898","2,202","1,375",819,"1,775","1,166","2,782","1,496","3,427","1,418","3,468","1,783","1,072","6,115"
2021년08월_계_60~69세,"149,583","31,507","3,336","5,219","1,679","6,852","2,973","6,311","5,137","30,928","5,223","3,835","4,040","3,314","5,590","4,718","2,928","1,280","31,442","1,169","2,109",892,"1,010","1,770",226,"5,499","2,105","2,496","1,806","2,145","2,777","3,738","1,426","2,274","30,963","8,067","2,310","1,827","3,092","1,484","2,205","4,403","1,652","1,602","1,932","1,750",639,"24,743","2,145","1,574","1,033","1,797","1,200","2,069","1,689","2,703","1,334","3,006","1,525",994,"3,674"
2021년08월_계_70~79세,"64,956","12,058","1,680","1,906",918,"2,491",905,"2,307","1,851","8,822","1,687","1,298","1,167",763,"1,553","1,202",620,532,"16,864",714,"1,071",538,730,775,117,"2,401","1,217","1,507",901,"1,164","1,595","2,126",777,"1,231","15,112","3,480","1,445",993,"1,698",847,"1,079","1,795",851,864,915,821,324,"12,100","1,420","1,233",711,882,672,769,831,"1,035",683,"1,115",649,489,"1,611"
