카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년02월_계_총인구수,"541,164","45,717","41,246","31,435","48,888","30,470","28,299","6,584","9,797","22,692","13,312","14,141","32,102","12,250","20,374","16,500","10,853","33,014","22,762","24,627","28,280","24,653","23,168"
2021년02월_계_연령구간인구수,"541,164","45,717","41,246","31,435","48,888","30,470","28,299","6,584","9,797","22,692","13,312","14,141","32,102","12,250","20,374","16,500","10,853","33,014","22,762","24,627","28,280","24,653","23,168"
2021년02월_계_0~9세,"49,151","4,540","2,364","3,821","6,724","4,695","3,282",327,450,"1,218",672,592,"2,741",620,"1,385",658,774,"2,644","1,879","2,502","2,908","2,250","2,105"
2021년02월_계_10~19세,"56,424","4,454","3,508","4,439","6,369","3,869","2,121",400,745,"1,557",914,"1,228","2,976",876,"1,919","1,244",802,"3,447","2,810","3,525","3,311","2,656","3,254"
2021년02월_계_20~29세,"72,084","6,442","6,550","3,908","5,711","3,263","3,454","1,013","1,569","3,227","1,721","2,165","4,291","1,726","2,930","2,358","1,347","4,701","2,847","2,767","3,821","3,115","3,158"
2021년02월_계_30~39세,"78,606","8,236","4,908","5,696","8,106","5,594","4,866",910,"1,203","2,954","1,542","1,534","4,451","1,584","2,519","1,808","1,631","4,641","2,521","3,293","4,509","3,244","2,856"
2021년02월_계_40~49세,"95,247","8,512","6,223","6,538","10,133","6,184","4,571",817,"1,313","3,199","1,882","2,071","4,962","1,844","3,040","2,256","1,623","5,842","4,464","5,579","5,476","4,322","4,396"
2021년02월_계_50~59세,"93,479","6,932","8,678","4,086","6,667","3,970","4,660","1,618","2,247","4,734","2,745","2,957","6,000","2,516","3,980","3,358","1,982","5,800","3,980","3,695","4,579","4,411","3,884"
2021년02월_계_60~69세,"59,457","4,111","5,390","1,937","3,525","2,047","3,374","1,030","1,496","3,596","2,320","2,168","4,406","1,833","2,936","2,869","1,694","3,584","2,251","1,816","2,250","2,795","2,029"
2021년02월_계_70~79세,"24,518","1,747","2,275",669,"1,129",578,"1,340",295,500,"1,522","1,042",955,"1,602",859,"1,074","1,279",649,"1,587","1,316",978,927,"1,215",980
