,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년05월_계_총인구수,"429,340","21,213","18,709","30,820","31,716","34,370","12,026","32,704","16,183","20,821","19,577","21,267","17,555","20,558","21,886","23,700","45,147","22,732","18,356"
2020년05월_계_연령구간인구수,"429,340","21,213","18,709","30,820","31,716","34,370","12,026","32,704","16,183","20,821","19,577","21,267","17,555","20,558","21,886","23,700","45,147","22,732","18,356"
2020년05월_계_0~9세,"35,174","1,583","1,513","1,707","3,138","2,625",624,"3,175","1,931","1,902","1,770","1,520","1,227","1,220","1,399","1,700","4,454","1,528","2,158"
2020년05월_계_10~19세,"45,479","1,961","1,668","2,720","4,193","3,985","1,921","3,535","2,746","2,802","2,160","2,837","1,381","1,681","2,066","2,629","4,266","1,674","1,254"
2020년05월_계_20~29세,"56,232","2,843","2,724","5,172","3,608","4,591","1,509","4,332","1,386","2,307","2,386","2,703","2,566","2,960","2,927","3,257","5,466","3,482","2,013"
2020년05월_계_30~39세,"65,541","3,740","3,842","5,051","3,941","5,134",918,"5,793","1,635","2,555","2,818","2,472","3,107","3,215","3,049","3,657","7,088","4,582","2,944"
2020년05월_계_40~49세,"78,286","3,840","3,318","4,907","6,461","6,574","2,357","6,679","3,751","4,356","3,603","4,018","2,903","3,132","3,351","4,316","7,854","3,889","2,977"
2020년05월_계_50~59세,"63,093","2,945","2,462","4,715","4,675","5,520","2,083","4,086","2,109","3,163","2,823","3,453","2,463","3,249","3,634","3,504","6,319","3,327","2,563"
2020년05월_계_60~69세,"47,020","2,407","1,782","3,531","3,046","3,384","1,242","2,941","1,302","2,005","2,275","2,224","2,075","2,834","3,136","2,342","5,553","2,534","2,407"
2020년05월_계_70~79세,"26,993","1,320","1,016","2,129","1,833","1,691",992,"1,566",918,"1,171","1,222","1,321","1,303","1,641","1,630","1,602","2,921","1,263","1,454"
2020년05월_계_80~89세,"9,515",477,296,747,678,700,333,486,315,466,420,609,435,523,580,594,"1,004",362,490
2020년05월_계_90~99세,"1,790",94,71,124,127,145,36,92,65,80,95,104,82,91,110,87,217,84,86
2020년05월_계_100세 이상,217,3,17,17,16,21,11,19,25,14,5,6,13,12,4,12,5,7,10
2020년05월_남_총인구수,"205,264","10,230","8,878","14,986","15,413","16,309","5,696","15,783","7,740","9,841","9,257","9,859","8,237","9,653","10,555","10,847","21,612","11,430","8,938"
2020년05월_남_연령구간인구수,"205,264","10,230","8,878","14,986","15,413","16,309","5,696","15,783","7,740","9,841","9,257","9,859","8,237","9,653","10,555","10,847","21,612","11,430","8,938"
2020년05월_남_0~9세,"18,217",835,752,884,"1,643","1,373",327,"1,582","1,034",998,936,759,624,625,728,864,"2,325",847,"1,081"
2020년05월_남_10~19세,"23,166","1,007",877,"1,560","2,194","2,030",967,"1,800","1,359","1,405","1,119","1,323",743,873,"1,059","1,207","2,162",845,636
2020년05월_남_20~29세,"27,045","1,395","1,213","2,432","1,725","2,173",744,"1,966",686,"1,153","1,155","1,282","1,218","1,421","1,519","1,422","2,692","1,793","1,056"
2020년05월_남_30~39세,"30,084","1,700","1,767","2,420","1,690","2,354",407,"2,625",641,"1,098","1,235","1,086","1,397","1,502","1,454","1,614","3,358","2,364","1,372"
2020년05월_남_40~49세,"36,897","1,844","1,583","2,312","3,054","3,000",977,"3,378","1,714","1,969","1,634","1,768","1,352","1,476","1,538","1,934","3,838","2,001","1,525"
2020년05월_남_50~59세,"30,885","1,438","1,219","2,306","2,426","2,699","1,074","2,108","1,138","1,600","1,355","1,724","1,136","1,466","1,694","1,688","3,000","1,622","1,192"
2020년05월_남_60~69세,"21,668","1,145",824,"1,644","1,431","1,592",574,"1,385",594,891,"1,034","1,052",930,"1,257","1,465","1,089","2,445","1,191","1,125"
2020년05월_남_70~79세,"12,707",644,479,"1,039",881,759,451,718,409,509,579,579,616,778,824,731,"1,381",591,739
2020년05월_남_80~89세,"4,065",189,140,346,325,281,164,193,144,198,178,254,187,230,243,279,371,157,186
