카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년07월_계_총인구수,"481,209","22,877","15,111","18,493","16,776","16,422","12,730","26,981","19,172","12,471","24,184","22,008","25,314","11,146","15,329","22,143","41,447","15,884","51,121","3,853","17,178","36,943","13,228","20,398"
2020년07월_계_연령구간인구수,"481,209","22,877","15,111","18,493","16,776","16,422","12,730","26,981","19,172","12,471","24,184","22,008","25,314","11,146","15,329","22,143","41,447","15,884","51,121","3,853","17,178","36,943","13,228","20,398"
2020년07월_계_0~9세,"39,409","2,220",735,921,"1,156","1,048",692,"1,679","1,279",902,"2,015","1,226","1,546",426,834,"1,904","5,611","1,330","6,518",107,"1,604","3,387","1,029","1,240"
2020년07월_계_10~19세,"50,667","3,101","1,076","1,513","1,541","1,282",652,"2,438","1,325","1,164","2,701","1,756","2,183",607,"1,354","2,793","4,688","1,673","6,329",164,"3,426","4,511","1,423","2,967"
2020년07월_계_20~29세,"74,135","2,865","2,401","2,609","2,178","2,204","2,552","5,289","4,356","1,684","3,172","4,245","5,622","2,740","1,953","2,919","4,948","2,800","6,868",299,"1,691","5,582","2,406","2,752"
2020년07월_계_30~39세,"67,397","2,804","1,589","1,949","1,813","2,072","2,200","4,500","3,582","1,576","2,878","3,510","4,268","1,842","1,608","2,688","6,879","2,078","8,540",283,"1,448","5,518","2,038","1,734"
2020년07월_계_40~49세,"79,546","4,346","1,861","2,553","2,429","2,363","1,708","4,494","2,874","1,911","4,128","3,258","3,875","1,585","2,040","3,569","7,666","2,416","9,581",419,"4,023","6,625","2,237","3,585"
2020년07월_계_50~59세,"78,087","3,493","2,690","3,275","3,200","2,974","1,913","4,390","2,534","2,010","3,898","3,545","4,101","1,906","2,961","4,078","5,674","2,855","7,283",730,"2,436","6,309","2,224","3,608"
2020년07월_계_60~69세,"53,409","2,363","2,619","3,127","2,571","2,526","1,642","2,503","1,871","1,765","3,085","2,803","2,376","1,239","2,467","2,771","3,712","1,494","3,517",745,"1,319","3,261","1,165","2,468"
2020년07월_계_70~79세,"25,655","1,184","1,493","1,711","1,234","1,349",929,"1,083",936,996,"1,602","1,147",889,549,"1,281",905,"1,524",794,"1,641",616,824,"1,139",466,"1,363"
2020년07월_계_80~89세,"11,145",433,574,733,569,518,385,537,362,401,629,447,405,213,699,450,620,384,729,392,348,530,200,587
2020년07월_계_90~99세,"1,669",66,68,97,83,79,52,65,50,59,69,63,49,36,130,65,121,59,103,92,57,77,40,89
2020년07월_계_100세 이상,90,2,5,5,2,7,5,3,3,3,7,8,0,3,2,1,4,1,12,6,2,4,0,5
