,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년06월_계_총인구수,"209,638","4,828","2,010","2,939","8,886","2,962","2,272","3,927","13,628","3,838","3,626","2,272","3,157","1,962","2,693","23,566","6,941","15,339","5,232","9,480","18,468","3,738","9,303","14,624","37,310","6,637"
2021년06월_계_연령구간인구수,"209,638","4,828","2,010","2,939","8,886","2,962","2,272","3,927","13,628","3,838","3,626","2,272","3,157","1,962","2,693","23,566","6,941","15,339","5,232","9,480","18,468","3,738","9,303","14,624","37,310","6,637"
2021년06월_계_0~9세,"14,149",93,34,71,579,36,47,62,"2,048",335,99,51,76,59,98,"1,593",238,"1,212",239,341,"2,012",91,518,986,"2,670",561
2021년06월_계_10~19세,"18,608",209,64,112,411,100,85,118,"1,009",291,176,81,137,76,155,"2,509",523,"1,983",476,674,"2,395",159,733,"1,715","3,738",679
2021년06월_계_20~29세,"24,058",366,110,187,"1,428",168,117,248,"1,558",535,250,124,174,101,270,"2,714",855,"1,833",591,"1,046","2,173",507,"1,089","1,907","4,944",763
2021년06월_계_30~39세,"23,141",295,91,142,"1,413",168,111,168,"3,113",449,163,120,165,111,216,"2,448",595,"1,626",434,838,"2,620",269,"1,002","1,452","4,333",799
2021년06월_계_40~49세,"30,393",475,162,234,"1,178",215,169,307,"2,167",506,316,181,232,141,336,"3,629",915,"2,812",726,"1,151","3,391",406,"1,365","2,427","5,834","1,118"
2021년06월_계_50~59세,"36,937",985,408,604,"1,482",554,370,769,"1,562",515,692,421,547,330,462,"4,339","1,244","2,665",921,"1,694","2,863",711,"1,710","2,845","7,023","1,221"
2021년06월_계_60~69세,"33,523","1,233",599,802,"1,334",821,663,"1,125","1,246",595,924,602,894,551,553,"3,545","1,288","1,789",911,"2,007","1,822",808,"1,595","1,868","5,134",814
2021년06월_계_70~79세,"17,206",654,323,473,601,474,387,644,529,338,549,367,497,321,350,"1,722",798,877,576,"1,063",761,469,890,894,"2,241",408
2021년06월_계_80~89세,"10,254",470,184,275,406,385,280,420,342,245,392,286,382,244,218,954,427,483,325,587,375,285,359,474,"1,220",236
2021년06월_계_90~99세,"1,336",47,34,39,52,40,40,65,54,28,63,38,51,28,35,110,55,56,33,77,55,33,41,54,171,37
2021년06월_계_100세 이상,33,1,1,0,2,1,3,1,0,1,2,1,2,0,0,3,3,3,0,2,1,0,1,2,2,1
2021년06월_남_총인구수,"106,102","2,487","1,018","1,495","4,993","1,532","1,151","2,009","7,017","2,051","1,833","1,168","1,597",997,"1,325","11,789","3,508","7,528","2,604","4,772","9,162","2,019","4,851","7,234","18,504","3,458"
2021년06월_남_연령구간인구수,"106,102","2,487","1,018","1,495","4,993","1,532","1,151","2,009","7,017","2,051","1,833","1,168","1,597",997,"1,325","11,789","3,508","7,528","2,604","4,772","9,162","2,019","4,851","7,234","18,504","3,458"
2021년06월_남_0~9세,"7,143",56,13,33,284,16,22,40,"1,014",159,42,30,44,27,49,834,114,589,123,173,"1,016",41,270,511,"1,336",307
2021년06월_남_10~19세,"9,684",103,34,67,219,52,54,61,516,151,77,45,80,44,76,"1,309",268,"1,075",245,343,"1,216",94,359,892,"1,938",366
2021년06월_남_20~29세,"13,845",236,63,122,924,108,72,162,880,352,150,77,94,63,153,"1,558",495,"1,012",332,571,"1,183",299,632,"1,040","2,818",449
2021년06월_남_30~39세,"12,562",176,52,81,889,103,68,104,"1,694",258,93,77,91,58,133,"1,286",360,814,234,475,"1,306",178,555,766,"2,297",414
2021년06월_남_40~49세,"15,637",288,95,138,692,148,116,173,"1,149",288,193,104,138,83,185,"1,829",487,"1,332",375,642,"1,664",245,749,"1,131","2,813",580
2021년06월_남_50~59세,"18,868",528,211,332,835,304,189,422,774,290,374,213,296,168,246,"2,151",645,"1,301",470,858,"1,414",405,944,"1,433","3,412",653
2021년06월_남_60~69세,"16,825",638,313,417,701,441,332,575,627,309,491,322,477,302,252,"1,749",635,860,439,973,899,446,780,906,"2,521",420
2021년06월_남_70~79세,"7,678",287,167,212,297,210,189,310,239,145,253,172,224,146,146,742,353,364,248,483,344,209,414,392,943,189
2021년06월_남_80~89세,"3,536",165,64,84,137,137,97,148,108,93,146,115,135,98,83,296,139,172,130,233,117,98,140,149,383,69
