카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년03월_계_총인구수,"61,072","16,897","12,129","2,057","1,585","3,931","2,556","1,768","2,568","2,365","5,522","1,862","2,754","1,528","3,550"
2021년03월_계_연령구간인구수,"61,072","16,897","12,129","2,057","1,585","3,931","2,556","1,768","2,568","2,365","5,522","1,862","2,754","1,528","3,550"
2021년03월_계_0~9세,"3,135","1,293",919,61,33,100,69,37,132,61,197,38,87,30,78
2021년03월_계_10~19세,"4,188","1,557",949,145,32,203,278,50,172,74,356,66,141,46,119
2021년03월_계_20~29세,"4,763","1,681",902,118,91,264,135,84,209,169,473,91,215,92,239
2021년03월_계_30~39세,"4,996","1,834","1,133",103,101,260,137,105,189,129,414,101,191,72,227
2021년03월_계_40~49세,"7,045","2,332","1,745",131,115,393,186,135,284,216,649,155,276,126,302
2021년03월_계_50~59세,"10,812","2,849","2,121",324,292,716,414,275,444,486,"1,078",328,500,290,695
2021년03월_계_60~69세,"12,312","2,728","2,212",426,410,838,569,432,494,532,"1,195",430,651,431,964
2021년03월_계_70~79세,"8,053","1,590","1,319",395,273,661,403,384,372,386,714,364,389,253,550
2021년03월_계_80~89세,"5,080",904,729,300,210,446,332,234,237,277,396,260,258,162,335
2021년03월_계_90~99세,674,127,100,53,28,50,31,32,30,33,50,29,44,26,41
2021년03월_계_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021년03월_남_총인구수,"30,399","8,366","6,097","1,030",742,"2,036","1,186",865,"1,345","1,182","2,790",915,"1,351",767,"1,727"
2021년03월_남_연령구간인구수,"30,399","8,366","6,097","1,030",742,"2,036","1,186",865,"1,345","1,182","2,790",915,"1,351",767,"1,727"
2021년03월_남_0~9세,"1,629",666,474,29,13,51,38,25,73,36,97,22,47,18,40
2021년03월_남_10~19세,"2,282",813,523,98,23,143,101,21,112,39,201,44,69,27,68
2021년03월_남_20~29세,"2,743",935,510,70,48,170,79,53,128,101,283,61,106,63,136
2021년03월_남_30~39세,"2,753",959,601,57,59,147,81,70,105,80,245,56,122,45,126
2021년03월_남_40~49세,"3,917","1,228",964,81,72,228,115,78,172,124,359,101,147,80,168
2021년03월_남_50~59세,"5,787","1,467","1,135",171,145,441,211,168,266,279,568,175,272,130,359
2021년03월_남_60~69세,"6,131","1,298","1,081",240,204,432,278,213,252,276,603,218,326,231,479
2021년03월_남_70~79세,"3,521",702,571,169,124,280,181,159,153,156,320,157,177,127,245
2021년03월_남_80~89세,"1,528",274,222,104,48,138,94,73,80,90,108,72,79,44,102
2021년03월_남_90~99세,108,24,16,11,6,6,8,5,4,1,6,9,6,2,4
2021년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"30,673","8,531","6,032","1,027",843,"1,895","1,370",903,"1,223","1,183","2,732",947,"1,403",761,"1,823"
2021년03월_여_연령구간인구수,"30,673","8,531","6,032","1,027",843,"1,895","1,370",903,"1,223","1,183","2,732",947,"1,403",761,"1,823"
2021년03월_여_0~9세,"1,506",627,445,32,20,49,31,12,59,25,100,16,40,12,38
2021년03월_여_10~19세,"1,906",744,426,47,9,60,177,29,60,35,155,22,72,19,51
2021년03월_여_20~29세,"2,020",746,392,48,43,94,56,31,81,68,190,30,109,29,103
2021년03월_여_30~39세,"2,243",875,532,46,42,113,56,35,84,49,169,45,69,27,101
2021년03월_여_40~49세,"3,128","1,104",781,50,43,165,71,57,112,92,290,54,129,46,134
2021년03월_여_50~59세,"5,025","1,382",986,153,147,275,203,107,178,207,510,153,228,160,336
2021년03월_여_60~69세,"6,181","1,430","1,131",186,206,406,291,219,242,256,592,212,325,200,485
2021년03월_여_70~79세,"4,532",888,748,226,149,381,222,225,219,230,394,207,212,126,305
2021년03월_여_80~89세,"3,552",630,507,196,162,308,238,161,157,187,288,188,179,118,233
2021년03월_여_90~99세,566,103,84,42,22,44,23,27,26,32,44,20,38,24,37
2021년03월_여_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
