카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년11월_계_총인구수,"258,945","48,289","4,657","13,845","50,957","38,637","29,796","25,411","23,467","7,975","3,692","12,219"
2020년11월_계_연령구간인구수,"258,945","48,289","4,657","13,845","50,957","38,637","29,796","25,411","23,467","7,975","3,692","12,219"
2020년11월_계_0~9세,"29,491","3,304",265,839,"6,038","6,337","5,361","2,654","2,513",413,109,"1,658"
2020년11월_계_10~19세,"23,916","4,597",179,"1,472","5,917","3,412","3,409","1,772","1,735",503,124,796
2020년11월_계_20~29세,"29,061","6,412",478,"1,918","5,756","3,971","2,478","2,705","3,188",678,293,"1,184"
2020년11월_계_30~39세,"41,653","5,253",572,"1,419","7,366","8,571","6,319","4,080","4,505",661,276,"2,631"
2020년11월_계_40~49세,"43,425","7,208",571,"2,595","9,584","6,987","5,931","3,650","3,645",968,323,"1,963"
2020년11월_계_50~59세,"40,797","9,794",934,"3,026","7,925","4,962","2,925","4,318","3,251","1,373",824,"1,465"
2020년11월_계_60~69세,"29,615","7,003",887,"1,535","5,105","2,916","2,138","3,711","2,576","1,644",839,"1,261"
2020년11월_계_70~79세,"13,935","3,227",478,663,"2,319","1,087",818,"1,726","1,347","1,012",516,742
2020년11월_계_80~89세,"6,225","1,305",257,335,839,349,366,715,634,610,348,467
2020년11월_계_90~99세,798,176,35,39,108,43,49,80,70,109,38,51
2020년11월_계_100세 이상,29,10,1,4,0,2,2,0,3,4,2,1
2020년11월_남_총인구수,"131,533","24,088","2,532","7,327","25,199","19,728","15,108","12,851","12,261","3,969","1,992","6,478"
2020년11월_남_연령구간인구수,"131,533","24,088","2,532","7,327","25,199","19,728","15,108","12,851","12,261","3,969","1,992","6,478"
2020년11월_남_0~9세,"15,018","1,722",135,412,"3,024","3,224","2,755","1,372","1,268",213,49,844
2020년11월_남_10~19세,"12,511","2,375",88,776,"3,087","1,784","1,774",946,921,270,65,425
2020년11월_남_20~29세,"15,956","3,537",280,"1,162","3,046","2,090","1,321","1,458","1,815",388,182,677
2020년11월_남_30~39세,"21,739","2,774",344,760,"3,624","4,394","3,145","2,130","2,571",341,162,"1,494"
2020년11월_남_40~49세,"22,661","3,477",360,"1,385","4,755","3,753","3,100","1,945","2,012",511,205,"1,158"
2020년11월_남_50~59세,"20,332","4,736",514,"1,652","3,794","2,423","1,462","2,118","1,639",726,482,786
2020년11월_남_60~69세,"14,726","3,486",506,809,"2,424","1,458","1,034","1,831","1,268",803,489,618
2020년11월_남_70~79세,"6,375","1,446",211,269,"1,115",504,396,800,569,491,247,327
2020년11월_남_80~89세,"2,032",483,87,96,308,92,103,234,184,200,104,141
2020년11월_남_90~99세,174,47,7,6,22,6,17,17,13,25,6,8
2020년11월_남_100세 이상,9,5,0,0,0,0,1,0,1,1,1,0
2020년11월_여_총인구수,"127,412","24,201","2,125","6,518","25,758","18,909","14,688","12,560","11,206","4,006","1,700","5,741"
2020년11월_여_연령구간인구수,"127,412","24,201","2,125","6,518","25,758","18,909","14,688","12,560","11,206","4,006","1,700","5,741"
2020년11월_여_0~9세,"14,473","1,582",130,427,"3,014","3,113","2,606","1,282","1,245",200,60,814
2020년11월_여_10~19세,"11,405","2,222",91,696,"2,830","1,628","1,635",826,814,233,59,371
2020년11월_여_20~29세,"13,105","2,875",198,756,"2,710","1,881","1,157","1,247","1,373",290,111,507
2020년11월_여_30~39세,"19,914","2,479",228,659,"3,742","4,177","3,174","1,950","1,934",320,114,"1,137"
2020년11월_여_40~49세,"20,764","3,731",211,"1,210","4,829","3,234","2,831","1,705","1,633",457,118,805
2020년11월_여_50~59세,"20,465","5,058",420,"1,374","4,131","2,539","1,463","2,200","1,612",647,342,679
2020년11월_여_60~69세,"14,889","3,517",381,726,"2,681","1,458","1,104","1,880","1,308",841,350,643
2020년11월_여_70~79세,"7,560","1,781",267,394,"1,204",583,422,926,778,521,269,415
2020년11월_여_80~89세,"4,193",822,170,239,531,257,263,481,450,410,244,326
2020년11월_여_90~99세,624,129,28,33,86,37,32,63,57,84,32,43
2020년11월_여_100세 이상,20,5,1,4,0,2,1,0,2,3,1,1
